	en	pl	de	fr	zh	pt	ru	es
LessEnemiesBuff_Active	We will use the knowledge we acquired about the construction of the enemy’s ships to reduce their defensive effectiveness.	Wykorzystamy nabytą wiedzę na temat budowy statków wroga, aby zmniejszyć skuteczność ich obrony.	Wir nutzen das gewonnene Wissen über die Konstruktion der feindlichen Schiffe, um die Wirksamkeit ihrer Verteidigung zu senken.	Nous mettons en œuvre les connaissances acquises sur la construction des navires ennemis afin de réduire l’efficacité de leur défense.	我们将利用我们获得的敌舰建造的知识来降低他们的防御效能。	Aplicaremos o conhecimento ganhado sobre a estrutura dos navios inimigos para diminuir a eficiência da sua defesa.	Мы воспользуемся полученными знаниями о строении вражеских кораблей, чтобы снизить эффективность их защиты.	Aprovechamos el conocimiento adquirido sobre la construcción de los buques del enemigo para reducir la eficiencia de su defensa.
LessEnemiesBuff_Inactive	We are awaiting the delivery of intelligence regarding the construction of enemy ships. Once analyzed, we can use it to target their weak points before the enemy becomes aware of our advantage.	Oczekujemy na dostarczenie danych wywiadowczych dotyczących budowy wrogich okrętów. Po ich przeanalizowaniu będziemy mogli namierzyć ich słabe punkty, zanim wróg dowie się o naszej przewadze.	Wir warten auf Geheimdienstinformationen über den Bau der feindlichen Schiffe. Nach ihrer Analyse werden wir ihre Schwachpunkte finden können, bevor der Feind unseren Vorsprung erkennt.	Nous attendons la livraison des informations de renseignement relatives à la construction des navires ennemis. Après les avoir analysées, nous pourrions cibler leur points faibles avant que l’ennemi ne découvre notre avantage.	我们正在等待有关敌舰建造的情报。  一旦分析完毕，  我们就可以瞄准他们的弱点。	Estamos à espera de dados de inteligência sobre a estrutura dos navios inimigos. Depois de os analisar, poderemos encontrar os seus pontos fracos antes de o inimigo saber sobre a nossa vantagem.	Ждем получения данных разведки о строении вражеских судов. Проанализировав их, мы сможем определить их слабые места, прежде чем противник узнает о нашем преимуществе.	Esperamos que se entreguen datos de inteligencia acerca de la estructura de los buques enemigos. Después de analizarlos podremos detectar sus puntos débiles antes de que el enemigo sepa sobre nuestra ventaja.
WeakerAttacksBuff	Weaker Enemy Airstrikes	Słabsze Naloty Wrogów	Schwächere feindliche Luftangriffe	Raids aériens ennemis moins efficaces	较弱的空袭	Ataques aéreos menos destrutivos dos inimigos	Более слабые Авиаудары со стороны Врагов	Ataque aéreos de enemigos más débiles
WeakerAttacksBuff_Desc	-1 attack strength of all enemy airstrikes	-1 siły ataku wszystkich wrogich ataków lotniczych.	-1 Angriffskraft aller feindlichen Luftangriffe	- 1 les forces de l’attaque de tous les rais aériens ennemis.	所有的敌方空袭将会减弱 1	-1 da força de ataque de todos os ataques aéreos.	-1 силы наступлений всех воздушных наступлений врага.	-1 de fuerza de ataque de todos los ataques aéreos enemigos.
WeakerAttacksBuff_Active	We will coat our aircraft carrier in an experimental cloaking material that should last for the duration of one mission. This will reduce the damage inflicted by enemy airstrikes.	Nasz lotniskowiec zostanie pokryty eksperymentalnym materiałem maskującym, który powinien wystarczyć na czas jednej misji. Zmniejszy to szkody zadawane przez wrogie samoloty.	Unser Flugzeugträger wurde mit einem experimentellen Tarnmaterial bedeckt, das für die Dauer einer Mission reichen soll. Dadurch werden die Schäden, die durch die feindlichen Flugzeuge zugefügt werden, reduziert.	Notre porte-avions sera revêtu d’un matériel de camouflage expérimental qui devrait suffire pour une mission. Cela réduira les dégâts causés par les avions ennemis.	我们将把我们的航空母舰包裹在一种实验性的隐身材料中，  这种材料可以在一次任务期间持续使用。  这将减少敌人空袭对我方造成的伤害。	O nosso porta-aviões ficará coberto com um material experimental de camuflagem, que deve ser suficiente para o tempo de uma missão. O dito diminuirá as danificações feitas pelos aviões inimigos.	Наш авианосец будет покрыт экспериментальным камуфляжем, которого должно хватить на одну миссию. Это позволит уменьшить ущерб, наносимый вражескими самолетами.	Nuestro portaaviones ha sido cubierto con un material de camuflaje, que va a protegernos durante una misión. El material disminuirá los daños ocasionados por los aviones enemigos.
WeakerAttacksBuff_Inactive	We are experimenting with a material designed to create optical illusions that make it difficult for pilots to target an aircraft carrier. This should reduce the damage inflicted by enemy airstrikes.	Eksperymentujemy z materiałem przeznaczonym do tworzenia złudzeń optycznych, które utrudniają pilotom namierzenie lotniskowca. Powinno to zmniejszyć szkody wyrządzane przez wrogie samoloty.	Wir experimentieren mit einem Material, das für die Schaffung der optischen Täuschung bestimmt ist, die den Piloten das Orten des Flugzeugträgers erschwert. Das soll die Schäden, die durch die feindlichen Flugzeuge zugefügt werden, reduzieren.	Nous expérimentons avec le matériel conçu pour créer des illusions optiques empêchant aux pilotes de cibler le porte-avion. Cela devrait réduire les dégâts causés par les avions ennemis.	我们正在试验一种材料，  这种材料会引起视觉错觉，  使飞行员难以击中航空母舰。  这应该可以减少敌方空袭对我方造成的伤害。	Fazemos experiências com o material que serve para criar ilusões óticas, que dificultam aos pilotos a deteção de um porta-aviões. O dito deve diminuir as danificações feitas pelos aviões inimigos.	Мы экспериментируем с материалом, предназначенным для создания оптических иллюзий, которые затрудняют для пилотов отслеживание авианосца. Это должно уменьшить урон, наносимый вражескими самолетами.	Realizamos experimentos con un material que sirve para crear ilusiones ópticas, que dificultan detectar el portaaviones por los pilotos. El material va a disminuir los daños ocasionados por los aviones enemigos.
StrongerAirstrikeAttackBuff	Greater Firepower	Większa Siła Ognia.	Größere Feuerkraft	Puissance de feu plus grande.	更大的火力	Maior poder militar.	Большая Огневая Мощь.	Fuerza de fuego mayor.
StrongerAirstrikeAttackBuff_Desc	+1 ATK on all player’s maneuver cards	Podnosi ATK na kartach o 1.	Hebt ANG auf den Karten um 1.	Augmente ATK sur les cartes de joueur de 1.	操作卡的攻击力提升 1	Aumenta o ATQ nas cartas em 1.	Повышает ATK на картах на 1.	Aumenta el ATQ en las cartas en 1.
StrongerAirstrikeAttackBuff_Active	The morale-boosting event was a huge success! Our pilots will now be more focused on the mission, increasing the effectiveness of their combat maneuvers.	To podnoszące morale wydarzenie okazało się wielkim sukcesem! Nasi piloci będą teraz bardziej skoncentrowani na misji, co zwiększy skuteczność ich manewrów bojowych.	Dieses Ereignis, das den Kampfgeist stärkt, wurde zum großen Erfolg! Unsere Piloten werden sich jetzt während der Mission mehr konzentrieren und dadurch werden ihre Kampfmanöver erfolgreicher.	Cet événement remontant le moral s’est avéré un grand succès ! Nos pilotes seront plus concentrés sur la mission ce qui augmentera l’efficacité de leur manœuvres offensives.	激励活动取得了巨大的成功！我们的飞行员将更加专注于任务，  并将他们的攻击效率提高 1。	Esse acontecimento foi grande êxito e aumentou o moral! Os nossos pilotos agora vão estar mais focados na missão, o que melhorará a eficiência das suas manobras de combate.	Мероприятие по укреплению морального духа увенчалось успехом! Теперь наши пилоты будут более сосредоточены на миссии, что увеличит эффективность их боевых маневров.	¡Este evento ha subido la moral y ha sido un gran éxito! Ahora, nuestros pilotos van a estar más enfocados en su misión, lo que aumentará la eficiencia de sus maniobras de combate.
StrongerAirstrikeAttackBuff_Inactive	We are hosting an event for our pilots to boost their morale, which should hopefully increase their effectiveness in combat. We expect it will raise the damage inflicted by their maneuvers during airstrikes.	Organizujemy imprezę dla naszych pilotów, aby podnieść ich morale, co powinno zwiększyć ich skuteczność w walce. Spodziewamy się, że zwiększy to obrażenia zadawane przez ich manewry podczas nalotów.	Wir organisieren eine Veranstaltung für unsere Piloten, um ihren Kampfgeist zu stärken, dadurch sollen sie erfolgreich im Kampf sein. Wir erwarten, dass dadurch die Verletzungen, die sie während der Luftangriffe zufügen, größer werden.	Nous organisons une fête pour nos pilotes afin de leur remonter le moral ce qui, en fait, devrait augmenter leur efficacité lors du combat. Nous espérons que leurs manœuvres lors des raids augmenteront l'ampleur des dégâts.	我们将为飞行员举办一场活动，  以提高他们的士气和战斗效率。  我们预计这将增加他们在空袭期间的战斗力。	Organizamos uma festa para os pilotos para aumentar o seu moral, o que deve melhorar as sua eficiência no combate. Esperamos que vão aumentar as danificações provocadas pelas suas manobras durante os ataques aéreos.	Организуем мероприятие для наших пилотов, чтобы поднять их моральный дух, что должно повысить их эффективность в бою. Мы ожидаем, что это увеличит повреждения, наносимые их маневрами во время авиаударов.	Organizamos una fiesta para los nuestros pilotos para aumentar su moral, lo que se debe traducir en su eficiencia en el combate. Pensamos que esto va a aumentar los daños ocasionados por sus maniobras durante los ataques aéreos.
StrongerAirstrikeDefenceBuff	Higher Defense	Wyższa Obrona	Bessere Verteidigung	Défense plus élevée	更高的防御力	Melhor defesa	Более высокая Оборона	Defensa mayor
StrongerAirstrikeDefenceBuff_Desc	+1 DEF on all player’s maneuver cards	Podnosi OBR na kartach o 1	Erhöht VER auf den Karten um 1.	Augmente DÉF sur les cartes de joueur de 1.	卡牌防御力提升1	Aumenta a DEF nas cartas em 1	Повышает ОБР на картах на 1.	Aumenta la DEF en las cartas en 1
StrongerAirstrikeDefenceBuff_Active	During this mission, we will be field testing a new device to disrupt enemy targeting systems. Using it will increase the defensive effectiveness of our aircraft during airstrikes.	Podczas tej misji będziemy testować w terenie nowe urządzenie do zakłócania systemów celowniczych przeciwnika. Jego użycie zwiększy skuteczność obronną naszych samolotów podczas nalotów.	Während dieser Mission werden wir im Terrain eine neue Einrichtung, die die Schussleitvorrichtungen des Gegners stört, testen. Ihre Benutzung wird die Verteidigungswirksamkeit unserer Flugzeuge bei den Luftangriffen stärken.	Lors de cette mission, nous allons tester sur le terrain un nouveau matériel conçu pour perturber les systèmes de ciblage de l’ennemi. Sa mise en place augmentera l’efficacité de la défense de nos avions lors des raids aériens.	在这次任务中，  我们将测试一种新设备用来破坏敌人的瞄准系统。  使用它可以将我们飞机在空袭期间的防御效能提高 1 个点。	Durante esta missão, vamos provar no combate um novo aparelho de interferência dos sistemas de mira do inimigo. O seu uso aumentará a eficiência da defesa dos nossos aviões durante os ataques aéreos.	Во время этой миссии мы будем испытывать в полевых условиях новое оборудование для выведения из строя систем наведения противника. Его использование повысит обороноспособность наших самолетов во время авиаударов.	Durante esta misión vamos a ensayar un nuevo dispositivo para la disrupción de sistemas de apunte del enemigo. Su uso aumentará la eficiencia defensiva de nuestros aviones durante los ataques aéreos.
StrongerAirstrikeDefenceBuff_Inactive	We will soon be testing a new device to disrupt enemy targeting systems. Using it in the field should increase the effectiveness of our aircraft’s defenses during airstrikes.	Wkrótce będziemy testować nowe urządzenie do zakłócania systemów celowniczych przeciwnika. Zastosowanie go w terenie powinno zwiększyć skuteczność obrony naszych samolotów podczas nalotów o 1.	Bald werden wir die neue Einrichtung, die die Schussleitvorrichtungen des Gegners stört, testen. Ihre Benutzung soll die Verteidigungswirksamkeit unserer Flugzeuge bei den Luftangriffen um 1 stärken.	Bientôt nous allons tester un nouveau matériel conçu pour perturber les systèmes de ciblage de l’ennemi. Sa mise en place sur le terrain devra augmenter l’efficacité de la défense de nos avions lors des raids aériens de 1.	我们将测试一种新设备来破坏敌人的瞄准系统。  使用它应该可以将我们飞机在空袭期间的防御效率提高 1 个点。	Em breve, vamos provar no combate um novo aparelho de interferência dos sistemas de mira do inimigo. A sua aplicação em combate deve aumentar a eficiência da defesa dos nossos aviões durante os ataques aéreos em 1.	Вскоре мы будем испытывать новое оборудование для выведения из строя систем наведения противника. Его использование в полевых условиях должно повысить обороноспособность наших самолетов во время авиаударов на 1.	Dentro de poco vamos a ensayar un nuevo dispositivo para la disrupción de sistemas de apunte del enemigo. Su aplicación en el terreno aumentará la eficiencia de la defensa de nuestros aviones durante los ataques aéreos en 1.
StrongerAlliesBuff	Greater Resources	Dodatkowe Zasoby	Zusätzliche Ressourcen	Ressources supplémentaires	更强大的盟友	Recursos adicionais	Дополнительные Ресурсы	Recursos adicionales
StrongerAlliesBuff_Desc	Allied bases get an Ammo Store; Allied fleets get a Supply Ship	Bazy sojuszników otrzymują magazyn amunicji; floty sojuszników otrzymują statek zaopatrzeniowy.	Die Stützpunkte der Verbündeten bekommen ein Munitionslager; die Flotten der Verbündeten bekommen ein Versorgungsschiff.	Les bases alliées reçoivent un dépôt de munition ; les flottes alliées reçoivent un navire d’approvisionnement.	盟军基地获得弹药库，  盟军舰队获得一艘补给船。	As bases dos aliados recebem um armazém de munição. As frotas dos aliados recebem um navio de abastecimento.	Базы союзников получают склад боеприпасов; флоты союзников получают судно снабжения.	Las bases de los enemigos reciben un almacén de munición. Las flotas de aliados reciben un buques de suministro.
StrongerAlliesBuff_Active	We have received funding for additional ammunition facilities and supply ships, which are ready to use in this mission.	Dodatkowe magazyny amunicyjne i dostawy zostały sfinansowane i są gotowe do użycia w tej misji.	Die zusätzlichen Munitionslager und Lieferungen wurden finanziert und können während dieser Mission verwendet werden.	Les dépôts de munition et les livraisons supplémentaires ont été financés est sont prêts à utiliser.	新增的额外弹药储存和补给船准备在这次任务中使用。	Os armazéns adicionais de munição e as provisões foram financiados e estão prontos para a utilização nesta missão.	Дополнительные склады боеприпасов и поставки были профинансированы и готовы к использованию в этой миссии.	Los almacenes de munición adicionales y los suministros ha sido financiados y están listos para usarse en esta misión.
StrongerAlliesBuff_Inactive	We have requested additional funding to boost our resources. If accepted, this will provide an additional ammo depot for our bases and an additional supply ship for our fleets during our next mission.	Poprosiliśmy o dodatkowe fundusze, aby zwiększyć nasze zasoby. Jeśli wniosek zostanie zaakceptowany, zapewni to dodatkowy magazyn amunicji dla naszych baz oraz dodatkowy statek zaopatrzeniowy dla naszej floty podczas następnej misji.	Wir haben um zusätzliche Geldmittel gebeten, um unsere Ressourcen zu erhöhen. Wird der Antrag genehmigt, bekommen wir ein zusätzliches Munitionslager für unsere Stützpunkte und ein zusätzliches Versorgungsschiff für unsere Flotte bei der nächsten Mission.	Nous avons sollicité des fonds supplémentaires visant à augmenter nos ressources. La validation de la demande nous assurera un dépôt de munition supplémentaire pour nos bases et un navire d’approvisionnement supplémentaire pour notre flotte lors de la prochaine mission.	我们获得了额外的资金来增加盟军舰船和基地的资产。  在我们的下一个任务中，  这将为我们的基地提供一个额外的弹药库，  并为我们的舰队提供一艘额外的补给船。	Pedimos fundos adicionais para aumentar as nossas provisões. Se a solicitude for aceite, teremos um armazém de munição adicional para as nossas bases e um navio de abastecimento adicional para a nossa frota durante a próxima missão.	Мы попросили о дополнительном финансировании, чтобы увеличить свои ресурсы. Если просьба будет удовлетворена, это обеспечит дополнительный склад боеприпасов для наших баз и дополнительное судно снабжения для нашего флота во время следующей миссии.	Hemos pedido fondos adicionales para aumentar nuestros recursos. Si la solicitud se acepta, lo dicho garantizará un almacén de munición adicional para nuestras bases y un buque de suministro adicional para nuestra flota durante la próxima misión.
MoreDefenceBuff	Reinforced Hull	Wzmocniony Kadłub	Verstärkter Rumpf	Coque renforcée	加固船体	Casco Reforçado	Усиленный Корпус 	Casco reforzado
MoreDefenceBuff_Desc	+2 carrier’s Defense value	Obrona lotniskowca jest zwiększona o 2	Die Verteidigung des Flugzeugträgers ist um 2 erhöht.	La défense de la porte-avions est diminuée de 2	航母防御增加 2	Defesa do porta-aviões aumentada em 2	Оборона авианосца увеличена на 2	La defensa del portaaviones se aumenta en 2
MoreDefenceBuff_Active	The new hull reinforcement is ready for installation on the carrier. It has not yet been field-tested, so we can only expect it to remain effective for a single mission.	Nowe wzmocnienia kadłuba są gotowe do zamontowania na lotniskowcu. Nie zostały one jeszcze przetestowane w boju, więc spodziewamy się, że będą one użyteczne jedynie na czas jednej misji. 	Die neue Rumpfverstärkung ist bereit für die Installation auf dem Träger. Es wurde noch nicht im Feld getestet, daher können wir nur davon ausgehen, dass es für eine einzelne Mission wirksam bleibt.	Le nouveau renfort de coque est prêt à être installé sur le porteur. Il n'a pas encore été testé sur le terrain, on ne peut donc s'attendre à ce qu'il reste efficace que pour une seule mission.	新的船体加强筋已准备好安装在载体上。 它还没有经过现场测试，所以我们只能期望它在一次任务中保持有效。	O novo reforço do casco está pronto para instalação no transportador. Ainda não foi testado em campo, então só podemos esperar que permaneça eficaz para uma única missão.	Новые укрепления корпуса судна готовы для установки на авианосце Они еще не были испытаны в бою, так что мы ожидаем, что они будут полезны только во время одной миссии 	Los nuevos refuerzos del casco están prontos para el montaje en el portaaviones. Todavía no se han ensayado en el combate, por lo que entendemos que serán de utilidad solo durante una misión. 
MoreDefenceBuff_Inactive	In a short while, we will be able to increase our carrier’s defenses using specially prepared hull reinforcements. These reinforcements will be ready in time for our next mission.	W niedługim czasie będziemy mogli zwiększyć obronę naszego lotniskowca za pomocą specjalnie przygotowanych wzmocnień kadłuba. Wzmocnienia te będą gotowe na czas przed naszą następną misją.	In der nächsten Zeit werden wir die Verteidigung unseres Flugzeugträgers mit Hilfe von speziell vorbereiteten Rumpfverstärkungen erhöhen können. Diese Verstärkungen werden pünktlich vor unseren nächsten Mission fertig sein.	Bientôt, nous pourrions améliorer la défense de notre porte-avions en y installons un renforcement du coque spécial. Ce renforcement sera prêt avant notre prochaine mission.	使用特别准备的船体强化系统能够增加我们的航母的防御力。  这些强化系统将及时为下一次任务做好准备。	Daqui a pouco poderemos aumentar a defesa do nosso porta-aviões com alguns reforços especialmente preparados do casco. Os reforços estarão prontos antes da nossa próxima missão.	Вскоре мы сможем повысить обороноспособность нашего авианосца при помощи специально подготовленных укреплений корпуса.  Эти укрепления будут готовы в срок к нашей следующей миссии.	Dentro de poco, podremos aumentar la defensa de nuestro portaaviones con el uso de unos refuerzos de casco especialmente preparados. Los refuerzo estarán listos antes de nuestra siguiente misión.
MoreEscortDefenceBuff	Tougher Escort	Odporniejsza Eskorta	Stärkerer Geleitschutz	Escorte plus résistante	更安全的护航	Escolta mais resistente	Усиленный Эскорт	Escolta más resistente
MoreEscortDefenceBuff_Desc	+2 escort’s Defense value	Obrona eskorty jest zwiększona o 2.	Die Verteidigung des Geleitschutzes ist um 2 erhöht.	La défense de l’escorte augmentée de 2.	护航防御增加 2	Defesa da escolta aumentada em 2.	Оборона эскорта увеличена на 2.	La defensa de la escolta se aumenta en 2
MoreEscortDefenceBuff_Active	We are ready to field test our extra-strong reinforcing material on our escort ships. Due to its experimental nature, we can only use it for the duration of a single mission.	Jesteśmy gotowi przetestować nasz wyjątkowo wytrzymały materiał wzmacniający na naszych eskortowcach. Ze względu na jego eksperymentalny charakter, możemy go używać tylko przez czas trwania jednej misji.	Wir sind bereit, unser besonders strapazierfähiges Verstärkungsmaterial auf unseren Begleiter zu testen. Aufgrund seines experimentellen Charakters können wir es nur während einer Mission nutzen.	Nous sommes prêts à tester sur nos escorteurs notre matériau de renforcement extrêmement résistant sur nos  escorteur. Compte tenu son caractère expérimental, nous pouvons l’utiliser uniquement lors d’une seule mission.	我们已准备好测试我们的超强加固材料。  由于它们仍处于实验性质，  因此我们只能在一个任务期间使用它们。	Estamos prontos para provar o nosso material extremamente resistente que reforçará os nossos navios de escolta. Devido ao seu caráter experimental, podemos utilizá-lo durante apenas uma missão.	Мы готовы испытать наш исключительно прочный армирующий материал на своих эскортных судах. Из-за его экспериментального характера мы можем использовать его только в течение одной миссии.	Estamos listos para ensayar nuestro material excepcionalmente resistente en nuestros buques de escolta. Debido a su carácter experimental, podemos utilizarlo solo durante una misión.
MoreEscortDefenceBuff_Inactive	We are researching a material that may be useful in strengthening the hulls of our escort ships. It will be ready for field testing during our next mission.	Prowadzimy badania nad materiałem, który może być przydatny do wzmocnienia kadłubów naszych eskortowców. Będzie on gotowy do testów polowych podczas naszej następnej misji.	Wir erforschen dieses Material, das zur Verstärkung der Rümpfe unserer Begleiter genutzt werden kann. Es wird für die Feldversuche während unserer nächsten Mission fertig sein.	Nous menons les recherches sur le matériau qui peut être utilisé pour renforcer les coques de nos escorteurs. Il sera prêt aux essais sur le terrain lors de notre prochaine mission.	我们正在研究可能有助于加强我们护航舰船体的材料，  并将准备好在下一次任务期间进行测试。	Realizamos ensaios sobre um material que pode ser útil para reforçar os cascos dos nossos navios de escolta. Estará pronto para as provas em combate durante a nossa próxima missão.	Мы проводим испытания материала, который может оказаться подходящим для укрепления корпусов наших эскортных судов. Он будет готов к полевым испытаниям во время нашей следующей миссии.	Realizamos ensayos sobre un material que puede ser de utilidad para reforzar los cascos de nuestros buques de escolta. Estará listo para ensayos en el combate en nuestra próxima misión.
ReconMissionBuff	Additional Recon	Dodatkowy Rekonesans.	Zusätzliche Erkundung	Reconnaissance supplémentaire.	额外的侦察任务	Reconhecimento adicional.	Дополнительная Разведка.	Reconocimiento adicional
ReconMissionBuff_Desc	1x extra Recon mission (no island switch necessary)	1x dodatkowa misja Rekonesans (bez przełącznika na Wyspie).	1x zusätzliche Mission Erkundung (ohne die Notwendigkeit des Umschaltens auf der Insel)	1 x mission supplémentaire Reconnaissance (Switch sur l’île n’est pas requis).	无需在作战指挥部选择行动即可进行额外的侦察任务。	1x missão adicional de Reconhecimento (sem a necessidade de mudar na ilha).	1 дополнительная миссия «Разведка» (без переключения на Острове).	1x misión adicional de Reconocimiento con (sin el seleccionador en la Isla)
ReconMissionBuff_Active	Experimental scouting equipment has arrived on the aircraft carrier; it allows us to send an additional Recon mission without additional officer supervision.	Na lotniskowiec przybył eksperymentalny sprzęt, dzięki któremu możemy wysłać dodatkową misję zwiadowczą bez dodatkowego nadzoru oficerów.	Auf dem Flugzeugträger ist die experimentelle Ausrüstung angekommen, dadurch können wir eine zusätzliche Erkundungsmission starten - ohne zusätzliche Aufsicht der Offiziere.	Le matériel expérimental est livré sur le porte-avion. Il nous permettra de déclencher une mission de reconnaissance supplémentaire sans la surveillance des officiers.	实验性侦察设备已抵达航母。  使用它会使我们可以执行额外的侦察任务，  而无需额外的军官监督。	Ao porta-aviões chegou um equipamento experimental, graças ao qual poderemos enviar uma missão adicional de reconhecimento sem nenhum controlo adicional dos oficiais.	На авианосец прибыло экспериментальное оборудование, благодаря которому мы можем отправить дополнительную разведывательную миссию без дополнительного контроля со стороны офицеров.	Al portaaviones ha llegado un equipamiento experimental, gracias al que podemos enviar una misión de reconocimiento adicional sin supervisión adicional de oficiales.
