	en	pl	de	fr	zh	pt	ru	es
LoseCause_4_3_AlliedDeastroyedCannons	You failed to destroy the enemy’s artillery in time	Nie udało ci się zniszczyć artylerii przeciwnika na czas	Es ist dir nicht gelungen, die feindliche Artillerie in der richtigen Zeit zu zerstören.	Vous n’avez pas réussi à détruire l’artillerie de l’ennemi dans le temps voulu.	你未能及时摧毁敌人的火炮	Não conseguiu destruir a artilharia do inimigo dentro do tempo	Не удалось уничтожить артиллерию противника вовремя	No se ha podido destruir la artillería enemiga dentro del plazo.
LoseCause_4_4_RaidFailed	[OBSOLETE] You have failed to safely escape the area	Nie udało ci się uciec.	Es ist dir nicht gelungen, zu flüchten.	Vous n’avez pas réussi à vous échapper.	[已过时] 你未能安全逃离该区域	Não conseguiu fugir.	Не удалось сбежать.	No ha conseguido escapar.
LoseCause_1_4_BattleLost	The Allied fleet was defeated	Nie udało ci się obronić ostatniej floty sojuszniczej.	Es ist dir nicht gelungen, die letzte Flotte der Verbündeten zu verteidigen.	Vous n’avez pas réussi à défendre la dernière flotte alliée.	盟军舰队被击败	Não conseguiu defender a última frota aliada	Не удалось защитить последний союзный флот.	No ha conseguido defender la última flota aliada.
LoseCause_2_1_DetectedByEnemy	Your fleet was detected by the enemy	Zostałeś wykryty przez siły wroga.	Die feindlichen Kräfte haben dich entdeckt.	Vous avez été dépisté par les forces ennemies.	你的舰队被敌人发现了	Foi detetado pelas forças inimigas.	Вы были обнаружены силами врага.	Ha sido detectado por las fuerzas del enemigo.
LoseCause_4_4_TokyoExpressArrived	Enemy reinforcements reached Guadalcanal	Posiłki wroga dotarły na Guadalcanal.	Die feindlichen Verstärkungstruppen haben Guadalcanal erreicht.	Les renfort de l’ennemi sont arrivé sur Guadalcanal.	敌人增援部队已到达瓜达尔卡纳尔	As forças do inimigo chegaram a Guadalcanal.	Вражеские подкрепления прибыли на Гуадалканал.	Las tropas del enemigo han llegado a Guadalcanal.
LoseCause_2_4_DefendMidway	Midway has fallen	Midway upadło.	Midway ist gefallen.	Midway est envahi	中途岛已经沦陷	Midway caiu.	Мидуэй пал.	Midway ha sido tomada.
LoseCause_2_4_MidwayInstructionsFailure	You failed to carry out Midway’s instructions	Nie wypełniłeś poleceń Midway.	Du hast die Anweisungen von Midway nicht erfüllt.	Vous n’avez pas suivi les commandes de Midway.	你没有执行中途岛的指示	Não cumpriu as ordens de Midway.	Вы не выполнили указания Мидуэя.	No ha cumplido con las órdenes de Midway.
LoseCause_2_4_EnemyEscaped	You failed to stop the enemy’s escape	Nie udało ci się powstrzymać ucieczki wroga.	Es ist dir nicht gelungen, die Flucht des Feindes aufzuhalten.	Vous n’avez pas réussi à arrêter la fuite de l’ennemie.	你没能阻止敌人逃跑	Não conseguiu deter a fuga do inimigo.	Не удалось помешать бегству врага.	No ha conseguido parar la fuga del enemigo.
LoseCause_3_4_DestroyedByCannon	You were sunk by cannon fire	Zostałeś zatopiony przez ogień armatni.	Du wurdest durch Kanonenfeuer versenkt.	Vous avez été écoulé par le feu du canon.	你被炮火击沉	Naufragou sob o fogo de canhões.	Вы были потоплены вследствие пушечного огня.	Ha sido hundido por la artillería.
LoseCause_3_2_DefendAlliedFleet	Our invasion fleet was destroyed	Nasza flota inwazyjna została zniszczona.	Unsere Invasionsflotte wurde zerstört.	Notre flotte d’invasion a été endommagée.	我们的入侵舰队被摧毁	A nossa frota de invasão foi destruída.	Наш флот вторжения был уничтожен.	Nuestra flota iinvasora ha sido destruida.
LoseCause_3_3_EscortAllyToAttuStation	The ship sent to aid Attu was sunk	Statek wysłany na pomoc Attu został zatopiony.	Das Schiff, das Attu zu Hilfe geschickt wurde, wurde versenkt.	Le navire envoyé pour aider Attu a été naufragé.	被派去援助阿图岛的船沉没了	O navio enviado para ajudar Attu foi destruído.	Корабль, отправленный на помощь Атту, был потоплен.	El buque enviado a ayudar Attu ha sido hundido.
LoseCause_3_3_DefendDutchHarbor	The base at Dutch Harbor was destroyed	Nie udało ci się obronić Dutch Harbor.	Es ist dir nicht gelungen, Dutch Harbor zu verteidigen.	Vous n’avez pas réussi à défendre Dutch Harbor.	荷兰港基地被摧毁	Não conseguiu defender Dutch Harbor.	Вам не удалось защитить Датч-Харбор.	No se ha podido defender Dutch Harbor.
LoseCause_3_3_DefendAttuStation	Japan invaded Attu Island	Japonia zaatakowała wyspę Attu.	Japan hat die Insel Attu angegriffen.	Le Japon a bloqué l’île Attu.	日本入侵阿图岛	Japão atacou a Ilha de Attu.	Япония совершила наступление на остров Атту.	Japón ha atacado la isla de Attu.
LoseCause_4_1_DefendAlliedFleet	Task Force 62 was sunk	62 Grupa Zadaniowa została zatopiona.	Die Einsatzgruppe 62 wurde versenkt.	62 Groupe aéronaval a été coulé	第62特遣部队被击沉	O 62º Força-Tarefa foi afundada.	62 Оперативная Группа была потоплена.	El Grupo Especial 62 ha sido hundido.
LoseCause_4_1_TugboatDestroyed	The rescue ship was destroyed	Statek ratunkowy został zniszczony.	Der Rettungsschiff wurde zerstört.	Le navire de secours a été détruit.	救援船被摧毁	O navio de resgate foi destruído.	Спасательный корабль был уничтожен.	El buque de rescate ha sido destruido.
LoseCause_4_2_DetectedByEnemy	You were detected by the enemy	Zostałeś wykryty przez wroga.	Der Feind hat dich entdeckt.	Vous avez été repéré par l’ennemi.	你被敌人发现了	Foi detetado pelo inimigo.	Враг обнаружил Вас.	Ha sido detectado por el enemigo.
LoseCause_4_2_CivilianCasualties	Your attacks caused avoidable civilian losses	Wasze ataki spowodowały możliwe do uniknięcia straty wśród ludności cywilnej.	Eure Angriffe verursachten Verluste unter Zivilbevölkerung, die man vermeiden konnte.	Vos attaques ont causé des pertes de population civile possible à éviter.	你的攻击造成了本可避免的平民损失	Os seus ataques provocaram perdas de civis que poderiam ter sido evitadas.	Ваши нападения привели к жертвам среди гражданского населения, которых можно было избежать.	Sus ataques han provocado péridas en la población civil que podían haber evitado.
LoseCause_4_2_InvasionFailed	You failed to neutralize the enemy’s infrastructure in time	Nie udało Ci się na czas zneutralizować infrastruktury przeciwnika.	Es ist dir nicht gelungen, die Infrastruktur des Feindes zu neutralisieren.	Vous n’avez pas réussi à neutraliser les infrastructures de l’ennemi.	您未能及时摧毁敌人的基础设施	Não conseguiu neutralizar a infraestrutura do inimigo dentro do prazo.	Вам не удалось вовремя нейтрализовать инфраструктуру противника.	No ha conseguido neutralizar la infraestructura del enemigo a tiempo.
LoseCause_4_2_PhotoReconLost	You failed to recover the aircraft returning from a Photo Recon mission	Nie udało Ci się odzyskać samolotu powracającego z misji Foto-Rekonesansu.	Es ist dir nicht gelungen, das Flugzeug, das von der Mission Foto-Erkundung zurückkehrt zurückzubekommen.	Vous n’avez pas réussi à récupérer l’avion revenant de la mission de Photo-Reconnaissance.	你未能回收从摄影侦察任务返回的飞机	Não conseguiu recuperar o avião que voltava da missão de reconhecimento fotográfico.	Вам не удалось вернуть самолет, возвращающийся с миссии фоторазведки. 	No ha conseguido recuperar el avión que estaba volviendo de una misión de Reconocimiento Fotográfico.
LoseScreen_CauseOf	Cause of	Przyczyna	Ursache	Motif	因为	Motivo	Причина	Motivo
LoseScreen_Defeat	Defeat	Porażka	Niederlage	Échec	战败	Fracasso	Поражение	Fracaso
LoseScreen_MainText	The mission failed. Review the cause of your defeat and consider adjusting your strategy next time.	Misja zakończyła się niepowodzeniem. Przeanalizuj przyczyny porażki i zastanów się nad zmianą strategii następnym razem.	Die Mission ist nicht gelungen, Admiral. Setze deine Kriegsaktivitäten fort und passe die Strategie gegen die Kaiserliche Kriegsmarine an.	Mission a échoué, Amiral. Continuez vos opérations militaires et adaptez la stratégie contre la Marine Impériale.	任务失败了， 海军上将。 继续你的战争并努力调整你对日本帝国海军的战略。	A missão terminou com um fracasso, Almirante. Continua a suas operações militares e ajuste a estratégia contra a Marinha Imperial Japonesa.	Миссия закончилась провалом. Проанализируйте причины неудачи и подумайте об изменении стратегии в следующий раз.	La misión ha terminado con fracaso. Analice los motivos del fracaso y piense en cambiar de estrategia la próxima vez.
LoseScreen_Objectives	Mission Objectives	Cele misji	Ziele der Mission	Objectifs de mission	任务目标	Alvos da missão	Цели миссии	Objetivos de la misión
LoseScreen_PearlHarbor	Return to Pearl Harbor	Powrót do Pearl Harbor	Rückkehr nach Pearl Harbor	Retour à Pearl Harbor.	回到珍珠港	Volta a Pear Harbor	Возвращение на Перл-Харбор.	Vuelta a Pearl Harbor
LoseScreen_Restart	Restart Mission	Zacznij ponownie	Beginne erneut	Recommencez	重新开始	Reiniciar	Начните заново	Intente nuevamente
LoseScreen_Tips	Strategy Tips	Wskazówki strategiczne	Strategische Hinweise	Indications stratégiques	策略提示	Indicações estratégicas	Стратегические подсказки	Indicaciones estratégicas
LoseSquadrons	Maximum squadrons lost:	Maksymalna liczba utraconych eskadr:	Maximale Zahl der verlorenen Staffeln:	Nombre maximal d’escadres perdues :	不要失去的中队数量：	Número máximo de esquadras perdidas:	Максимальное количество уничтоженных эскадрилий:	Número máximo de escuadras perdidas:
LoseTip_001	Consider keeping a Damage Control team in the Pumps section, as this slows the spread of flooding between all of the sections below deck. When flooding does occur, dedicate some DC teams to Deflooding duties. Also bear in mind that flooding will not spread from segments in which DC teams are pumping out water.	Rozważ utrzymanie Brygady Naprawczej w sekcji pomp, ponieważ spowalnia to rozprzestrzenianie się zalania pomiędzy wszystkimi sekcjami pod pokładem. Gdy dojdzie do zalania, poświęć kilka zespołów Brygad Naprawczych na usuwanie skutków zalania. Pamiętaj też, że powódź nie będzie się rozprzestrzeniać z segmentów, w których drużyny BN wypompowują wodę.	Die Platzierung der Reparaturbrigade in der Pumpensektion schützt den Raum vor der Überflutung. Bestimme Mannschaftsmitglieder zum Abpumpen des Wassers während der Überflutung. Das Wasser kommt nicht in die Sektionen, in welchen das Wasser abgepumpt wird.	Positionnement de la Brigade de Réparation dans la section de Pompes protège la pièce contre les inondations. Indiquez les membres de l’équipage pour le pompage d’eau lors des inondations. L’eau ne pénètre pas les sections où elle est pompée.	水泵区域的维修人员可以防止水的蔓延， 在洪水期间指定一些机组人员将水抽出， 水就不会从那个部分蔓延了。	A colocação da Brigada de reparação na secção de bombas protege a sala contra a inundação. Indique os tripulantes para a bombagem de água em caso de inundações. A água não entra na secção onde está a ser bombeada água.	Подумайте над тем, чтобы держать Ремонтную Бригаду в секции насосов, так как это замедляет распространение потопа между всеми секциями под палубой. Когда дойдет до потопа, выделите несколько команд Ремонтных Бригад для устранения последствий потопа. Также помните, что вода не будет распространяться с участков, где команды РБ откачивают воду.	Piense en mantener el Equipo de reparación en la sección de bombas porque lo dicho ralentiza la propagación de la inundación en todas las demás secciones debajo de la cubierta. Cuando ocurra una inundación, mande un par de equipos de Brigadas de Reparación a eliminar las consecuencias de la inundación. Recuerde también que la inundación no se propagará de los segmentos, donde los ER estén bombeando agua.
LoseTip_002	Unmended malfunctions can accumulate. If a malfunction is not fixed in time, it causes more malfunctions—and the problem will only get worse if these malfunctions multiply!	Usterki mogą się kumulować. Jeśli awaria nie zostanie usunięta na czas, powoduje kolejne uszkodzenia - a problem będzie narastał, jeśli usterki również będą się mnożyć!	Mit Ablauf der Zeit zerstören die Störungen das Schiff.	Les défauts, au fur et à mesure, détruisent le navire.	故障不断地破坏着船只。	Com o passar do tempo, ss defeitos destroem o navio.	Неисправности могут накапливаться. Если неисправность не устраняется вовремя, она приводит к дальнейшим повреждениям – и проблема будет расти, если неисправности также будут множиться!	Los fallos pueden acumularse. Si la avería no se elimina a tiempo, lo dicho provocará más daños. ¡El problema aumentará si los fallos se multiplican!
LoseTip_003	Fire in one segment can spread quickly to another. When fire is widespread, consider assigning additional crew units to the Damage Control Department and dedicating DC teams to Firefighting duties.	Pożar w jednej sekcji może szybko rozprzestrzenić się na inną. Gdy pożar jest rozległy, należy rozważyć przydzielenie dodatkowych jednostek załogi do Działu Naprawczego i skierowanie zespołów DC do działań gaśniczych.	Der Brand greift schnell auf andere Sektionen über. Während großer Brände soll man über die Zuteilung zusätzlicher Mannschaftsmitglieder zur Reparaturabteilung nachdenken.	L’incendie se propage rapidement dans les autres sections. Lors de grands incendies, il faut prendre en considération l’affectation des membres de l’équipage à la Division de Réparation.	火势迅速蔓延到其他部分。 你可以考虑在大火期间向维修部门分配额外的机组人员。	O incêndio espalha-se rápido a outras seções. Em caso de incêndios grandes, é preciso pensar em adscrever mais tripulantes ao Departamento de reparação.	Пожар в одной секции может быстро распространиться на другие. Если пожар обширный, необходимо рассмотреть возможность выделения дополнительных единиц экипажа в Ремонтное Отделение и направления команд РБ на операции по тушению пожара.	Un incendio en una sección puede propagarse rápidamente a las demás. Si el incendio es grande, hay que pensar en añadir más unidades a la tripulación del Departamento de Reparación y dirigir los equipos DC a apagar el incendio.
LoseTip_004	Raise your defenses to avoid the destruction of sections below deck. Increase the Defense values of your carrier and escort, and avoid enemy threats—or eliminate them before they endanger your fleet.	Podnieś swoją obronę, aby uniknąć zniszczenia sekcji pod pokładem. Zwiększaj wartości obrony swojego lotniskowca i eskorty, unikaj zagrożeń ze strony wroga lub eliminuj je, zanim zagrożą twojej flocie.	Stärke deine Verteidigung um die Zerstörung der Sektion zu vermeiden. Stärke die Verteidigung des Flugzeugträgers und des Geleitschutzes, vermeide die Gefahren oder eliminiere sie, bevor dein Schiff getroffen wird.	Utilisez votre défense pour éviter l’endommagement de la section. Renforcez la défense de la porte-avion et de l’escorte, évitez les risques et les éliminez avant que votre navire sera frappé.	提高你的防御力以避免船只受到破坏。 增加航母和护航舰的防御力， 或在你的船被击中之前消灭敌人。	Aumente a sua defesa para evitar a destruição da secção. Aumente a defesa do porta-aviões e da escolta, evite perigos e elimine-os antes de o seu navio ser atingido.	Повысьте свою оборону, чтобы избежать уничтожения секций под палубой. Повысьте обороноспособность своего авианосца и эскорта, избегайте угроз со стороны врага или ликвидируйте их до того, как они начнут угрожать Вашему флоту.	Aumente su defensa para evitar la destrucción de la sección bajo la cubierta. Aumente los valores de defensa de su portaaviones y su escolta, evite los peligros de parte del enemigo y elimínelos antes de que pongan en peligro tu flota.
LoseTip_005	Your crew is crucial to the ship’s functioning. Take care of your staff by providing them with timely medical treatment, or you risk losing the manpower necessary to operate your vessel. Bear in mind that crew in the Anti-Aircraft Department are especially vulnerable because they have an increased chance of injury as a result of enemy attacks.	Twoja załoga ma kluczowe znaczenie dla funkcjonowania statku. Dbaj o swój personel, zapewniając mu na czas opiekę medyczną, w przeciwnym razie ryzykujesz utratę siły roboczej niezbędnej do obsługi okrętu. Pamiętaj, że załoga w dziale przeciwlotniczym jest szczególnie narażona na obrażenia, ponieważ ma większe szanse na odniesienie obrażeń w wyniku ataków wroga.	Die Mannschaftsmitglieder haben enorme Bedeutung für das Funktionieren des Schiffes. Sorge für deine Mannschaft, damit du keinen Arbeitskraftmangel erleidest und damit die Abteilungen korrekt funktionieren.	Les membres de l’équipage sont les plus importants pour le fonctionnement du navire. Prenez soin de votre équipage pour avoir suffisamment d’effectif assurant le bon fonctionnement des divisions.	人员对船舶的运行至关重要。 为了使部门正常运作， 请照顾好您的员工。	Os membros da tripulação têm um papel principal no funcionamento do navio. Cuide da sua tripulação porque não lhe pode faltar a mão-de-obra para garantir o funcionamento das seções.	Ваш экипаж имеет ключевое значение для функционирования корабля. Заботьтесь о своем персонале, предоставляя им своевременную медицинскую помощь, иначе Вы рискуете потерять рабочую силу, необходимую для управления кораблем. Помните, что экипаж в противовоздушном отделении особенно подвержен ранениям, так как у него больше шансов на получение ранений в результате наступлений врага.	Su tripulación tiene es la clave del funcionamiento de su buque. Cuide de su personal ofreciéndole tiempo para el cuidado médico. En caso contrario, está arriesgando la pérdida de la mano de obra necesaria para controlar el buque. Recuerde que la tripulación en una sección contra incendios es particularmente propensa a lesiones porque hay más riesgo de sufrir lesiones por causa de un ataque enemigo.
LoseTip_1_1_RescueVip	There is a limited time frame within which to recover aircraft returning from the mission.	Czas na odzyskanie samolotu powracającego z misji jest ograniczony.	Die Zeit, das von der Mission zurückkehrende Flugzeug, zurückzubekommen, ist beschränkt.	Le temps pour récupérer l’avion retournant de la mission est limité	从任务返回的飞机的修复时间有限。	O prazo para a recuperação do avião que volta da missão é limitado.	Время на прием самолета, возвращающегося с миссии, ограничено.	El tiempo para la recuperación de un avión que esté volviendo de misión es limitado.
LoseTip_1_2_DefendAlliedFleet	Hunt down enemies in the area before they destroy the cargo fleet. You can defend Allied vessels by launching CAP missions timed to combat incoming enemy attacks.	Poluj na wrogów w okolicy, zanim zniszczą flotę transportową. Możesz bronić alianckich statków, wykonując misje BPP zaplanowane tak, aby odeprzeć nadchodzące ataki wroga.	Jage die Feinde in der Umgebung, bevor sie die Transportflotte zerstören. Du kannst die Schiffe der Alliierten verteidigen, indem du die Missionen KLP durchführst, die auf die Abwehr der Angriffe gerichtet sind.	Pourchassez les ennemis dans l’environnement avant qu’ils détruisent la flotte de transport. Vous pouvez défendre les navires alliés en réalisant les mission PAC planifiées de manière à repousser les attaques ennemies imminentes.	在他们摧毁货运舰队之前在该地区追击敌人。 您可以通过执行空中巡逻队任务来保护盟军船只， 以对抗来袭的敌人攻击。	Cace os seus inimigos à noite antes de eles destruírem a frota de transporte. Pode defender os navios aliados realizando missões PAC planejados para combater os ataques do inimigo.	Выследите врагов поблизости до того, как они уничтожат транспортный флот. Вы можете защищать союзные корабли, выполняя миссию БВП запланированную таким образом, чтобы отразить входящие атаки врага.	Cace a los enemigos en las proximidades antes de que destruyan su flota de transporte. Puede defender los buques aliados realizando misiones PC planeados de tal forma que se combatan los ataques del enemigo.
LoseTip_1_3_InvasionHasBegan	The mission must be completed within 48 hours, before the Imperial Japanese Navy reaches Port Moresby. Do not delay!	Misja musi zostać wykonana w ciągu 48 godzin, zanim Japońska Marynarka Wojenna dotrze do Port Moresby. Nie zwlekaj!	Die Mission soll innerhalb von 48 Stunden durchgeführt werden, bevor die Japanische Kriegsmarine Port Moresby erreicht. Zögere nicht!	Il faut accomplir la mission pendant 48 heures avant que la Marine Japonaise atteigne le Port Moresby. N’attendez pas !	任务必须在日本帝国海军抵达莫尔兹比港之前的 48 小时内完成。 不要拖延！	A missão deve ser realizada dentro de 48 horas, antes de a Marinha Japonesa chegar a Port Moresby. Não demore!	Миссия должна быть выполнена в течение 48 часов, до того, как японские военно-морские силы достигнут Порта-Морсби. Не медлите!	La misión debe ser realizada dentro de 48 horas antes de que la Marina Japonesa llegue a Port Moresby. ¡No tarde!
LoseTip_4_3_DefendAlliedFleet	Defend Allied vessels against enemy airstrikes as they advance on Truk Atoll.	Obroń sojusznicze okręty przed atakami lotniczymi wroga, gdy nacierają na atol Truk.	Verteidige die Schiffe der Verbündeten vor den Luftangriffen der feindlichen Kräfte, wenn sie das Atoll Chuuk angreifen.	Défendez les navires alliés contre les attaques aériennes de l’ennemi envahissant l’atoll Chuuk.	在特鲁克环礁推进时， 保护盟军船只免受敌人的空袭。	Defensa os navios aliados entre os ataques aéreos do inimigo quando estiverem a atacar o Atol de Truk.	Защитите суда союзников от воздушных атак врага во время их наступления на атолл Трук.	Defienda los buques aliados contra los ataques aéreos del enemigo cuando estén atacando el atol de Truk.
LoseTip_4_3_AlliedDeastroyedCannons	Be wary of time constraints. Japan’s coastal artillery on Truk Atoll must be cleared before Allied vessels reach the islands.	Pamiętaj o ograniczeniach czasowych. Japońska artyleria przybrzeżna na atolu Truk musi zostać zlikwidowana, zanim sojusznicze okręty dotrą do wysp.	Denke an den zeitlichen Rahmen. Die Japanische Küstenartillerie auf dem Atoll Chuuk muss zerstört werden, bevor die Schiffe der Verbündeten die Inseln erreichen.	Prenez en considération les limites de temps. Il faut éliminer l’artillerie côtière japonaise dans l’atoll Chuuk avant que les navires alliés arrivent sur les îles.	注意时间限制。 日本在特鲁克环礁上的沿海大炮必须在盟军船只抵达岛屿之前被清除。	Lembre-se das limitações de tempo. A artilharia japonesa na costa do Atol de Truk deve ser eliminada antes de os navios aliados chegarem às ilhas.	Помните о временных ограничениях. Японская береговая артиллерия на атолле Трук должна быть ликвидирована до того, как союзные корабли смогут достичь островов.	Recuerde que hay limitaciones de tiempo. La artillería costera japonesa en el atol de Truk debe ser eliminada antes de que los buques aliados lleguen a las islas.
LoseTip_4_4_RaidFailed	[OBSOLETE] Sending recon missions or increasing radar range can help you find enemies. You can also use scout target mission to identify enemy strengths and weaknesses.	Wysyłanie misji rekonesansowych i zwiększenie zasięgu radaru pomoże ci zlokalizować nieprzyjaciół. Możesz też użyć misji zwiadowczych, by zidentyfikować mocne i słabe strony wrogów. 	Das Entsenden der Erkundungsmissionen und die Erhöhung des Aktionsradius des Radars hilft dir die Feinde zu orten. Du kannst auch die Aufklärungsmissionen nutzen, um Stärken und Schwächen des Feindes zu identifizieren.	L’envoie des missions de reconnaissance et l’augmentation de la portée du radar vous permettra de localiser les ennemis. Vous pouvez utiliser les missions de reconnaissance pour identifier les forces et les faiblesses des ennemis.	[已过时] 执行侦察任务或加大雷达探测范围可以帮助您找到敌人。 您还可以使用侦察目标的任务来识别敌人的优势和劣势。	O envio de missões de reconhecimento e o aumento do alcance do radar vai ajudá-lo a localizar os inimigos. Pode utilizar missões de reconhecimento para identificar as vantagens e desvantagens dos inimigos.	Отправка разведывательных миссий и увеличение зоны действия радара помогут Вам определить местоположение врагов. Можете также использовать разведывательные миссии, чтобы определить сильные и слабые стороны врагов. 	El envío de las misiones de reconocimiento y el aumento del alcance del radar le permitirá localizar los enemigos. También puede utilizar las misiones de reconocimiento para identificar los puntos fuertes y débiles de los enemigos. 
