	en	pl	de	fr	zh	pt	ru	es
RadarRange:	Radar Range:	Zasięg Radaru:	Aktionsradius des Radars:	Portée de Radar :	雷达范围：	Alcance do radar	Радиус действия Радара:	Alcance del Radar:
Save	Save	Zapisz	Speichern	Sauvegarder	保存	Guardar	Сохранить	Guardar
SignatureManeuver	Signature Maneuver:	Manewr Popisowy:	Sondermanöver	Manœuvre Spéciale :	标志性战术：	Manobra especializada:	Коронный Маневр:	Maniobra especial:
Skills	Skills	Umiejętności:	Fähigkeiten:	Compétences :	技能：	Habilidades:	Навыки:	Habilidades:
StandbyCrew	AVAILABLE PERSONNEL	DOSTĘPNY PERSONEL	VERFÜGBARES PERSONAL	ÉQUIPAGE DISPONIBLE	可用人员	PESSOAL DISPONÍVEL	ДОСТУПНЫЙ ПЕРСОНАЛ	PERSONAL DISPONIBLE
StrikeGroup	Strike Group	Grupa Uderzeniowa	Sturmgruppe	Groupe Aéronaval	攻击群	Grupo de Ataque	Ударная группа	Grupo de Ataque
Submarine	Submarine	Łódź Podwodna	U-Boot	Sous-marin	潜艇	Submarino	Подводная Лодка	Submarino
SupplyStorage:	Supply Storage:	Magazyn Zasobów:	Ressourcenlager:	Entrepôt de Ressources :	库存供应：	Armazém de recursos:	Склад Припасов:	Almacén de recursos:
Tier1	Tier I	Poziom I	Niveau I	Niveau I	第一层	Nível I	Уровень I	Nivel I
Tier2	Tier II	Poziom II	Niveau II	Niveau II	第二层	Nível II	Уровень II	Nivel II
Tier3	Tier III	Poziom III	Niveau III	Niveau III	第三层	Nível III	Уровень III	Nivel III
Torpedo	Torpedo Bombers	Samoloty Torpedowe	Torpedoflugzeuge	Avions Torpilleurs	鱼雷轰炸机	Torpedeiros	Торпедоносцы	Aviones torpederos
TorpedoBomber	Torpedo Bombers	Samoloty Torpedowe	Torpedoflugzeuge	Avions Torpilleurs	鱼雷轰炸机	Torpedeiros	Торпедоносцы	Aviones torpederos
TorpedoBomberSkill1	DEF of maneuvers +1	DEF Manewrów +1	DEF der Manöver +1	DÉF Manœuvres +1	可操作的防御力 +1	DEF Manobras +1	ОБР Маневров +1	DEF Maniobras +1
TorpedoBomberSkill2	ATK of maneuvers +1	ATK Manewrów +1	ANG der Manöver +1	ATK Manœuvres +1	可操作的攻击力 +1	ATQ Manobras +1	АТК Маневров +1	ATQ Maniobras +1
Unlock	Unlock	Odblokuj	Verbessere	Améliorer	解锁	Melhore	Разблокировать	Desbloquear
UnlockID	Unlock	Odblokuj	Verbessere	Améliorer	解锁	Melhore	Разблокировать	Desbloquear
UpgradeAAStations	Increase AA Stations	Zwiększ ilość dział przeciwlotniczych	Erhöhe die Zahl der Flugabwehrgeschütze	Augmenter le nombre de batteries anti-aérienne.	升级 AA 站	Aumente o número de baterias antiaéreas	Увеличить число противовоздушных отделений.	Aumente la cantidad de cañones antiaéreos
UpgradeAircraftSlots	Increase Deck Slots	Zwiększ ilość miejsc na eskadry	Erhöhe die Zahl der Plätze für Geschwader	Augmenter la place pour les escadrons	升级飞机槽位	Aumente o número de lugares para esquadrões	Увеличить число мест для эскадрилий.	Aumente la cantidad de lugares para escuradas
UpgradeCrewTeam	Upgrade Crew Unit	Ulepsz jednostkę załogi	Verbessere die Mannschaftseinheit	Améliorer l’unité de l’équipage	升级人员队伍	Melhore a unidade de tripulação	Улучшить подразделение экипажа	Mejore la unidad de tripulación
UpgradeHangarCapacity	Increase Hangar Capacity	Zwiększ pojemność hangaru	Erhöhe die Kapazität des Hangars	Augmenter le volume de hangar	升级机库容量	Aumente a capacidade do hangar	Увеличить вместимость ангара	Aumente la capacidad del hangar
UpgradeRadarRange	Increase Radar Range	Powiększ zasięg radaru	Erhöhe den Aktionsradius des Radars	Augmentez la portée du radar	升级雷达范围	Aumente o alcance do radar	Увеличьте дальность действия радара.	Aumente el alcance del radar
UpgradesList	Upgrade List	Lista ulepszeń	Verbesserungsliste	Liste d’améliorations	升级清单	Lista de melhorias	Список улучшений	Lista de mejoras
UpgradeId	Upgrade	Ulepsz	Verbessere	Améliorer	升级	Melhore	Улучшить	Mejorar
PlaneElevatorLabel	Plane Elevators	Windy Samolotowe	Flugzeuglifts	Ascenseur d’avion	飞机升降机	Elevadores de aviões	Самолетоподъемники	Ascensores de aviones
SquadronSlotsLabel	Maximum Deck Slots	Ilość slotów na pokładzie	Maximale Platzzahl auf dem Deck	Nombre maximum de places à bord	最大甲板槽位	Número máximo de assentos a bordo	Количество мест на палубе	Cantidad de espacios en la cubierta
SectionsLabel	Sections Below Deck	Sekcje pod pokładem	Sektionen unter dem Deck	Sections sous le pont	甲板下部	Seções no porão	Секции под палубой	Secciones por debajo de la cubierta
IslandRoomsLabel	Island Rooms	Pomieszczenia na wyspie	Räumlichkeiten auf der Insel	Intérieurs sur l’île	作战指挥部房间	Locais na ilha	Помещения на острове	Locales en la isla
SelectCarrier	Select Carrier	Wybierz lotniskowiec	Wähle den Flugzeugträger	Sélectionner un porte-avions	选择航母	Selecione porta-aviões	Выберите авианосец	Elegir portaaviones
HangarCapacity	Hangar Capacity	Pojemność hangaru	Kapazität des Hangars	Augmenter le volume de hangar	机库容量	Capacidade do hangar	Вместимость ангара	Capacidad del hangar
AAStation	AA Stations	Stanowiska przeciwlotnicze	Flugabwehrstellung	Postes anti-aériens	机管局站	Pontos de defesa antiaérea	Противовоздушные места	Puestos de defensa antiaérea
CrewNumber	Crew Slots	Liczba członków załogi	Zahl der Mannschaftsmitglieder	Nombre d’équipage	人员人数	Número de tripulantes	Количество членов экипажа	Número de tripulantes
OfficerNumber	Officer Slots	Liczba oficerów	Zahl der Offiziere	Nombre d’officiers	军官人数	Número de oficiais	Количество офицеров	Número de oficiales
UnlockDesc	To unlock this carrier, first unlock all the following upgrades for the previous carrier type:	Najpierw odblokuj wszystkie ulepszenia poprzedniej klasy lotniskowca:	Entsperre zuerst alle Verbesserungen der vorherigen Klasse des Flugzeugträgers:	Débloquez d’abord les améliorations de la classe précédente du porte-avion :	首先解锁下面列出航母的所有升级对象：	Primeiro desbloqueie todas as melhorias da classe anterior do porta-aviões	Сначала разблокируйте все улучшения предыдущего класса авианосца:	Primero desbloquee todas las mejores de la clase anterior del portaaviones:
CompletedMissions	Missions Completed:	Ukończone Misje:	Beendete Missionen:	Missions accomplies :	完成的任务：	Missões concluídas:	Завершенные Миссии:	Misiones concluidas:
RecruitStaff	Recruit Staff	Rekrutuj Personel	Rekrutiere Personal	Recrutez un Personnel	招聘人员	Recrute pessoal	Наймите Персонал	Reclutar personal
