	en	pl	de	fr	zh	pt	ru	es
BigDesc	Following Japan’s naval incursions, the US is preparing to retake occupied islands on the Philippine Sea; however, the activity of enemy submarines in the region is hindering the operation by blocking critical supply routes. These seaways need to be secured before we can attempt our reoccupations. You must help clear these routes of enemy threats to ensure the safe passage of transport and supply ships.	Po inwazji japońskiej marynarki wojennej, Stany Zjednoczone przygotowują się do przejęcia okupowanych wysp na Morzu Filipińskim, jednak aktywność wrogich okrętów podwodnych w tym regionie utrudnia operację, blokując kluczowe szlaki zaopatrzeniowe. Te szlaki morskie muszą zostać zabezpieczone, zanim podejmiemy próbę ich ponownego przejęcia. Musisz pomóc w oczyszczeniu tych szlaków z wrogich zagrożeń, aby zapewnić bezpieczne przejście statków transportowych i zaopatrzeniowych.	Nach der Invasion der japanischen Kriegsmarine bereiten sich die Vereinigten Staaten auf die Übernahme der besetzten Inseln in der Philippinensee vor, die Aktivität der feindlichen U-Boote in dieser Region erschwert die Operation, da die wichtigsten Versorgungslinien blockiert werden. Diese Linien sollen gesichert werden, bevor wir versuchen, sie erneut zu übernehmen. Du musst helfen, die Linien vor den feindlichen Gefahren zu befreien, um eine sichere Fahrt der Transport- und Versorgungsschiffe zu sichern.	Après l’invasion de la marine japonaise, les États-Unis se préparent à reprendre les îles occupées de la mer des Philippines, mais l’activité des sous-marins ennemis dans la région entrave l’opération en bloquant les principales voies d’approvisionnement. Il est important de sécuriser ces voies maritimes avant d’essayer à les récupérer. Vous devez aider à dégager ces voies des dangers hostiles pour assurer le passage des navires de transport et d’approvisionnement en toute sécurité.	在日本海军入侵之后， 美国正准备收复菲律宾海上被占领的岛屿； 然而， 该地区敌方潜艇的活动阻碍了关键补给路线， 从而阻碍了行动。 在我们尝试重新占领岛屿之前， 这些海道需要得到保护。 您必须帮助清除这些受到敌人威胁的路线， 以确保运输和补给船的安全通行。	Depois da invasão da marinha japonesa, os Estados Unidos estão-se a preparar para tomar controlo sobre as ilhas no Mar das Filipinas, mas a atividade dos submarinos inimigos nesta região dificulta a operação bloqueando as rotas de abastecimento principais. Esta rotas marinhas devem ser protegidas antes de que os tentemos recuperar. Deve ajudar a limpar as rotas dos inimigos para garantir um passo seguro aos navios de transporte e abastecimento.	После вторжения японских военно-морских сил Соединенные Штаты готовятся вернуть оккупированные острова в Филиппинском море, но активность вражеских подводных лодок в этом регионе затрудняет проведение операции, блокируя ключевые пути снабжения. Эти морские пути должны быть защищены, прежде чем мы попытаемся их вернуть. Вы должны помочь очистить эти пути от вражеских угроз, чтобы обеспечить безопасный проход транспортных кораблей и судов снабжения.	Después de la invasión de la flota japonesa, Estados Unidos se están preparando a tomar control sobre las islas ocupadas en el Mar de Filipinas, pero la actividad de los buques enemigos en esa región nos dificulta la operación bloqueando las rutas de abastecimiento principales. Estas rutas marinas tienen que ser protegidas antes de que intentemos volver a tomar control sobre ellas. Tiene que ayudar a limpiar dichos caminos del peligro que supone el enemigo para garantizar un paso seguro de los barcos de transporte y abastecimiento.
BigName	The Hunted	Polowanie	Jagd	La chasse	被猎杀	Caça	Охота	La Caza
BigObj1	Secure the transport routes in the Philippine Sea for the safe passage of US vessels.	Zabezpiecz szlaki transportowe na morzu Filipińskim aby umożliwić amerykańskim statkom swobodne przepływanie.	Sichere die Transportlinien in der Philippinensee, damit die amerikanischen Schiffe frei fahren können.	Sécurisez les voies de transport dans la mer des Philippines pour permettre aux navires américains de passer librement.	保护菲律宾海的运输路线， 以确保美国船只安全通过。	Proteja os navios de transporte no Mas das Filipinas para permitir os navios americanos um passo livre.	Защитите маршруты движения в Филиппинском море, чтобы позволить американским кораблям свободное прохождение.	Proteja las rutas de transporte en el Mar de Filipinas para permitir que los barcos estadounidenses pasen libremente.
BigObj2	Hunt down enemy submarines in the area and destroy them.	Zapoluj na wrogie okręty podwodne w okolicy i zniszcz je.	Verfolge die feindlichen Unterseeboote in der Nähe und zerstöre sie.	Chassez les sous-marins ennemis dans la région et les détruisez.	追捕该地区的敌方潜艇并摧毁它们。	Cace os submarinos inimigos na área e destrua-os.	Выследите подводные лодки противника в этом районе и уничтожьте их.	Organice una caza a los buques enemigos en la región y destrúyalos.
CoralSeaDescription	The Japanese Imperial Navy is trying to cut us off from our Antipodean allies. Port Moresby in New Guinea is a key point in our activities in the Southwest Pacific, without which we cannot hope to support and defend Australia and New Zealand. We must do whatever it takes to foil Japan’s plans. Intelligence intercepted a message with the exact date and landing point of the planned invasion, but we have yet to confirm their intended route to the coast. Your task is to destroy the invading fleet headed for Port Moresby.	Japońska Cesarska Marynarka Wojenna próbuje odciąć nas od naszych sojuszników z Antypodów. Port Moresby w Nowej Gwinei jest kluczowym punktem w naszych działaniach na południowo-zachodnim Pacyfiku, bez którego nie możemy liczyć na wsparcie i obronę Australii i Nowej Zelandii. Musimy zrobić wszystko, by pokrzyżować plany Japonii. Wywiad przechwycił wiadomość z dokładną datą i miejscem lądowania planowanej inwazji, ale musimy jeszcze potwierdzić ich planowaną trasę do wybrzeża. Waszym zadaniem jest zniszczenie floty inwazyjnej zmierzającej do Port Moresby.	Die japanische Kaiserliche Kriegsmarine versucht uns von unseren Verbündeten von Antipoden-Inseln zu trennen. Port Moresby in Neuguinea ist der wichtigste Punkt bei unseren Aktivitäten auf Süd-West-Pazifik, ohne ihn können wir nicht auf die Unterstützung und Verteidigung von Australien und Neuseeland rechnen. Wir müssen alles tun, um die Japans Pläne zu durchkreuzen. Unser Geheimdienst hat die Information mit dem genauen Datum und dem Ort der Landung der geplanten Invasion abgefangen, aber wir müssen noch ihre geplante Route an die Küste bestätigen. Eure Aufgabe ist die Zerstörung der Invasionsflotte, die sich nach Port Moresby begibt.	La marine Impériale Japonaise essai de nous couper de nos alliés des Antipodes. Le Port Moresby, en Nouvelle-Guinée, est un point crucial de nos opérations dans le Pacifique Sud-Ouest, sans lequel nous ne pouvons pas compter sur le soutien et la défense de l’Australie et de la Nouvelle-Zélande. Nous devons faire tout notre possible pour contrecarrer les plans des japonais. Les services de renseignement ont intercepté un message comportant la date et le lieu exacts de l’invasion planifiée, mais nous n’avons pas encore confirmé leur itinéraire prévu vers la côte. Votre tâche consiste à détruire la flotte d’invasion se dirigeant vers le Port Moresby.	日本帝国海军正试图切断我们与我们的安提波德盟友的联系。 新几内亚的莫尔兹比港是我们在西南太平洋活动的关键点， 没有它， 我们就无法支持和保卫澳大利亚和新西兰。 我们必须尽一切努力挫败日本的计划。 情报截获了一条消息， 其中包含他们计划入侵的确切日期和着陆点， 但我们尚未确认他们前往海岸的预定路线。 你的任务是摧毁前往莫尔兹比港的入侵舰队。	A Marinha Imperial Japonesa está a tentar separar-nos dos aliados nas Antípodas. Port Moresby, na Nova Guiné, é o ponto principal para as nossas ações no Pacífico sul oeste. Sem essa localização não podemos contar com nenhum apoio ou defesa da Austrália ou Nova Zelândia. Temo de fazer tudo o possível para estregar os planos do Japão. A inteligência recebeu uma mensagem com a data e o lugar exatos na sua invasão, mas ainda temos de confirmar a seu percurso até a costa. A nossa missão é destruir a frota invasora que está a caminho de Port Moresby.	Императорский флот Японии пытается отрезать нас от наших союзников в Атиподах. Порт-Морсби в Новой Гвинее является ключевым пунктом наших операций в юго-западной части Тихого океана, без которого мы не можем рассчитывать на поддержку и оборону Австралии и Новой Зеландии. Мы должны сделать все, чтобы помешать осуществлению планов Японии. Разведка перехватила сообщение с точной датой и местом высадки планируемого вторжения, но нам еще необходимо подтвердить их запланированный маршрут к побережью. Ваша задача – уничтожение флота вторжения, направляющегося в Порт-Морсби.	La Marina Imperial Japonesa está intentando separarnos de nuestros aliados de las Antípodas. Port Moresby en Nueva Guinea es en punto clave en nuestras operaciones en el Pacífico suroeste. Sin esta zona, no podemos pensar en la ayuda y la defensa de parte de Australia y Nueva Zelanda. Tenemos que hacer todo para destruir los planes de Japón. Nuestra inteligencia ha interceptado un mensaje con la fecha y el lugar exactos del aterrizaje de las fuerzas invasoras, pero todavía tenemos que confirmar su ruta hacia la costa. Nuestro objetivo es destruir la flota Invasora que está en cambio hacia Port Moresby.
CoralSeaName	Upon the Coral Sea	Na Morzu Koralowym	Im Korallenmeer	Dans la Mer de Corail	在珊瑚海之上	No Mar de Corais.	В Коралловом Море	En el Mar de Coral
CoralSeaObj1	Prevent the Imperial Japanese Navy’s advance on Port Moresby by destroying its fleets.	Powstrzymaj marynarkę japońską przed dotarciem do Port Moresby, niszcząc jej floty.	Verhindere die japanische Marine, Port Moresby zu erreichen, indem du ihre Flotte zerstörst.	Empêchez la marine japonaise d’atteindre le Port Moresby en détruisant ses flottes.	通过摧毁舰队阻止日本帝国海军向莫尔兹比港进军。	Impeça que a marinha japonesa chegue a Port Moresby destruindo a suas frotas.	Не дайте японским военно-морским силам достичь Порт-Морсби, уничтожая их флоты.	Pare la marina japonesa antes de llegar a Port Moresby destruyendo sus flotas.
CoralSeaObj2	Moving to a strategic position will give you a tactical advantage against the enemy.	Zajęcie strategicznej pozycji zapewni ci przewagę taktyczną nad wrogiem.	Das Beziehen der strategischen Stellung wird dir taktischen Vorteil gegenüber dem Feind sichern.	Prenez une position stratégique pour gagner un avantage tactique sur votre ennemi.	移动到战略位置会给你带来战术优势。	A ocupação dessa localização estratégica vai oferecer-nos  uma vantagem tática sobre o inimigo.	Занятие стратегической позиции даст Вам тактическое преимущество перед противником.	La fotografía de la posición estratégica le ofrecerá una ventaja táctica sobre el enemigo.
DoLittleDesc	The time has come to strike against the enemy on their home ground. The Japanese capital, Tokyo, has been chosen as our target; a successful raid there might boost morale at home and expose the mainland’s vulnerability to air attacks. In order for this to work, we must avoid detection in enemy-patrolled waters—maintaining radio silence at all times and slipping past their defenses. From the sea, we can launch our raid.	Nadszedł czas, by uderzyć na wroga na jego rodzimym terenie. Za cel obraliśmy japońską stolicę, Tokio. Udany nalot tam może podnieść morale w kraju i ujawnić podatność kontynentu na ataki lotnicze. Aby to się udało, musimy uniknąć wykrycia na wodach patrolowanych przez wroga - zachowując przez cały czas ciszę radiową i prześlizgując się przez jego obronę. Z morza możemy rozpocząć nasz rajd.	Es ist an der Zeit, den Feind in seinem Haus anzugreifen. Unser Ziel ist die japanische Hauptstadt, Tokio. Ein gelungener Luftangriff kann den Kampfgeist im Land stärken und die Verwundbarkeit des Kontinents im Fall von Luftangriffen aufzeigen. Damit das gelingt, müssen wir auf den durch den Feind patrouillierten Gewässern unentdeckt bleiben - die ganze Zeit Funkstille halten und durch seine Verteidigung schlüpfen. Wir können unsere Jagd vom Meer aus beginnen.	Il est temps d’attaquer l’ennemi sur son terrain. Notre cible est la capitale du Japon, Tokyo. Un raid aérien réussi nous permettra de remonter la morale dans le pays et révéler la vulnérabilité du continent aux attaques aériennes. Pour réussir, nous ne pouvons pas nus laisser repérer dans les eaux patrouillées par l’ennemi - en maintenant tout le temps le silence radio et en glissant à travers ses défenses. Nous pouvons lancer notre raid depuis la mer.	是时候在他们的主场打击敌人了。 日本首都东京被选为我们的目标； 一次成功的突袭可能会鼓舞国内士气， 并暴露日本在空袭中的脆弱性。 为了成功执行这项工作， 我们必须避免在敌人巡逻的水域中被发现  ——  始终保持无线电静默并绕过他们的防御， 我们可以从海上发动突袭。	Já é hora de atacar o inimigo no seu terreno. O nosso alvo é a capital japonesa: Tóquio. Um ataque aéreo bem sucedido vai ajudar a melhora o moral no país e ver a propensão do continente a ataques aéreos. Para isso se poder realizar com êxito, devemos evitar que sejamos detetados nas águas patrulhadas pelo inimigo mantendo o silêncio de comunicações e esquivando as suas defesas. Desde o mar podemos começar a nossa invasão.	Пришло время нанести удар по врагу на его родной земле. В качестве цели мы выбрали столицу Японии – Токио. Успешный авиаудар, нанесенный в это место, может поднять боевой дух в стране и продемонстрировать уязвимость континента перед воздушными наступлениями. Чтобы это получилось, мы должны не дать себя обнаружить в патрулируемых врагом водах, постоянно соблюдая радиомолчание и проскальзывая сквозь его оборону. Можем начать наше нападение с моря.	Ya es hora de atacar al enemigo en su terreno nativo. Nuestro objetivo es Tokio, la capital japonesa. Un ataque aéreo a la ciudad puede mejorar la moral en el país y revelar la propensión del continente a los ataques aéreos. Para que tengamos éxito, no nos pueden detectar en las aguas patrulladas por el enemigo. Tenemos que mantener el silencio de radio e inmiscuirnos a través de su defensa. Desde el mar, podremos iniciar nuestro ataque.
DoLittleName	Raiders of Tokyo	Atak na Tokio	Angriff auf Tokio	L’attaque sur Tokyo	轰炸东京	Ataque a Tóquio	Наступление на Токио	Ataque a Tokio
DoLittleObj1	Scout the area for routes of safe passage, and make your way to the launch point east of Japan—avoiding any battles along the way.	Przeprowadź zwiad w tym obszarze w poszukiwaniu bezpiecznych szlaków i przedostań się do punktu startowego na wschód od Japonii - unikając bitew po drodze.	Schicke ein Erkundungstrupp auf dem Gebiet, um sichere Routen zu finden und begib dich zum Startpunkt östlich von Japan - vermeide Schlachten unterwegs.	Faites une reconnaissances dans cette région en recherchant des vois sûres et dirigez-vous vers le point de départ à l’est du Japon - en évitant les batailles au passage.	侦察该地区以寻找安全通道， 然后前往日本东部的起飞点  ——  避免沿途发生任何战斗。	Realize uma missão de reconhecimento nesta zona em busca de rotas seguras e chegue ao ponto de início a leste do Japão evitando combates.	Разведайте местность в этом районе в поиске безопасных маршрутов и доберитесь до начальной точки к востоку от Японии, избегая сражений в пути.	Realice una misión de reconocimiento en esta zona en busca de rutas seguras y llegue hasta el punto de inicio al este de Japón evitando combates.
DoLittleObj2	Launch an escort mission for the air raid on Tokyo, before retreating from enemy territory.	Rozpocznij misję eskortującą nalot na Tokio, a następnie wycofaj się z terytorium wroga.	Beginne die Mission, die Geleitschutz dem Angriff auf Tokio bietet, danach verlasse das feindliche Gebiet.	Lancez la mission d’escorte du raid aérien sur Tokyo et retirez-vous immédiatement du territoire ennemi.	在从敌方领土撤退之前对东京发动空袭。	Inicie a missão de escolta para o ataque aéreo a Tóquio e depois retire-se do território do inimigo.	Начните миссию сопровождения нападения на Токио, а затем покиньте территорию врага.	Inicie una misión de escolta del ataque aéreo a Tokio y a continuación retroceda al territorio del enemigo.
