	en	pl	de	fr	zh	pt	ru	es
ControlsCameraControl	Camera Control	Kontrola kamery	Kamerakontrolle	Contrôle de caméra	相机控制	Controlo de sala	Контроль камеры	Control de la cámara
ControlsCamRotateRight	Rotate camera angle right	Obrót kamery w prawo	Kameradrehung nach rechts	Faire pivoter le caméra à droite	向右旋转相机角度	Virar a sala para a direita	Повернуть камеру вправо	Girar la cámara hacia la derecha
ControlsCamRotateLeft	Rotate camera angle left	Obrót kamery w lewo	Kameradrehung nach links	Faire pivoter le caméra à gauche	向左旋转相机角度	Virar a sala para a esquerda	Повернуть камеру влево	Girar la cámara hacia la izquierda
ControlsQuickSave	Quick save	Szybki zapis	Schnelles Speichern	Enregistrement rapide	快速保存	Guardar rapidamente	Быстрая запись	Grabación rápida
ControlsQuickLoad	Quick load	Szybkie wczytanie	Schnelles Einlesen	Chargement rapide	快速加载	Carregar rapidamente	Быстрая загрузка	Lectura rápida
ControlsDcFirefighting	Set all DC to firefighting	Ustaw wszystkie BN na gaszenie ognia	Alle RB auf Feuerlöschen einstellen	Paramétrer tous les BR à lutter contre l’incendie	将所有维修小队的工作设置为消防	Enviar todas as BR para o apagamento do incêndio	Установить все РБ на тушение огня	Mandar a todos los ER a apagar el incendio
ControlsDcMalfunctions	Set all DC to malfunction repair	Ustaw wszystkie BN na naprawę usterek	Alle RB auf Reparatur der Störungen einstellen	Paramétrer tous les BR à réparer les défauts	将所有维修小队的工作设置为故障修复	Enviar todas as BR para a reparação de defeitos	Установить все РБ на исправление неисправностей	Mandar a todos los ER a reparar los fallos
ControlsDcDeflooding	Set all DC to deflooding	Ustaw wszystkie BN na odpompowywanie	Alle RB auf Abpumpen einstellen	Paramétrer tous les BR à pomper l’eau	将所有维修小队的工作设置为排水	Enviar todas as BR para a bombagem	Установить все РБ на откачивание воды	Mandar a todos los ER a bombear agua
ControlsDcMedical	Set all DC to medical duties	Ustaw wszystkie BN na opiekę medyczną	Alle RB auf medizinische Hilfe einstellen	Paramétrer tous les BR aux soins médicaux	将所有维修小队的工作设置为医疗服务	Enviar todas as BR para o cuidado médico	Установить все РБ на медицинское обслуживание	Mandar a todos los ER a realizar cuidados médicos
ControlsSquadronDive	Place 1 dive bomber squadron on deck	Ustaw 1 eskadrę bombowców nurkowych na pokładzie	1 Tauchbomber-Staffel auf dem Deck aufstellen	Positionner 1e escadre des bombardiers en piqué sur le bord	在甲板上放置 1 个俯冲轰炸机飞行中队	Colocar 1 esquadra de bombardeiros de mergulho a bordo	Установить 1 эскадрилью пикирующих бомбардировщиков на палубе	Colocar 1 escuadra de bombarderos en picado sobre la cubierta
ControlsSquadronTorpedo	Place 1 torpedo bomber squadron on deck	Ustaw 1 eskadrę bombowców torpedowych na pokładzie	1 Torpedobomber-Staffel auf dem Deck aufstellen	Positionner 1e escadre des bombardiers torpilleurs sur le bord	在甲板上放置 1 个鱼雷轰炸机飞行中队	Colocar 1 esquadra de torpedeiros a bordo	Установить 1 эскадрилью торпедоносцев на палубе	Colocar 1 escuadra de bombarderos de torpedos sobre la cubierta
ControlsSquadronFighters	Place 1 fighter squadron on deck	Ustaw 1 eskadrę myśliwców na pokładzie	1 Jagdstaffel auf dem Deck aufstellen	Positionner 1e escadre de chasseurs sur le bord	在甲板上放置 1 个战斗机飞行中队	Colocar 1 esquadra de caças a bordo	Установить 1 эскадрилью истребителей на палубе	Colocar 1 escuadra de cazas sobre la cubierta
ControlsCarrierSpeedDeadSlow	Dead Slow (carrier speed)	Bardzo powoli (prędkość lotniskowca)	Sehr langsam (Geschwindigkeit des Flugzeugträgers)	Très lentement (la vitesse du porte-avion)	极慢（航母速度）	Muito lentamente (velocidade do porta-aviões)	Очень медленно (скорость авианосца)	Muy lentamente (velocidad del portaaviones)
ControlsCarrierSpeedSlow	Slow (carrier speed)	Powoli (prędkość lotniskowca)	Langsam (Geschwindigkeit des Flugzeugträgers)	Lentement (la vitesse du porte-avion)	慢（航母速度）	Lentamente (velocidade do porta-aviões)	Медленно (скорость авианосца)	Lentamente (velocidad del portaaviones)
ControlsCarrierSpeedHalf	Half (carrier speed)	Pół naprzód (prędkość lotniskowca)	Halbe Kraft voraus (Geschwindigkeit des Flugzeugträgers)	En avant demi vitesse (la vitesse du porte-avion)	半速（航母速度）	Metade à frente (velocidade do porta-aviões)	Половина (скорость авианосца)	A medio vapor (velocidad del portaaviones)
ControlsCarrierSpeedFull	Full (carrier speed)	Cała naprzód (prędkość lotniskowca)	Volle Kraft voraus (Geschwindigkeit des Flugzeugträgers)	En avant toute (la vitesse du porte-avion)	全速（航母速度）	Toda a força à frente (velocidade do porta-aviões)	Полный вперед (скорость авианосца)	A todo vapor (velocidad del portaaviones)
ControlsCarrierSpeedStop	Stop (carrier speed)	Zatrzymaj (prędkość lotniskowca)	Anhalten (Geschwindigkeit des Flugzeugträgers)	Arrêter (la vitesse du porte-avion)	停止（航母速度）	Parar (velocidade do porta-aviões)	Остановиться (скорость авианосца)	Parar (velocidad del portaaviones)
GraphicsDisplayModeTitle	Display Mode	Tryb wyświetlania	Einblendmodus	Mode d’affichage	显示模式	Modo de visualização	Режим отображения	Modo de visualización
GraphicsDisplayModeWindowed	Windowed	W oknie	Im Fenster	Dans la fenêtre	打开窗口	Na janela	В окне	En ventana
GraphicsDisplayModeFullscreen	Full Screen	Pełny ekran	Vollbild	Plein écran	全屏	Ecrã completo	На весь экран	Pantalla completa
GraphicsResolutionTitle	Resolution	Rozdzielczość	Auflösung	Résolution	分辨率	Resolução	Разрешение	Resolución
GraphicsResolutionNative	(native)	(natywna)	(nativ)	(native)	（自适应）	(nativa)	(родной)	(original)
GraphicsTextureTitle	Texture Quality	Jakość tekstur	Texturqualität	Qualité des textures	纹理质量	Qualidade das texturas	Качество текстур	Calidad de las texturas
GraphicsOptionHigh	High	Wysoka	Hoch	Élevée	高	Alta	Высокое	Alta
GraphicsOptionMedium	Medium	Średnia	Mittel	Moyenne	中	Média	Средняя	Media
GraphicsOptionLow	Low	Niska	Niedrig	Basse	低	Baixa	Низкое	Baja
GraphicsOptionVeryLow	Very Low	Bardzo niska	Sehr niedrig	Très basse	非常低	Muito baixa	Очень низкое	Muy baja
GraphicsAnisotropic	Anisotropic Filtering	Filtrowanie anizotropowe	Anisotrope Filterung	Filtrage anisotrope	各向异性过滤	Filtragem anisotrópica	Анизотропная фильтрация	Filtro antisotrópico
GraphicsOptionOn	On	Wł.	Ein	All.	打开	Lig.	Вкл.	Encendido
GraphicsOptionOff	Off	Wył.	Aus	Ét.	关闭	Deslig.	Выкл.	Apagado
GraphicsAntiAliasingTitle	Anti-Aliasing	Antyaliasing	Anti-Aliasing	Anty-Aliasing	抗锯齿	Anti-Aliasing	Сглаживание	Antyaliasing
GraphicsShadowsTitle	Shadows Quality	Jakość cieni	Schattenqualität	Qualité des ombres	阴影质量	Qualidade das sombras	Качество тени	Calidad de las sombras
GraphicsTextureStreaming	Texture Streaming	Strumieniowanie tekstur	Streaming-Texturen	Diffusion en continue des textures	纹理串流	Streaming de texturas	Потоковая передача текстур	Flujo de texturas
GraphicsLightTitle	Light Quality	Jakość światła	Lichtqualität	Qualité de lumière	光线质量	Qualidade da lu	Качество света	Calidad de la luz
GraphicsParticles	Particles	Efekty cząsteczkowe	Teilcheneffekte	Effets des particules	粒子效果	Efeitos parciais	Эффекты частиц	Efectos parciales
GraphicsReflections	Reflections	Odbicia	Abblendungen	Reflets	反射效果	Reflexos	Отражение	Reflejos
ControlsKeyShift	Shift	Shift	Shift	Shift	Shift 键	Shift	Shift	Shift
ControlsKeyCtrl	CTRL	CTRL	CTRL	CTRL	CTRL 键	CTRL	CTRL	CTRL
ControlsKeyAlt	ALT	ALT	ALT	ALT	ALT 键	ALT	ALT	ALT
ControlsKeyEnter	Enter	Enter	Enter	Enter	Enter 键	Enter	Enter	Enter
ControlsKeyEsc	ESC	ESC	ESC	ESC	ESC 键	ESC	ESC	ESC
ControlsKeyBksp	Backspace	Backspace	Backspace	Backspace	Backspace 回退键	Backspace	Backspace	Backspace
ControlsKeyTab	Tab	Tab	Tab	Tab	Tab 键	Tab	Tab	Tab
ControlsKeySpace	Space	Spacja	Leerzeichen	Barre d’espace	空格键	Espaço	Пробел	Espacio
ControlsKeyIns	Insert	Insert	Insert	Insert	Insert 插入键	Insert	Insert	Insert
ControlsKeyDel	Delete	Delete	Delete	Delete	Delete 删除键	Delete	Delete	Delete
ControlsKeyLeft	Left	W lewo	Nach links	À gauche	左	À esquerda	Влево	Izquierda
ControlsKeyRight	Right	W prawo	Nach rechts	À droite	右	À direita	Вправо	Derecha
ControlsKeyUp	Up	W górę	Nach oben	En haut	上	Para cima	Вверх	Arriba
ControlsKeyDown	Down	W dół	Nach unten	En bas	下	Para baixo	Вниз	Abajo
ControlsKeyHome	Home	Home	Home	Accueil	Home 键	Home	Home	Inicio
ControlsKeyEnd	End	End	End	End	End 键	End	End	End
ControlsKeyPgup	Page Up	Page Up	Page Up	Page Up	Page Up 向上翻页键	Page Up	Page Up	Page Up
ControlsKeyPgdn	Page Down	Page Down	Page Down	Page Down	Page down 向下翻页键	Page Down	Page Down	Page Down
ControlsKeyMouseLeft	Mouse Left	LPM	LMT	BGS	鼠标左键	Botão esquerdo do rato	Левая кнопка мыши	Botón izquierdo del ratón
ControlsKeyMouseMiddle	Mouse Middle	ŚPM	MMT	BCS	鼠标中间键	Botão central do rato	Средняя кнопка мыши	Botón central del ratón
ControlsKeyMouseRight	Mouse Right	PPM	RMT	BDS	鼠标右键	Botão direito do rato	Правая кнопка мыши	Botón derecho del ratón
ControlsKeyLeftShift	Left Shift	Lewy Shift	Shift links	Shift Gauche	左 Shift 键	Shift esquerdo	Левая клавиша Shift	Shift izquierdo
ControlsKeyRightShift	Right Shift	Prawy Shift	Shift rechts	Shift Droit	右 Shift 键	Shift direito	Правая клавиша Shift	Shift derecho
ControlsKeyLeftCtrl	Left CTRL	Lewy CTRL	CTRL links	CTRL Gauche	左 CTRL 键	CTRL esquerdo	Левая клавиша CTRL	CTRL izquierdo
ControlsKeyRightCtrl	Right CTRL	Prawy CTRL	CTRL rechts	CTRL Droit	右 CTRL 键	CTRL direito	Правая клавиша CTRL	CTRL derecho 
ControlsKeyLeftAlt	Left ALT	Lewy ALT	ALT links	ALT Gauche	左 ALT 键	ALT esquerdo	Левая клавиша ALT	ALT izquierdo
ControlsKeyRightAlt	Right ALT	Prawy ALT	ALT rechts	ALT Droit	右 ALT 键	ALT direito	Правая клавиша ALT	ALT derecho
ControlsKeyLeftWindows	Left Windows	Lewy przycisk Windows	Linke Taste Windows	Bouton Gauche Windows	左窗口	Botão Windows esquerdo	Левая клавиша Windows	Botón Windows izquierdo
ResumeGame	Resume Game	Wznów grę	Weiterspielen	Reprendre le jeu de nouveau	继续游戏	Reiniciar jogo	Возобновить игру	Reiniciar juego
ResumeGameCaps	RESUME GAME	WZNÓW GRĘ	WEITERSPIELEN	REPRENDRE LE JEU	继续游戏	REINICIAR JOGO	ВОЗОБНОВИТЬ ИГРУ	REINICIAR JUEGO
SaveGameCaps	SAVE GAME	ZAPISZ GRĘ	SPIEL SPEICHERN	SAUVEGARDER LE JEU	保存游戏	GUARDAR JOGO	СОХРАНИТЬ ИГРУ	GUARDAR JUEGO
LoadGameCaps	LOAD GAME	WCZYTAJ GRĘ	SPIEL EINLESEN	CHARGER LE JEU	加载游戏	CARREGAR JOGO	ЗАГРУЗИТЬ ИГРУ	CARGAR JUEGO
ControlsCaps	CONTROLS	STEROWANIE	STEUERUNG	CONTRÔLE	控制项	CONTROLO	УПРАВЛЕНИЕ	CONTROL
GraphicsCaps	GRAPHICS	GRAFIKA	GRAPHIK	GRAPHISME	图形	GRÁFICA	ГРАФИКА	GRÁFICO
AudioCaps	AUDIO	AUDIO	AUDIO	AUDIO	音频	AUDIO	АУДИО	AUDIO
LanguageCaps	LANGUAGE	JĘZYK	SPRACHE	LANGUE	语言	LÍNGUA	ЯЗЫК	IDIOMA
MainMenuCaps	MAIN MENU	MENU GŁÓWNE	HAUPTMENÜ	MENU PRINCIPAL	主菜单	MENU PRINCIPAL	ГЛАВНОЕ МЕНЮ	MENÚ PRINCIPAL
QuitGameCaps	QUIT GAME	WYJDŹ Z GRY	SPIEL VERLASSEN	QUITTER LE JEU	退出游戏	SAIR DO JOGO	ВЫЙТИ ИЗ ИГРЫ	SALIR DEL JUEGO
SettingsCaps	SETTINGS	USTAWIENIA	EINSTELLUNGEN	PARAMÈTRES	设置	CONFIGURAÇÕES	НАСТРОЙКИ	CONFIGURACIÓN
CameraControlCaps	CAMERA CONTROL	USTAWIENIA KAMERY	KAMERAEINSTELLUNGEN	PARAMÈTRES DU CAMÉRA	相机控制	CONFIGURAÇÕES DE sala	НАСТРОЙКИ КАМЕРЫ	CONFIGURACIONES DE CÁMARA
ContinueCaps	CONTINUE	KONTYNUUJ	FORTSETZEN	CONTINUER	继续	CONTINUAR	ПРОДОЛЖИТЬ	CONTINUAR
YesCaps	YES	TAK	JA	OUI	是	SIM	ДА	SÍ
NoCaps	NO	NIE	NEIN	NON	否	NÃO	НЕТ	NO
ExitCaps	EXIT	WYJDŹ	VERLASSEN	QUITTER	退出	SAIR	ВЫЙТИ	SALIR
ControlsKeyNumLock	Num Lock	Num Lock	Num Lock	Num Lock	Num Lock 键	Num Lock	Num Lock	Num Lock
ControlsKeyBreak	Break	Break	Break	Break	Break 键	Break	Break	Break
ControlsKeyPrtScr	Print Screen	Print Screen	Print Screen	Print Screen	打印屏幕键	Print Screen	Print Screen	Print Screen
ControlsKeyPause	Pause	Pauza	Pause	Pause	Pause 暂停键	Pausa	Pause	Pausa
ControlsKeyScrollLock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock	Scroll Lock 键	Scroll Lock	Scroll Lock	Scroll Lock
ControlsKeyRightWindows	Right Windows	Prawy przycisk Windows	Rechte Taste Windows	Bouton Droit Windows	右窗口	Botão Windows direito	Правая клавиша Windows	Botón Windows derecho
ControlsKeyCapsLock	Caps Lock	Caps Lock	Caps Lock	Caps Lock	Caps Lock 大写锁定键	Caps Lock	Caps Lock	Caps Lock
SubpixelAntiAliasing	SPX	Sub-Pixel	Sub-Pixel	Sub-Pixel	SPX.	Sub-Pixel	Sub-Pixel	Sub-Pixel
NoAntiAliasing	None	Brak	Keine	Aucun	没有	Não há	Нет	Ninguno
FastAntiAliasing	FXAA	FXAA	FXAA	FXAA	FXAA.	FXAA	FXAA	FXAA
Low	Low	Niska	Niedrig	Basse	低的	Baixa	Низкое	Baja
High	High	Wysoka	Hoch	Élevée	高的	Alta	Высокое	Alta
VeryHigh	Very High	Bardzo wysoka	Sehr hoch	Très élevée	很高	Muito alta	Очень высокое	Muy alta
GraphicsDisplayModeBorderless	Borderless	Bez ramki	Randlos	Sans bordure	无边界	Borderless	Без рамки	Sin marco
GraphicsDisplayModeMaximizedWindow	Maximized Window	Zmaksymalizowane okno	Maximiertes Fenster	Fenêtre maximisée	最大化的窗口	Janela Maximizada	Развернутое окно	Ventana maximizada
