	en	pl	de	fr	zh	pt	ru	es
M1.2O2D	The cargo fleet must survive its journey to Wake Island. Defend it against enemy attacks.	Flota cargo musi przetrwać podróż na wyspę Wake. Broń ją przed wrogimi atakami.	Die Cargoflotte soll die Fahrt zur Insel Wake unversehrt realisieren. Verteidige sie vor feindlichen Angriffen.	La flotte cargo doit arrêter son itinéraire sur l’île Wake. Défendez-la contre les attaques ennemies.	货运船队必须在前往威克岛的旅程中幸存下来， 并防御敌人的攻击。	A frota cargo tem que sobreviver a viagem à Ilha de Wake. Defenda-a contra os ataques inimigos.	Грузовой флот должен уцелеть в пути к острову Уэйк. Защищайте его от вражеских наступлений.	La flota cargo debe sobrevivir el viaje a la isla de Wake. Protéjala contra los ataques enemigos.
M1.2O2.1	[OBSOLETE] Defend the cargo fleet from attacks (Cargo fleet: 1/2)	Ochroń flotę transportową przed atakami [Flota cargo: 1/2].	Beschütze die Transportflotte vor Angriffen [Cargoflotte: 1/2]	Protégez la flotte de transport contre les attaques [Flotte cargo : 1/2]	[已过时] 保护货运舰队免受攻击 [货运舰队：1/2] 	Proteja a frota de transporte contra os ataques [Frota cargo: 1/2]	Защитите транспортный флот от нападений. [Грузовой флот: 1/2].	Proteja la flota de transporte contra los ataques (flota cargo: 1/2].
M1.4O1	Destroy the enemy fleets	Zniszcz wrogie floty.	Zerstöre die feindlichen Flotten.	Détruisez les navires ennemis.	摧毁敌方舰队	Destrua as frotas inimigas.	Уничтожьте вражеские флоты. 	Destruya las flotas enemigas
M1.4O1D	Destroy all five fleets of the Imperial Japanese Navy.	Zniszcz wszystkie pięc flot japońskiej marynarki wojennej.	Zerstöre alle fünf Flotten der japanischen Kriegsmarine.	Détruisez les cinq flottes de la marine japonaise.	摧毁日本帝国海军的所有五支舰队。	Destrua todas as cinco frotas da marinha japonesa.	Уничтожьте все пять флотов военно-морских сил Японии.	Destruya todas las cinco flotas de la marina japonesa.
M1.4O2	Protect the Allied fleets from enemy attack	Obroń sojusznicze floty przed atakiem nieprzyjaciela.	Beschütze die Flotten der Verbündeten vor den feindlichen Angriffen.	Défendez les flottes alliées contre les attaques ennemies.	保护盟军舰队免受敌人攻击	Defenda as frotas aliadas contra os ataques inimigos	Защитите союзные флоты от нападения противника.	Defienda las flotas aliadas contra el ataque del enemigo.
M1.4O2D	Do not allow the enemy to destroy all of the Allied vessels.	Nie pozwól wrogowi zniszczyć wszystkich flot sojuszniczych.	Erlaube dem Feind nicht, alle Flotten der Verbündeten zu zerstören.	Empêchez l’ennemi de détruire toutes les flottes alliées.	不要让敌人摧毁所有盟军船只。	Não permita o inimigo destruir todas as frotas aliadas.	Не позвольте врагу уничтожить все союзные флоты.	No permita que el enemigo destruya todas las flotas aliadas.
M1.4O3	(Optional) Destroy the enemy aircraft carrier	[Opcjonalnie] Zniszcz wrogi lotniskowiec.	[Optional] Zerstöre den feindlichen Flugzeugträger.	[En option] Anéantissez le porte-avions ennemi	 [可选] 摧毁敌方航空母舰	[Opcional] Destrua o porta-aviões inimigo	[Необязательно] Уничтожьте вражеский авианосец.	[Opcional] Destruya el portaaviones enemigo.
M1.4O3D	Destroying the Japanese navy’s aircraft carrier will prevent it from defending the attacking fleets.	Zniszczenie japońskiego lotniskowca uniemożliwi mu ochronę atakujących flot.	Die Zerstörung des japanischen Flugzeugträgers wird verhindern, dass er die angreifenden Flotten beschützt.	La déstruction du porte-avions japonais lui empêchera de protéger ses flottes en attaque.	摧毁日本海军的航空母舰将使其无法保卫进攻舰队。	A destruição do porta-aviões japonês impedirá que proteja as frotas a atacarem.	Уничтожение японского авианосца сделает защиту наступающих флотов невозможной для него.	La destrucción del portaaviones japonés le impedirá proteger las flotas atacantes.
M2.1O1	Avoid enemy detection	Nie daj się wykryć wrogowi.	Lass dich nicht vom Feind entdecken.	Ne laissez pas vous repérer par l’ennemi	避免被敌人发现	Não se deixe detetar pelo inimigo	Не позвольте врагу обнаружить Вас.	No deje que el enemigo le detecte.
M2.1O1D	You must not be detected by Japanese patrol fleets as you approach the launch point.	Nie możesz zostać wykryty przez japońskie floty patrolowe w drodze do punktu startowego.	Unterwegs zum Startpunkt kannst du nicht durch die japanischen Patrouillenschiffe entdeckt werden	Ne laisser pas vous repérer par les flottes japonaises de patrouille allant vers le point de départ.	当你接近起飞点时， 你不能被日本巡逻队发现。	Não podes ser detetado pelas frotas de patrulha a caminho do ponto de início.	Вы не можете быть обнаружены японскими патрульными флотами на пути к исходной точке.	No puede ser detectado por las flotas de patrulla japonesas en su camino hacia el punto de inicio.
M2.1O2	Reach the launch point (grid square J6)	Dotrzyj do punktu startowego [kwadrat J6].	Erreiche den Startpunkt [Quadrat J6]	Atteignez le point de départ [secteur J6]	到达起飞点 [方格J6] 	Atinja ao ponto de início [quadrado J6]	Достигните исходной точки [квадрат J6].	Llegue hasta el punto de inicio [zona J6].
M2.1O2D	Get close enough to Japan to launch planes escorting the bombers to Tokyo.	Zbliż się do Japonii na tyle, by wystrzelić samoloty eskortujące bombowce do Tokio.	Komm an Japan so nah, dass du die Geleitschutzflugzeuge für Bomber nach Tokio schicken kannst.	Approchez-vous du Japon afin de lancer les avions qui escortent les bombardiers à Tokyo.	在离日本足够近的地点才能对东京发动突袭。	Aproxime-se do Japão para descolar bombardeiros com direção a Tóquio.	Приблизьтесь к Японии настолько, чтобы запустить самолеты, сопровождающие бомбардировщики в Токио.	Acérquese a Japón hasta la distancia suficiente para soltar los aviones de escolta para los bombarderos que van a atacar Tokio.
M2.1O3	Launch the Bomber Escort mission	Wyślij Eskortę Bombowców.	Schicke Bomber-Geleitschutz	Envoyez une Escorte de Bombardiers	起飞护航轰炸机任务	Envie uma escolta de bombardeiros	Отправьте Эскорт Бомбардировщиков.	Envíe una Escolta de Bombarderos.
M2.1O3D	Send an escort for the B-25 bombers to help complete the air raid on Tokyo.	Wyślij eskortę dla bombowców B-25 by pomóc dokończyć nalot na Tokio.	Schicke Geleitschutz für Bomber B-25, um den Angriff auf Tokio fortzusetzen.	Envoyez une escorte de bombardiers B-25 pour aider à terminer le raid aérien sur Tokyo.	为 B-25 轰炸机提供护航， 以帮助完成对东京的空袭。	Envie uma escolta para os bombardeiros B-25 para poder terminar o ataque aéreo a Tóquio.	Отправьте эскорт для бомбардировщиков B-25, чтобы помочь завершить авиаудар по Токио.	Envíe una escolta de bombarderos B-25 para ayudar a terminar el ataque a Tokio.
M2.1O4	Escape from the area	Ucieknij z obszaru.	Verlasse das Gebiet	Quittez la région	逃离该地区	Fuja da zona	Покиньте район.	Huya de la zona.
M2.1O4D	Withdraw from enemy territory once the air raid on Tokyo has been launched.	Wycofaj się z terytorium wroga po rozpoczęciu nalotu na Tokio.	Verlasse das feindliche Territorium nach Beginn des Angriffs auf Tokio.	Retirez-vous du territoire de l’ennemi après le lancement du raid aérien sur Tokyo.	一旦对东京发动空袭后就立马从敌方领土撤出。	Retire-se do território do inimigo depois de iniciar o ataque aéreo a Tóquio.	Покиньте территорию врага после начала авиаудара по Токио.	Retroceda del territorio del enemigo después de iniciar el ataque a Tokio.
M2.2O1	Locate the submarine fleet	Wykryj flotę podwodną.	Orte die U-Boot-Flotte	Détectez la flotte sous-marine	找到潜艇舰队	Detete uma frota submarinha	Обнаружьте подводный флот.	Detecta la flota submarina.
M2.2O1D	Launch a Submarine Recon mission to locate the enemy submarines.	Wyślij misję Wykrywanie Okrętów Podwodnych, by zlokalizować wrogie okręty podwodne.	Entsende die Mission Aufspüren von U-Booten, um die feindlichen U-Boote zu orten.	Envoyez la mission Détection des Sous-marins afin de localiser les sous-marins ennemis.	执行潜艇侦察的起飞任务以定位敌方潜艇。	Envie uma missão de Deteção de submarinos para localizar os submarinos inimigos.	Отправьте миссию Обнаружение Подводных лодок, чтобы определить местоположение вражеских подводных лодок.	Envíe una misión de Detección de Submarinos para localizar los submarinos enemigos.
M2.2O2	Destroy the submarine fleet	Zniszczyć flotę okrętów podwodnych.	Zerstören der U-Boot-Flotte	Détruire la flotte de sous-marins	摧毁潜艇舰队	Destrua a frota de submarinos	Уничтожьте подводный флот.	Destruya la flota de submarinos.
M2.2O2D	Launch a Submarine Airstrike mission to take out the enemy submarines.	Rozpocznij misję Nalot na Okręty Podwodne, aby zlikwidować wrogie okręty podwodne.	Beginne die Mission Luftangriff auf die U-Boote, um die feindlichen U-Boote zu zerstören.	Lancez la mission Raid Aérien sur les Sous-marins visant l’élimination des sous-marins ennemis.	发起潜艇空袭任务以消灭敌方潜艇。	Inicie uma missão de Ataque aéreo aos submarinos para eliminar os submarinos inimigos.	Начните миссию Авиаудар на Подводные Лодки, чтобы ликвидировать вражеские подводные лодки.	Inicie la misión de Ataque aéreo a Submarinos para eliminar los submarinos enemigos.
M2.3O1	Rescue the group of survivors	Uratuj grupę rozbitków.	Rette eine Gruppe von Schiffbrüchigen	Sauvez un groupe de naufragés	营救幸存者群体	Resgate um grupo de náufragos	Спасите группу выживших.	Rescate a un grupo de náufragos.
M2.3O1D	Locate the survivors by reconnaissance and rescue them.	Znajdź rozbitków poprzez rekonesans i uratuj ich.	Finde die Schiffbrüchigen durch die Aufklärung und rette sie.	Retrouvez les naufragés par la patrouille et sauvez-les.	通过侦察找到幸存者并营救他们。	Encontre os náufragos através de uma missão de reconhecimento e resgate-os.	Найдите выживших с помощью рекогносцировки и спасите их.	Encuentre a los náufragos mediante una misión de reconocimiento y sálvelos.
M2.3O2.1	Rescue all of the survivors (0/4)	Uratuj wszystkich rozbitków [0/4].	Rette alle Schiffbrüchige [0/4]	Sauvez tous les naufragés [0/4]	拯救所有幸存者 [0/4]	Resgate todos os náufragos [0/4]	Спасите всех выживших.	Rescate a todos los náufragos [0/4].
M2.3O2.1D	Reconnoiter the areas where the other survivors are stranded and rescue them.	Wyślij zwiadowców na obszary, gdzie uwięzieni są inni rozbitkowie i uratuj ich.	Schicke Aufklärungstruppen in die Gebiete, wo sich andere Schiffbrüchige befinden und rette sie.	Envoyez les éclaireurs sur les territoires où il y a d’autres naufragés sauvegardés et sauvez-les.	侦察其他幸存者被困的地区并营救他们。	Envie rangers às zonas onde estão presos os outros náufragos e resgate-os.	Отправьте разведчиков в районы, в которых находятся другие выжившие, и спасите их.	Envíe a los exploradores a las zonas, donde están presos los demás náufragos y sálvelos.
M2.3O2.2	Rescue all of the survivors (1/4)	Uratuj wszystkich rozbitków [1/4].	Rette alle Schiffbrüchige [1/4]	Sauvez tous les naufragés [1/4]	拯救所有幸存者 [1/4] 	Resgate todos os náufragos [1/4]	Спасите всех выживших [1/4].	Rescate a todos los náufragos [1/4].
M2.3O2.3	Rescue all of the survivors (2/4)	Uratuj wszystkich rozbitków [2/4].	Rette alle Schiffbrüchige [2/4]	Sauvez tous les naufragés [2/4]	拯救所有幸存者 [2/4]	Resgate todos os náufragos [2/4]	Спасите всех выживших [2/4].	Rescate a todos los náufragos [2/4].
M2.3O2.4	Rescue all of the survivors (3/4)	Uratuj wszystkich rozbitków [3/4].	Rette alle Schiffbrüchige [3/4]	Sauvez tous les naufragés [3/4]	拯救所有幸存者 [3/4]	Resgate todos os náufragos [3/4]	Спасите всех выживших [3/4].	Rescate a todos los náufragos [3/4].
M2.3O2.5	Rescue all of the survivors (4/4)	Uratuj wszystkich rozbitków [4/4].	Rette alle Schiffbrüchige [4/4]	Sauvez tous les naufragés [4/4]	拯救所有幸存者 [4/4]	Resgate todos os náufragos [4/4]	Спасите всех выживших [4/4].	Rescate a todos los náufragos [4/4].
M2.3O3	(Optional) Hunt down the enemy fleets	[Opcjonalnie] Zatop floty wroga.	[Optional] Jage die feindliche Flotte.	[En option] Pourchassez la flotte ennemie.	 [可选] 追捕敌方舰队	[Opcional] Cace a frota inimiga.	[Необязательно] Потопите флоты врага.	[Opcional] Hunda las flotas del enemigo.
M2.3O3D	Optionally, you can locate the enemy fleets in the region and destroy them.	Opcjonalnie możesz zlokalizować wrogie floty w regionie i zniszczyć je.	Du kannst optional die feindlichen Flotten in der Region lokalisieren und zerstören.	En option, vous pouvez localiser des flottes ennemies dans la région et les détruire.	或者， 您可以在该地区找到敌方舰队并摧毁它们。	Opcionalmente, pode localizar as frotas inimigas na região e destruí-las.	По желанию Вы можете определить местоположение вражеских флотов в регионе и уничтожить их.	Opcionalmente, puede localizar las flotas enemigas en la región y destruirlas.
M2.3O4	Return to safety	Wróć do bezpiecznej strefy.	Kehre zur sicheren Zone zurück.	Retournez dans la zone sûre	返回安全区域	Volte à zona segura	Вернитесь в безопасную зону.	Vuelva a la zona segura.
M2.3O4D	After rescuing the survivors, withdraw from the enemy’s territory.	Po uratowaniu ocalałych wycofaj się z terytorium wroga.	Nach der Rettung der Überlebenden verlasse das feindliche Territorium.	Après avoir sauvé les survivants, quittez le territoire de l’ennemi	救出幸存者后， 撤离敌方领地。	Depois de salvar os náufragos, retire-se do território do inimigo.	После спасения выживших покиньте территорию врага.	Después de rescatar a los náufragos, retroceda del territorio del enemigo.
M2.4O1	Defend and support Midway	Broń i wspieraj Midway.	Verteidige und unterstütze Midway	Défendez et supportez Midway	捍卫和支援中途岛	Defenda e apoie Midway	Обороняйте и оказывайте поддержку Мидуэю.	Defienda y apoye Midway.
M2.4O1D	Defend Midway against air raids, and execute incoming orders from the base.	Obroń Midway przed nalotami i wykonuj rozkazy przychodzące z bazy.	Verteidige Midway vor den Angriffen und befolge die Befehle vom Stützpunkt.	Défendez Midway contre les attaques et suivez les ordres de la base.	保卫中途岛免受空袭， 并执行来自基地指挥部的指令。	Defenda Midway contra os ataques aéreos e realize as ordens da base.	Обороняйте Мидуэй от авиаударов и исполняйте приказы, которые поступают с базы.	Defienda Midway contra los ataques aéreos y realice las órdenes de la base.
M2.4O2.1	Send scouts to the indicated areas (0/2)	Wyślij zwiadowców do wyznaczonych stref [0/2].	Schicke Aufklärungstruppen in die festgelegten Zonen [0/2]	Envoyez les éclaireurs dans lez zones indiquées [0/2]	派遣侦察兵到指定区域 [0/2]	Envie rangers às zonas assinaladas [0/2]	Отправьте разведчиков в указанные области [0/2].	Envíe a los exploradores a las zonas indicadas [0/2].
M2.4O2.2	Send scouts to the indicated areas (1/2)	Wyślij zwiadowców do wyznaczonych stref [1/2].	Schicke Aufklärungstruppen in die festgelegten Zonen [1/2]	Envoyez les éclaireurs dans lez zones indiquées [1/2]	派遣侦察兵到指定区域 [1/2]	Envie rangers às zonas assinaladas [1/2]	Отправьте разведчиков в указанные области [1/2].	Envíe a los exploradores a las zonas indicadas [1/2].
M2.4O2.3	Send scouts to the indicated areas (2/2)	Wyślij zwiadowców do wyznaczonych stref [2/2].	Schicke Aufklärungstruppen in die festgelegten Zonen [2/2]	Envoyez les éclaireurs dans lez zones indiquées [2/2]	派遣侦察兵到指定区域 [1/2]	Envie rangers às zonas assinaladas [2/2]	Отправьте разведчиков в указанные области [2/2].	Envíe a los exploradores a las zonas indicadas [2/2].
M2.4O3.1	Identify the ships in enemy fleets (0/2)	Zidentyfikuj statki we wrogich flotach [0/2]	Identifiziere Schiffe in den feindlichen Flotten [0/2]	Identifiez les navires dans les flottes ennemies [0/2]	识别敌方舰队中的船只 [0/2]	Identifique os navios nas frotas inimigas [0/2]	Идентифицируйте корабли во вражеских флотах [0/2]	Identifique los buques en las flotas enemigas [0/2]
M2.4O3.2	Identify the ships in enemy fleets (1/2)	Zidentyfikuj statki we wrogich flotach [1/2]	Identifiziere Schiffe in den feindlichen Flotten [1/2]	Identifiez les navires dans les flottes ennemies [1/2]	识别敌方舰队中的船只 [1/2]	Identifique os navios nas frotas inimigas [1/2]	Идентифицируйте корабли во вражеских флотах [1/2]	Identifique los buques en las flotas enemigas [1/2]
M2.4O3.3	Identify the ships in enemy fleets (2/2)	Zidentyfikuj statki we wrogich flotach [2/2]	Identifiziere Schiffe in den feindlichen Flotten [2/2]	Identifiez les navires dans les flottes ennemies [2/2]	识别敌方舰队中的船只 [2/2]	Identifique os navios nas frotas inimigas [2/2]	Идентифицируйте корабли во вражеских флотах [2/2]	Identifique los buques en las flotas enemigas [2/2]
M2.4O4	Destroy the heavy carrier in the 1st Japanese Fleet	Zniszcz ciężki lotniskowiec 1szej floty Japońskiej.	Zerstöre den schweren Flugzeugträger der 1. Japanischen Flotte	Détruisez le porte-avions lourd de la 1e flotte japonaise	摧毁日本第一舰队的重型航母	Destrua um porta-aviões pesado da 1ª Frota Japonesa	Уничтожьте тяжелый авианосец первого флота Японии.	Destruya el portaaviones pesado de la 1ª Flota Japonesa.
M2.4O5	Destroy the escort carrier in the 2nd Japanese Fleet	Zniszcz lotniskowiec eskortowy 2giej floty Japońskiej.	Zerstöre den Geleitschutz-Flugzeugträger der 2. Japanischen Flotte	Détruisez le porte-avions d’escorte de la 2e flotte japonaise	摧毁日本第二舰队的护卫航母	Destrua um porta-aviões de escolta da 2ª Frota Japonesa	Уничтожьте эскортный авианосец второго флота Японии.	Destruya el portaaviones de escolta de la 2ª Flota Japonesa.
M2.4O6.1	Defeat the retreating enemy ships (0/2)	Zniszcz wycofujące się statki wroga [0/2].	Zerstöre die zurückweichenden feindlichen Schiffe [0/2]	Détruisez les navires ennemis en retrait [0/2]	击败撤退的敌舰 [0/2] 	Destrua os navios inimigos que estão a retirar-se [0/2]	Уничтожьте отступающие корабли врага [0/2].	Destruya los buques enemigos en retirada [0/2].
M2.4O6.2	Defeat the retreating enemy ships (1/2)	Zniszcz wycofujące się statki wroga [1/2].	Zerstöre die zurückweichenden feindlichen Schiffe [1/2]	Détruisez les navires ennemis en retrait [1/2]	击败撤退的敌舰 [1/2] 	Destrua os navios inimigos que estão a retirar-se [1/2]	Уничтожьте отступающие корабли врага [1/2].	Destruya los buques enemigos en retirada [1/2].
M2.4O6.3	Defeat the retreating enemy ships (2/2)	Zniszcz wycofujące się statki wroga [2/2].	Zerstöre die zurückweichenden feindlichen Schiffe [2/2]	Détruisez les navires ennemis en retrait [2/2]	击败撤退的敌舰 [2/2] 	Destrua os navios inimigos que estão a retirar-se [2/2]	Уничтожьте отступающие корабли врага [2/2].	Destruya los buques enemigos en retirada [2/2].
M3.2O1	Destroy two enemy land bases	Zniszcz dwie bazy lądowe wroga.	Zerstöre zwei Stützpunkte des Feindes auf dem Land	Détruisez deux bases terrestres de l’ennemi	摧毁两个敌方陆地基地	Destrua as bases terrestres do inimigo	Уничтожьте две наземные базы врага.	Destruya las dos bases terrestres del enemigo.
M3.2O1D	Clearing the coasts of Tarawa and Abemama will make our troops’ landing safer.	Oczyszczenie wybrzeży Tarawy i Abemamy sprawi, że lądowanie naszych wojsk będzie bezpieczniejsze.	Die Bereinigung der Küste von Tarawa und Abemama bewirkt, dass die Landung unserer Kräfte sicherer wird.	Le dégagement des côtes de Tarawa et Abémama assurera un débarquement des soldats plus sûr.	清理塔拉瓦和阿贝马马的海岸将使我们的部队登陆更安全。	A limpeza das costas de Tarawa e Abemama fará com que seja mais segura aterragem das nossas tropas.	Очистка берегов Таравы и Абемамы сделает высадку наших войск более безопасной.	Gracias a la limpieza de las costas de Tarawa y Abemama, será más fácil que nuestras tropas aterricen de forma segura.
M3.2O2	Ensure that the Allied fleet reaches its destination	Dopilnuj, aby aliancka flota dotarła do celu.	Achte darauf, dass die alliierte Flotte ans Ziel kommt.	Veuillez à ce que la flotte alliée atteigne sa destination.	确保盟军舰队到达目的地	Certifique-se de que a frota chegue ao destino.	Проследите, чтобы союзный флот добрался до цели.	Certifíquese de que la flota aliada llega al destino.
M3.2O2D	Defend our troopship from attacks until it reaches the shores of Tarawa.	Broń naszego okrętu przed atakami, dopóki nie dotrze do brzegów Tarawy.	Verteidige unser Schiff vor Angriffen, bevor es an die Küste von Tarawa ankommt.	Défendez notre navire contre les attaques jusqu’à ce qu’il atteigne les côtes de Tarawa.	保卫我们的军舰免受攻击， 直到它到达塔拉瓦海岸。	Defenda o nosso navio contra o ataque até ele chegar à costa de Tarawa.	Защищайте наш корабль от нападений, пока он не достигнет берегов Таравы.	Defienda nuestro buque contra ataques hasta que llegue a la costa de Tarawa.
M3.2O3	(Optional) Destroy enemy reinforcements	[Opcjonalnie] Zniszcz posiłki wroga.	[Optional] Zerstöre die feindlichen Verstärkungstruppen.	[En option] Détruisez les renforts de l’ennemi.	 [可选] 摧毁敌方增援部队	[Opcional] Destrua as forças do inimigo.	[Необязательно] Уничтожьте вражеские подкрепления.	[Opcional] Destruya las tropas del enemigo.
M3.2O3D	Optionally, you can sink the Japanese strike groups in the region.	Opcjonalnie, możesz zatopić japońskie grupy uderzeniowe w regionie.	Du kannst optional die japanischen Sturmgruppen in der Region versenken.	En option, vous pouvez faire couler les groupes aéronavaux japonais dans la région.	或者， 您可以击沉该地区的日本攻击群。	Opcionalmente, pode destruir os grupos de ataque japoneses na região.	По желанию, можете потопить японские ударные группы в регионе.	Opcionalmente, puede hundir a los grupos de ataque japoneses en la región.
M3.2O4	Leave the area	Opuść obszar.	Verlasse das Gebiet	Quittez le territoire	离开该地区	Abandone a zona	Покиньте район.	Huya de la zona.
