	en	pl	de	fr	zh	pt	ru	es
RunwayDamaged	Plane wreck on the flight deck! Clear it before attempting deck operations.	Na pokładzie rozbił się samolot! Usuń wrak przed rozpoczęciem operacji.	Das Deck des Flugzeugträgers ist beschädigt! Repariere es, bevor du darauf aktiv wirst.	Borde du porte-avions endommagé ! Réparez-le avant de lancer les opérations.	飞行甲板受损！在尝试任何甲板操作之前修复它。	O bordo do porta-aviões está danificado! Repare-o antes de começar as operações.	На палубе разбился самолет! Уберите обломки до начала операции.	¡En la cubierta se ha estrellado un avión! Elimine el casco antes del inicio de la operación.
SLOW	SLOW	WOLNO	LANGSAM	LENTEMENT	慢	LENTO	МЕДЛЕННО	LENTO
SquadronIsNotOnDeck	The required aircraft are not on the flight deck!	Brakuje potrzebnych eskadr na pokładzie!	Es fehlen die notwendigen Staffeln auf dem Deck!	Escadres nécessaires sur le bords manquent !	甲板上缺少所需的中队！	Faltam esquadras necessárias a bordo!	На палубе нет нужных эскадрилий!	¡Faltan las escuadras necesarias en la cubierta!
STOP	STOP	STOP	STOP	ARRÊT	停止	STOP	СТОП	STOP
SuppliesDepleted	Supplies Depleted	Wyczerpano Zasoby 	Ressourcen ausgeschöpft	Ressources Épuisées	供应耗尽	Recursos esgotados	Припасы Исчерпаны 	Recursos agotados 
Waterpump	Deflooding	Pompa wodna	Wasserpumpe	Pompe d’Eau	排水	Bomba de água	Водяной насос	Bomba de agua
Deck	Deck	Pokład	Deck	Bord	甲板	Bordo	Палуба	Cubierta
Sections	Sections	Sekcje	Sektionen	Sections	区域	Secções	Секции	Secciones
Free	Free Camera	Swobodna Kamera	Frei	Libre	自由环视相机	Lento	Свободная Камера	Cámara libre
Island	Island	Wyspa	Insel	Île	作战指挥部	Ilha	Остров	Isla
engineering	Engineering Dept.	Dział Inżynierii	Ingenieurabteilung:	Division d’Ingénierie	工程部门	Departamento de engenharia	Инженерный отдел	Departamento de Ingeniería
Retrive	Recover	Odbierz	Übernehme	Récupérez	撤回	Receber	Принять	Recibir
CongratulationsTopTitle	Congratulations!	Gratulacje!	Gratulation!	Félicitations !	祝贺！	Parabéns!	Примите поздравления!	¡Enhorabuena!
CongratulationsTopDesc	You have successfully completed the campaign.	Pomyślnie zakończyłeś kampanię.	Du hast die Kampagne erfolgreich abgeschlossen.	Vous avez réussi à terminer cette campagne.	您已成功完成了广告的投放。	Concluiu a campanha com um resultado positivo.	Вы успешно завершили кампанию.	Ha terminado la campaña con un resultado positivo.
CongratulationsDesc	Your actions have made a significant contribution to the Allied cause, Admiral. The war is not yet over, but thanks in part to your decisive leadership, the balance has been tipped in our favor. You can now enjoy a well-deserved rest—or return to the helm in the Sandbox.	Admirale, decyzje, które pan podjął, wpłynęły na losy całego świata. Dzięki tobie alianci zapisali się na kartach historii jako zwycięzcy, a twoje czyny są tego dowodem. Możesz udać się na zasłużony odpoczynek lub kontynuować zabawę w Sandbox'ie.	Admiral, die Entscheidungen, die Sie getroffen haben, haben den Schicksal der ganzen Welt beeinflusst. Dank dir wurden die Alliierten zu Siegern und deine Taten sind der Beweis dafür. Du kannst jetzt die wohlverdiente Ruhe genießen oder das Spiel in einem Sandkasten fortsetzen.	Amiral, les décisions que vous avez prises ont affecté le destin du monde. Vous avez fait les alliés entrer dans l’histoire comme vainqueurs et vos actes le prouvent. Vous pouvez prendre un repos mérité ou continuer à jouer dans le bac à sable.	海军上将， 您的决定影响了整个世界的命运， 感谢您。 盟友作为胜利者被载入史册， 您可以退休了， 去享受天伦之乐吧。	Almirante, as decisões que tomou tiveram impacto sobre a história de todo o mundo. Graças ao Senhor, os aliados ficaram na histórias como vencedores e as suas ações dão prova disso. Pode tomar o merecido descanso ou continuar a jogar no modo de aprendizagem.	Адмирал, решение, которое Вы приняли, повлияло на судьбу всего мира. Благодаря Вам союзники вошли в историю как победители, а Ваши действия являются доказательством этому. Вы можете отправиться на заслуженный отдых или продолжить игру в Песочнице.	Almirante, las decisiones que ha tomado han tenido influencia sobre la historia de todo el mundo. Gracias a usted, los aliados se han inscrito en las cartas de la historia como vencedores y sus hazañas son prueba de esto. Puede retirarse a su merecido descanso o continuar el juego en el Sandbox.
BaseDefenseBoost	Defense Composition	Kompozycja obronna	Verteidigungszusammensetzung	Composition de la Défense	国防组成	Composição de Defesa	Оборонный состав	Composición de defensa
