	en	pl	de	fr	zh	pt	ru	es
ConfirmEnemyFleet	Confirm skirmish	Potwierdź potyczkę	Bestätige das Gefecht	Confirmez l’escarmouche	确认小冲突	Confirme combate	Подтвердите стычку	Confirmar combate
UOMarkerTooltip	Unidentified object	Niezidentyfikowany obiekt	Nicht identifiziertes Objekt	Objet non identifié	不明物体	Objecto não identificado	Неопознанный объект	Objeto no identificado
PearlHarborPopup	Are you sure you want to abandon the operation and return to Pearl Harbor?	Czy na pewno chcesz zrezygnować z operacji i wrócić do Pearl Harbor?	Willst du wirklich auf diese Operation verzichten und nach Pearl Harbor zurückkehren?	Êtes-vous certains que vous voulez renoncer à l’opération et revenir à Pearl Harbor ?	您确定要放弃行动并返回珍珠港吗？	Está seguro de que deseja abandonar a operação e voltar a Pearl Harbor?	Вы точно хотите отказаться от операции и вернуться на Перл-Харбор?	¿Está seguro de que desea renunciar la operación y volver a Pearl Harbor?
PearlHarborEnter	Return to base	Wróć do bazy	Kehre zum Stützpunkt zurück	Revenez à la base	返回基地	Voltar à base	Вернитесь на базу	Volver a la base
PearlHarborCancel	Stay at sea	Zostań na morzu	Bleib auf dem Meer	Rester dans la mer	留在海上	Permaneça no mar	Останьтесь на море	Permanecer en el mar
PearlHarborType	Pearl Harbor	Pearl Harbor	Pearl Harbor	Pearl Harbor	珍珠港	Pearl Harbor	Перл-Харбор	Pearl Harbor
PearlHarborDescription	Return to Pearl Harbor to replenish your crew and aircraft, upgrade the carrier, or change the composition of your escort.	Wróć do Pearl Harbor, aby uzupełnić zapasy załogi i samolotów, ulepszyć lotniskowiec lub zmienić skład eskorty.	Kehre zum Pearl Harbor zurück um die Ressourcen an Personal und Flugzeugen zu ergänzen, den Flugzeugträger zu verbessern oder die Zusammenstellung des Geleitschutzes zu ändern.	Revenez à Pearl Harbor pour réapprovisionnement des ressources de l’équipage et des avions, améliorer le porte-avion et changer la composition de l’escorte.	返回珍珠港为你的船员和飞机进行补给， 升级航母， 或改变你的护航编制。	Voltar para Pearl Harbor para fazer o reabastecimento do tripulação e dos aviões, melhorar o porta-aviões ou modificar a composição da escolta.	Вернитесь на Перл-Харбор, чтобы пополнить запасы экипажа и самолетов, улучшить авианосец или изменить состав эскорта.	Volver a Pearl Harbor para reabastecer a la tripulación y los aviones, mejorar el portaaviones o cambiar de composición de la escolta.
ConfirmEnemyFleetAttack	Defend the carrier!	Broń lotniskowca!	Verteidige den Flugzeugträger!	Défendez le porte-avion !	保卫航母！	Defenda o porta-aviões!	Обороняйте авианосец!	¡Defienda el portaaviones!
OptionalObjective	Optional Mission	Opcjonalna misja	Optionale Mission	Mission optionnelle	可选任务	Missão opcional	Необязательная миссия	Misión opcional
MainObjective	Main Mission	Główna misja	Hauptmission	Mission principale	主要任务	Missão principal	Главная миссия	Misión principal
PoiOutOfRange	Out of range	Poza zasięgiem	Außer Reichweite	Hors de portée	超出范围	Fora do alcance	Вне зоны действия	Fuerza de alcance
PoiInRange	Within range	W zasięgu	Innerhalb der Reichweite	Dans la portée	范围内	Dentro do alcance	В зоне действия	Dentro del alcance
NoShipsToRepair	All the ships are in excellent condition.	Wszystkie statki są w doskonałym stanie	Alle Schiffe sind im hervorragenden Zustand	L’état de tous les navires sont dans un excellent état	所有船只状况良好	Todos os navios estão num estado perfeito	Все корабли в отличном состоянии	Todos los buques están en un estado perfecto
SandboxMedalReward1	Command Award	Nagroda za dowództwo 	Preis für das Kommando	Récompense pour commandement	任务指挥奖励	Prémio por dirigir as tropas	Награда за командование 	Premio por el mando 
SandboxMedalReward2	Completion Award	Nagroda za ukończenie	Preis für die Beendigung	Récompense pour avoir terminé	完成奖励	Prémio por concluir a missão	Награда за завершение	Premio por terminar la misión
Date	DATE	DATA	DATUM	DATE	日期	DATA	ДАТА	FECHA:
OptionalObjectiveObsolete	Available for:	Dostępne przez:	Verfügbar:	Disponibles à partir de :	可用：	Disponível através de:	Доступно в течение:	Disponible durante:
MainGoalSummary	OPERATION COMPLETED	OPERACJA ZAKOŃCZONA	OPERATION BEENDET	OPÉRATION TERMINÉE	操作已完成	OPERAÇÃO CONCLUÍDA	ОПЕРАЦИЯ ЗАВЕРШЕНА	OPERACIÓN FINALIZADA
MainGoalSummaryDesc1	Your fleet returned to Pearl Harbor.	Wróciłeś do Pearl Harbor.	Du bist nach Pearl Harbor zurückgekehrt.	Vous êtes retournés à Pearl Harbor.	你回到了珍珠港。	Voltou para Pear Harbor.	Вы вернулись на Перл-Харбор.	Ha vuelto a Pearl Harbor.
MainGoalSummaryDesc2	Well done, Admiral. Your service is a credit to the Allies. Every mission you carry through to completion, whatever its objectives, is another step towards victory.	Dobra robota, Admirale. Pańska służba jest dumą aliantów. Każda ukończona misja, niezależnie od jej celów, jest kolejnym krokiem w kierunku zwycięstwa.	Gratuliere, Admiral! Eine weitere sichere Rückkehr auf Ihrem Konto. Ihre Errungenschaften hatten einen großen Einfluss auf den Kriegsverlauf und sie werden mit Sicherheit für Ihre Anstrengungen gelobt.	Félicitations, Amirale. Un autre retour en toute sécurité sur votre compte. Vos réalisations ont eu un impact énorme sur le cours de la guerre, et vous serez certainement félicité pour vos efforts.	恭喜， 海军上将。 又一次安全完成任务， 您的成就对战争产生了巨大影响， 您的努力肯定会受到表扬。	Parabéns, Almirante. Mais uma volta segura na sua conta. Os seus resultados tiveram um enorme impacto sobre a guerra e de certeza vai ser agradecido pelo esforço.	Хорошая работа, Адмирал. Ваша служба – гордость союзников. Каждая завершенная миссия независимо от ее целей является еще одним шагом на пути к победе.	¡Buen trabajo, Almirante! Su servicio es el orgullo de los aliados. Cada misión concluida, independientemente de sus objetivos, es un  paso más en el camino hacia la victoria.
EnemyInstanceDesc	We have been detected by an enemy. What are your orders, Admiral?	Zostaliśmy wykryci przez wroga. Jakie są pańskie rozkazy, Admirale?	Der Feind hat uns entdeckt. Wie lauten Ihre Befehle, Admiral?	Nous avons été repérés par l’ennemi ! Quels sont vos ordres, Amirale ?	我们被敌人发现了。 您有什么指示， 海军上将？	Fomos detetados pelo inimigo. Quais são as suas ordens, Almirante?	Враг обнаружил нас. Каковы Ваши приказы, Адмирал?	Hemos sido descubiertos por el enemigo. ¿Cuáles son sus órdenes, Almirante?
EngageTheEnemy	Engage the enemy in battle	Walcz z wrogiem! Przygotuj się do bitwy!	Kämpfe mit dem Feind! Bereite dich auf die Schlacht vor!	Luttez contre l’ennemie ! Préparez-vous à la bataille !	与敌人交战！准备战斗！	Combata o inimigo! Prepare-se para um combate!	Сражайтесь с врагом! Приготовьтесь к бою!	¡Combata al enemigo! ¡Préparese para el combate!
EnterCombat	ATTACK	ATAK	ANGRIFF	ATTAQUE	发动攻击	ATAQUE	АТАКА	ATAQUE
RiskEscortDamage	Risk damage to one of your escort ships	Ryzykuj uszkodzenie eskorty.	Riskiere die Beschädigung des Geleitschutzes.	Risquer d’endommager l’escorte.	冒着损坏您的护卫舰的风险。	Arrisque uma danificação da escolta.	Рискнуть повреждением эскорта.	Arriesgue daños en la escolta.
CreateDiversion	CREATE DIVERSION	STWÓRZ DYWERSJĘ	KREIERE EINE ABLENKUNG	FAIRE UNE MANŒUVRE DE DIVERSION	转移攻击目标	CRIAR DIVERSÃO	УСТРОИТЬ ДИВЕРСИЮ	CREAR DIVERSIÓN
RequestAllyAssistanceDesc	-1 Command Point	-1 Punkt Dowodzenia	-1 Kommandopunkt	-1 Point de Commande	-1 指挥点	-1 ponto de comando	-1 Пункт Командования	-1 Punto de mando
RequestAllyAssistance	CALL FOR HELP	ZADZWOŃ PO POMOC	RUFE UM HILFE	APPELEZ SECOURS	寻求帮助	CHAMAR AJUDA	ПОЗВАТЬ НА ПОМОЩЬ	LLAMAR POR AYUDA
PearlHarbor	Return to Pearl Harbor	Wróć do Pearl Harbor	Kehre nach Pearl Harbor zurück	Retour à Pearl Harbor.	重返珍珠港	Voltar a Pear Harbor	Перл-Харбор	Volver a Pearl Harbor
Difficulty	DIFFICULTY:	TRUDNOŚĆ:	SCHWIERIGKEIT:	DIFFICULTÉ :	难度：	DIFICULDADE:	СЛОЖНОСТЬ:	DIFICULTAD:
MainGoalSummaryFailed	OPERATION FAILED	OPERACJA NIE POWIODŁA SIĘ	DIE OPERATION IST NICHT GELUNGEN	MISSION À RÉUSSI	操作失败	OPERAÇÃO SEM ÊXITO	ОПЕРАЦИЯ ПРОВАЛИЛАСЬ	LA OPERACIÓN HA FRACASADO
SandboxPlanesPopup	Your losses were grave, Admiral—some commanders have faced a court-martial for less. Your mishandling of the operation caused the needless deaths of many brave pilots, as well as a significant blow to our resources in aircraft. Because your fleet is so diminished, we have provided you with the necessary squadrons to continue—but you must be more responsible in future.	Pańskie straty były poważne, Admirale - niektórzy dowódcy stawali przed sądem wojennym za mniej. Pańskie nieumiejętne prowadzenie operacji spowodowało niepotrzebną śmierć wielu dzielnych pilotów, a także znaczne uszczuplenie naszych zasobów lotniczych. Ponieważ wasza flota jest tak osłabiona, zapewniliśmy wam eskadry niezbędne do kontynuowania działań, ale w przyszłości musicie być bardziej odpowiedzialni.	Ihre Verluste waren schwerwiegend, Admiral - einige Kommandanten kamen schon für weniger vor ein Kriegsgericht. Ihr Fehlverhalten bei Operationen hat zum unnötigen Tod vieler tapferer Piloten und zu einer erheblichen Erschöpfung unserer Luftstreitkräfte geführt. Da Ihre Flotte so geschwächt ist, haben wir Ihnen die notwendigen Geschwader zur Verfügung gestellt, um den Betrieb fortzusetzen, aber Sie müssen in Zukunft verantwortungsvoller handeln.	Vos pertes ont été sévères, Amiral - certains commandants ont été traduits en cour martiale pour moins que ça. Votre mauvaise gestion des opérations a entraîné la mort inutile de nombreux pilotes courageux, ainsi qu'un appauvrissement important de nos ressources aériennes. Comme votre flotte est très affaiblie, nous vous avons fourni les escadrons nécessaires pour poursuivre les opérations, mais vous devrez être plus responsable à l'avenir.	你的损失是严重的， 海军上将--一些指挥官已经面临军事法庭的处罚。 你对这次行动的错误处理造成了许多勇敢的飞行员不必要的死亡， 以及对我们的飞机资源的重大打击。 由于你的舰队已经如此减少， 我们已经为你提供了必要的中队来继续作战--但你今后必须更加负责。	As suas perdas foram graves, Almirante - alguns comandantes foram julgados em tribunal marcial por menos. A sua má gestão de operações resultou na morte desnecessária de muitos pilotos corajosos, bem como num esgotamento significativo dos nossos recursos aéreos. Como a sua frota está tão enfraquecida, fornecemos-lhe os esquadrões necessários para continuar as operações, mas deve ser mais responsável no futuro.	Ваши потери были серьезными, Адмирал, некоторые командиры представали перед военным судом за меньшее. Ваше некомпетентное управление операцией привело к ненужной гибели многих отважных пилотов, а также к значительному истощению наших авиационных ресурсов. Поскольку Ваш флот настолько ослаблен, мы предоставили Вам эскадрильи, которые необходимы для продолжения операции, но в будущем Вы должны быть более ответственны.	Sus pérdidas han sido considerables, Almirante. Algunos generales se han presentado ante el tribunal marcial por menos. Su mando ineficiente en la operación ha provocado muertas innecesarias de muchos excelentes pilotos y grandes pérdidas en nuestras fuerzas aéreas. Puesto que nuestra flota está tan debilitada, les hemos organizado escuadras necesarias para continuar las operaciones, pero en el futuro tienen que ser más responsables.
SandboxTimeLeft	Time remaining	Pozostały Czas	Verbleibende Zeit	Temps restant	剩余时间	Tempo restante	Оставшееся Время	Tiempo restante
