	en	pl	de	fr	zh	pt	ru	es
CEM_025	ATK of all Offensive maneuvers -25%.	ATK wszystkich manewrów ofensywnych zmniejszony o 25%	ANG aller Offensiv-Manöver ist um 25% gesenkt.	ATK de toutes les manœuvres offensives diminué de 25 %.	所有攻击行动的攻击力降低 25%	ATQ de todas as manobras ofensivas reduzido em 25%	АТК всех наступательных маневров уменьшена на 25%.	ATQ de todas las maniobras ofensivas reducido en el 25 %
CEM_026	-	-	-	-	-	-	-	-
CEM_027	-	-	-	-	-	-	-	-
CEM_028	Blocks all maneuvers using torpedo bombers.	Manewry wykorzystujące samoloty torpedowe są zablokowane.	Manöver, die Torpedo-Flugzeuge verwenden, sind blockiert.	Les manœuvres mettant en places les avions torpilleurs sont bloquées.	使用鱼雷轰炸机的行动被禁用。	As manobras que utilizam aviões de torpedos estão bloqueados.	Маневры с использованием торпедоносцев заблокированы.	Las maniobras que hacen uso de aviones de torpedos está bloqueados.
CEM_029	ATK of all Offensive maneuvers -25%.	ATK wszystkich manewrów ofensywnych zmniejszony o 25%	ANG aller Offensiv-Manöver ist um 25% gesenkt.	ATK de toutes les manœuvres offensives diminué de 25 %.	每次进攻行动都会降低 25% 的攻击力	ATQ de todas as manobras ofensivas diminuído em 25%	АТК всех наступательных маневров уменьшена на 25%.	ATQ de todas las maniobras ofensivas reducido en el 25 %
CEM_030	Blocks maneuver #1.	Manewr #1 jest zablokowany.	Manöver #1 ist blockiert.	La manœuvre #1 est bloquée.	操作 #1 被禁用。	A manobra #1 está bloqueada.	Маневр #1 заблокирован.	Maniobra #1 está bloqueada.
CEM_031	-	-	-	-	-	-	-	-
CEM_032	ATK of all maneuvers using dive bombers +50%.	Manewry bombowcami nurkującymi mają ATK zwiększony o 50%.	Manöver mit Tauchbombern haben ANG erhöht um 50%	ATK des manœuvres des bombardiers en piqué est augmenté de 50 %.	使用俯冲轰炸机的行动攻击增加 50%。	As manobras com bombardeiros mergulhadores têm o ATQ aumentado em 50%.	АТК маневров пикирующими бомбардировщиками увеличена на 50%.	Las maniobras con bombarderos en picado tienen el ATQ aumentado en el 50 %.
CEM_033	-	-	-	-	-	-	-	-
CEM_034	Disables modifier of maneuver #3.	Modyfikator manewru #3 jest zablokowany.	Modifikator des Manövers #3 ist blockiert.	Modificateur de la manœuvre #3 est bloqué.	操作 #3 的修改器被禁用。	O modificador de manobra #3 está bloqueado.	Модификатор маневра #3 заблокирован.	Modificador de la maniobra #3 está bloqueado.
CEM_035	Disables DEF of maneuvers #4 and #5.	OBR manewrów #4 i #5 jest zablokowana.	VER der Manöver #4 und #5 ist blockiert.	DÉF des manœuvres #4 et #5 est bloquée.	操作 #4 和#5 的DEF 被禁用。	DEF das manobras #4 e #5 está bloqueada.	ОБР маневров #4 и #5 заблокирована.	DEF de las maniobras #4 y #5 está bloqueada.
CEM_036	ATK of all Offensive maneuvers -15%.	ATK wszystkich manewrów ofensywnych jest obniżony o 15%.	ANG aller Offensiv-Manöver ist um 15% gesenkt.	ATK de toutes les manœuvres offensives est diminué de 15 %.	所有攻击行动的攻击力降低15%。	ATQ de todas as manobras ofensivas reduzido em 15%.	АТК всех оборонительных маневров снижена на 15%.	ATQ de todas las maniobras ofensivas está reducido en el 15 %.
CEM_037	Disables modifier of maneuver #4.	Modyfikator manewru #4 jest zablokowany.	Modifikator des Manövers #4 ist blockiert.	Le modificateur de la manœuvre #4 est bloqué.	操作 #4 的修改器被禁用。	O modificador de manobra #4 está bloqueado.	Модификатор маневра #4 заблокирован.	Modificador de la maniobra #4 está bloqueado.
CEM_038	Disables modifier of maneuver #2.	Modyfikator manewru #2 jest zablokowany.	Modifikator des Manövers #2 ist blockiert.	Le modificateur de la manœuvre #2 est bloqué.	操作 #2 的修改器被禁用。	O modificador de manobra #2 está bloqueado.	Модификатор маневра #2 заблокирован.	Modificador de la maniobra #2 está bloqueado.
CEM_039	-	-	-	-	-	-	-	-
CEM_040	Disables ATK, DEF, and modifier of maneuver #4.	ATK, OBR i modyfikator manewru #4 są zablokowane.	ATK, VER und Modifikator des Manövers #4 sind blockiert.	ATK, DÉF et modificateur de la manœuvre #4 sont bloqués.	操作 #4 的攻击力、防御力和修改器都被禁用。	ATQ e DEF e o modificador de manobra #4 estão bloqueados.	АТК, ОБР и модификатор маневра #4 заблокированы.	ATQ y DEF y el modificador de la maniobra #4 están bloqueados.
CEM_041	Blocks all Supportive maneuvers.	Wszystkie manewry wspierające są zablokowane.	Alle Unterstützungsmanöver sind blockiert.	Toutes les manœuvres de soutien sont bloquées.	所有支援行动都被禁用。	Todas as manobras auxiliares estão bloqueadas.	Все вспомогательные маневры заблокированы.	Todas las maniobras auxiliares están bloqueadas.
CEM_042	Disables ATK of all Supportive maneuvers.	ATK wszystkich manewrów wspierających jest zablokowany.	ANG aller Unterstützungsmanöver ist blockiert.	ATK de toutes les manœuvres de support est bloqué.	所有支援行动的攻击力被禁用。	ATQ de todas as manobras auxiliares está bloqueado.	АТК всех вспомогательных маневров заблокирована.	ATQ de todas las maniobras auxiliares está bloqueado.
CEM_043	-	-	-	-	-	-	-	-
CEM_044	DEF of all maneuvers -20%.	OBR wszystkich manewrów jest obniżona o 20%.	VER aller Manöver ist um 20% gesenkt.	DÉF de toutes les manœuvres est diminuée de 20 %.	所有行动的防御力降低 20%。	DEF de todas as manobras reduzida em 20%.	ОБР всех маневров снижена на 20%.	DEF de todas las maniobras ofensivas está reducida en el 20 %.
CEM_045	ATK of all maneuvers -20%.	ATK wszystkich manewrów jest obniżony o 20%.	ANG aller Manöver ist um 20% gesenkt.	ATK de toutes les manœuvres est diminué de 20 %.	所有行动的攻击力降低20%。	ATQ de todas as manobras reduzido em 20%.	АТК всех маневров снижена на 20%.	ATQ de todas las maniobras está reducido en el 20 %.
CEM_046	Disables modifiers of maneuvers #1 and #2.	Modyfikatory manewrów #1 i #2 są zablokowane.	Die Modifikatoren der Manöver #1 und #2 sind blockiert.	Les modificateurs des manœuvres #1 et #2 sont bloqués.	操作 #1 和#2 的修改器被禁用。	Os modificadores de manobras #1 e #2 estão bloqueados.	Модификаторы маневров #1 и #2 заблокированы.	Modificadores de las maniobras #1 y #2 están bloqueados.
CEM_047	Disables ATK of maneuver #5.	ATK manewru #5 jest zablokowany.	ANG des Manövers #5 ist blockiert.	ATK de la manœuvre #5 est bloqué.	操作 #5 的攻击力被禁用。	ATQ da manobra #5 está bloqueado.	АТК маневра #5 заблокирована.	ATQ de la maniobra #5 está bloqueado.
CEM_048	ATK of all maneuvers using torpedo bombers -35%.	ATK wszystkich manewrów bombowców jest zmniejszony o 35%.	ANG aller Bomber-Manöver ist um 35% gesenkt.	ATK de toutes les manœuvres de bombardiers est diminué de 35 %.	所有鱼雷轰炸机行动的攻击力降低了 35%。	ATQ de todas as manobras de bombardeiros diminui em 35%.	АТК всех маневров бомбардировщиков уменьшена на 35%.	ATQ de todas las maniobras de bombarderos está reducido en el 35 %.
CEM_049	DEF of all Supportive maneuvers -40%.	OBR wszystkich manewrów wspierających obniżona o 40%.	VER aller Unterstützungsmanöver um 40% gesenkt.	DÉF de toutes les manœuvres de soutien est diminuée de 40 %.	所有支援行动的防御力降低了 40%。	DEF de todas as manobras auxiliares reduzida em 40%.	ОБР всех вспомогательных маневров снижена на 40%.	DEF de todas las maniobras auxiliares está reducida en el 40 %.
CEM_050	ATK of all maneuvers -25%.	ATK wszystkich manewrów obniżony o 25%.	ANG aller Manöver um 25% gesenkt.	ATK de toutes les manœuvres est diminué de 25 %.	所有行动的攻击力降低了 25%。	ATQ de todas as manobras reduzido em 25%.	АТК всех маневров снижена на 25%.	ATQ de todas las maniobras está reducido en el 25 %.
CEM_051	DEF of all Defensive maneuvers -25%.	OBR wszystkich manewrów defensywnych obniżona o 25%.	VER aller Defensiv-Manöver um 25% gesenkt.	DÉF de toutes les manœuvres défensives est diminuées de 25 %	所有防御行动的防御力降低了 25%。	DEF de todas as manobras defensivas reduzida em 25%.	ОБР всех оборонительных маневров снижена на 25%.	DEF de todas las maniobras defensivas reducida en el 25%.
CEM_052	ATK and DEF of all maneuvers -50%.	ATK i OBR wszystkich manewrów obniżone o 50%.	ANG und VER aller Manöver um 50% gesenkt.	ATK et DÉF de toutes les manœuvres diminués de 50 %	所有行动的攻击力和防御力都降低了50%。	ATQ e DEF de todas as manobras reduzido em 50%.	АТК и ОБР всех маневров снижены на 50%.	ATQ y DEF de todas las maniobras están reducidos en el 50 %.
CEM_053	Blocks all maneuvers using torpedo bombers.	Manewry torpedowe zablokowane.	Torpedo-Manöver blockiert.	Les manœuvres de torpilles sont bloquées.	使用鱼雷轰炸机的行动被禁用。	Manobras de torpedos bloqueados.	Торпедные маневры заблокированы.	Maniobras de torpedos bloqueadas.
CEM_054	ATK of all Offensive maneuvers -25%.	ATK wszystkich manewrów ofensywnych obniżony o 25%.	ANG aller Offensiv-Manöver um 25% gesenkt.	ATK de toutes les manœuvres offensives diminués de 25 %.	所有攻击行动的攻击力降低了 25%。	ATQ de todas as manobras ofensivas reduzido em 25%.	АТК всех наступательных маневров снижена на 25%.	ATQ de todas las maniobras ofensivas está reducido en el 25 %.
CEM_055	-	-	-	-	-	-	-	-
CEM_056	DEF of all Offensive maneuvers -25%.	OBR wszystkich manewrów ofensywnych obniżona o 25%.	VER aller Offensiv-Manöver um 25% gesenkt.	DÉF de toutes les manœuvres offensives diminuées de 25 %.	每次攻击行动都会降低 25% 的防御力。	DEF de todas as manobras ofensivas reduzida em 25%.	ОБР всех наступательных маневров снижена на 25%.	DEF de todas las maniobras ofensivas está reducida en el 25%.
CEM_057	ATK of all maneuvers -25%.	ATK wszystkich manewrów obniżony o 25%.	ANG aller Manöver um 25% gesenkt.	ATK de toutes les manœuvres est diminué de 25 %.	所有行动的攻击力降低了 25%。	ATQ de todas as manobras está reduzido em 25%.	АТК всех маневров снижена на 25%.	ATQ de todas las maniobras está reducido en el 25 %.
CEM_058	Disables ATK of maneuvers #1 and #5.	ATK manewrów #1 i #5 jest zablokowany.	ANG der Manöver #1 und #5 ist blockiert.	ATK des manœuvres #1 et #5 est bloqué.	操作 #1 和#5 的攻击力被禁用。	DEF das manobras #1 e #5 está bloqueada.	АТК маневров #1 и #5 заблокирована.	ATQ de las maniobras #1 y #5 está bloqueado.
CEM_059	Disables DEF of maneuvers #4 and #5.	OBR manewrów #4 i #5 jest zablokowana.	VER der Manöver #4 und #5 ist blockiert.	DÉF des manœuvres #4 et #5 est bloquée.	操作 #4 和#5 的防御力被禁用。	DEF das manobras #4 e #5 está bloqueada.	ОБР маневров #4 и #5 заблокирована.	DEF de las maniobras #4 y #5 está bloqueada.
CEM_060	ATK of all maneuvers equals 0. Destroy enemy airfields in the region to disable this card!	ATK wszystkich manewrów wynosi zero. Zniszcz wrogie lotnisko by usunąć tę kartę!	ANG aller Manöver beträgt Null. Zerstöre den Flughafen des Feindes um die Karte zu entfernen!	ATK de toutes les manœuvres est à zéro. Détruisez l’aérodrome ennemi pour éliminer cette carte !	这张卡会让所有操作的攻击力等于0。  摧毁该地区的敌方机场以阻止这张卡！	ATQ de todas as manobra é de 0. Destrua o aeroporto inimigo para eliminar esta carta!	АТК всех маневров равна нулю. Уничтожьте вражеский аэродром, чтобы удалить эту карту!	ATQ de todas las maniobras es igual a 0. ¡Destruya el aeropuerto enemigo para eliminar tu carta!
CEM_061	No effect. This place is inhabited by civilians.	Brak efektu. To miejsce zamieszkują cywile.	Kein Effekt. Dieser Ort wird von Zivilen bewohnt.	Aucun résultat. Cet endroit est habités par les civiles.	没有效果，  这个地方住着平民。	Sem efeito. Este lugar é habitado pelos civis.	Эффект отсутствует. В этом месте живет гражданское население.	Sin efectos. En este lugar habitan personas.
CEM_062	This artillery can damage your fleet if it is within the cannon’s range!	Artyleria może zadać obrażenia twojej flocie jeśli znajdziesz się w jej zasięgu!	Die Artillerie kann deine Flotte beschädigen, wenn du sich in ihrer Reichweite befindest!	L’artillerie peut causer des dégâts de votre flotte si elle se trouve dans la zone dangereuse !	如果您在大炮射程内，  这门火炮可能会损坏您的舰队！	A artilharia pode danificar a sua frota se entrar na sua zona de alcance.	Артиллерия может нанести повреждения Вашему флоту, если Вы окажетесь в радиусе ее действия!	¡La artillería puede dañar su flota si se encuentra dentro de su alcance!
CEM_100	-	-	-	-	-	-	-	-
CEM_101	Disables modifier of maneuver #5.	Modyfikator manewru #5 jest zablokowany.	Modifikator des Manövers #5 ist blockiert.	Le modificateur de la manœuvre #5 est bloqué.	操作 #5 的修改器被禁用。	O modificador de manobra #5 está bloqueado.	Модификатор маневра #5 заблокирован.	El modificador de la maniobra #5 está bloqueado.
CEM_102	DEF of all maneuvers -25%	OBR wszystkich manewrów jest niższa o 25%	VER aller Manöver ist um 25% niedriger.	DÉF de toutes les manœuvres est augmentée de 25 %.	所有行动的防御力降低 25%	DEF de todas as manobras reduzida em 25%	ОБР всех маневров ниже на 25%.	DEF de todas las maniobras es inferior en el 25 %
CEM_103	-	-	-	-	-	-	-	-
CEM_104	-	-	-	-	-	-	-	-
CEM_105	DEF of maneuvers #1 and #3 -20%	OBR manewrów #1 i #3 jest obniżona o 20%	VER der Manöver #1 und #3 ist um o 20% gesenkt.	DÉF des manœuvres #1 et #3 est diminuée de 20 %.	操作 #1 和#3 的防御力降低 20%	DEF das manobras #1 e #3 reduzida em 20%	ОБР маневров #1 и #3 снижена на 20%.	DEF de las maniobras #1 y #3 está reducida en el 20 %
CEM_106	ATK of all Defensive maneuvers -15%.	ATK wszystkich manewrów defensywnych obniżony o 15%.	ANG aller Defensiv-Manöver um 15% gesenkt.	ATK de toutes les manœuvres défensives est diminuées de 15 %.	所有防御行动的攻击力降低15%。	ATQ de todas as manobras defensivas reduzido em 15%.	АТК всех оборонительных маневров снижена на 15%.	ATQ de todas las maniobras ofensivas está reducido en el 15 %.
CEM_107	Disables ATK of maneuvers #3 and #5.	ATK manewrów #3 i #5 jest zablokowany.	ANG der Manöver #3 und #5 ist blockiert.	ATK des manœuvres #3 et #5 est bloqué.	操作 #3 和#5 的攻击力被禁用。	DEF das manobras #3 e #5 está bloqueada.	АТК маневров #3 и #5 заблокирована.	ATQ de las maniobras #3 y #5 está bloqueado.
CEM_108	Disables ATK of maneuvers #1 and #5.	ATK manewrów #1 i #5 jest zablokowany.	ANG der Manöver #1 und #5 ist blockiert.	ATK des manœuvres #1 et #5 est bloqué.	操作 #1 和#5 的攻击力被禁用。	DEF das manobras #1 e #5 está bloqueada.	АТК маневров #1 и #5 заблокирована.	ATQ de las maniobras #1 y #5 está bloqueado.
CEM_109	ATK and DEF of all maneuvers -10%.	ATK i OBR wszystkich manewrów są obniżone o 10%.	ANG und VER aller Manöver sind um 10% gesenkt.	ATK et DÉF de toutes les manœuvres diminués de 10 %.	所有行动的攻击力和防御力降低10%。	ATQ e DEF de todas as manobras reduzidos em 10%.	АТК и ОБР всех маневров снижены на 10%.	ATQ y DEF de todas las maniobras están reducidos en el 10 %.
CEM_110	Disables DEF of all Supportive maneuvers.	OBR wszystkich manewrów wspierających jest zablokowana.	VER aller Unterstützungsmanöver ist blockiert.	DÉF de toutes les manœuvres de support est bloquée.	所有支援行动的防御力被禁用。	DEF de todas as manobras auxiliares está bloqueada.	ОБР всех вспомогательных маневров заблокирована.	ATQ de todas las maniobras auxiliares está bloqueado.
CEM_111	-	-	-	-	-	-	-	-
CEM_112	Disables modifier of maneuver #2.	Modyfikator manewru #2 jest zablokowany.	Modifikator des Manövers #2 ist blockiert.	Le modificateur de la manœuvre #2 est bloqué.	操作 #2 的修改器被禁用。	O modificador de manobra #2 está bloqueado.	Модификатор маневра #2 заблокирован.	El modificador de la maniobra #2 está bloqueado.
CEM_113	Disables DEF of maneuvers #3 and #5.	OBR manewrów #3 i #5 jest zablokowana.	VER der Manöver #3 und #5 ist blockiert.	DÉF des manœuvres #3 et #5 est bloquée.	操作 #3 和#5 的防御力被禁用。	DEF das manobras #3 e #5 está bloqueada.	ОБР маневров #3 и #5 заблокирована.	DEF de las maniobras #3 y #5 está bloqueada.
CEN_001	Light Carrier	Lekki lotniskowiec	Leichter Flugzeugträger	Porte-avions léger	轻型航母	Porta-aviões ligeiro	Легкий авианосец	Portaaviones ligero
CEN_002	Heavy Carrier	Ciężki lotniskowiec	Flugzeugträger	Porte-avions	重型航母	Porta-aviões	Тяжелый авианосец	Portaaviones pesado
CEN_003	Escort Carrier	Lotniskowiec eskortowy	Geleitschutz-Flugzeugträger	Porte-avions d’escorte	护航舰	Porta-aviões de escolta	Эскортный авианосец	Portaaviones de escolta
CEN_004	Battleship	Pancernik	Schlachtschiff	Cuirassé	战舰	Navio encouraçado	Броненосец	Acorazado
CEN_005	Battlecruiser	Krążownik	Kreuzer	Croiseur	战列巡洋舰	Cruzador	Крейсер	Crucero
CEN_006	Heavy Cruisers	Ciężkie krążowniki	Schwere Kreuzer	Croiseurs lourds	重型巡洋舰	Cruzadores pesados	Тяжелые крейсеры	Cruceros pesados
CEN_007	Light Cruisers	Lekkie krążowniki	Leichte Kreuzer	Croiseurs légers	轻型巡洋舰	Cruzadores ligeiros	Легкие крейсеры	Cruceros ligeros
CEN_008	Destroyer	Niszczyciel	Zerstörer	Destroyer	驱逐舰 	Destróier	Эскадренный миноносец	Destructor
CEN_009	Torpedo Boat	Torpedowiec	Torpedoboot	Torpilleur	鱼雷艇	Torpedeiro	Миноносец	Torpedero
CEN_010	Submarines	Łodzie podwodne	Unterwasserboote	Sous-marins	潜艇	Submarinos	Подводные лодки	Submarinos
CEN_011	Troopship	Desantowiec	Landungsfahrzeug	Engin de débarquement	运兵舰	Navio de ataque	Десантный корабль	Buque de desembarco
CEN_012	Repair Ships	Statki naprawcze	Reparaturschiffe	Navires de réparation	修理船	Navios de reparação	Плавучие мастерские	Buque de reparación
CEN_013	Supply Ships	Statki zaopatrzeniowe	Versorgungsschiffe	Navires d’approvisionnements	补给船	Navios de abastecimento	Суда обеспечения	Buques de suministro
CEN_014	Survey Ships	Okręty badawcze	Forschungsschiffe	Navires de recherche	侦查船	Navios de reconhecimento	Исследовательские суда	Buques de investigación
CEN_015	Airstrip	Lądowisko	Landeplatz	Porte-avions	简易机场	Aeródromo	Посадочная Площадка	Pista de aterrizaje
CEN_016	Reinforced Runway	Wzmocnione Lądowisko	Befestigter Landeplatz	Porte-avions renforcé	已加固跑道	Aeródromo fortalecido	Укрепленная Посадочная Площадка	Pista de aterrizaje reforzada
CEN_017	Large Hangars	Duże Hangary	Große Hangars	Hangars spacieux	大型机库	Hangares grandes	Большие Ангары	Hangares grandes
CEN_018	Camouflaged Hangar	Zakamuflowany Hangar	Getarnter Hangar	Hangar camouflé	伪装机库	Hangares camuflados	Замаскированный Ангар	Hangar camuflado
CEN_019	Heavy Bunker	Ciężki Bunkier	Schwerbunker	Bunker lourd	重型碉堡	Bunker pesado	Тяжелый Бункер	Búnker pesado
CEN_020	Bunker System	System Bunkrów	Bunkersystem	Système de bunkers	地堡系统	Sistema de bunkers	Система Бункеров	Sistema de búnkers
CEN_021	Control Tower	Wieża Kontrolna	Kontrollturm	Tour de contrôle	控制塔	Torre de controlo	Командно-диспетчерский Пункт	Torre de control
CEN_022	Barracks	Koszary	Kaserne	Casernes	兵营	Quartel	Казарма	Cuartel
CEN_023	Underground Ammo Store	Podziemny Magazyn Amunicji	Unterirdisches Munitionslager	Dépôt de munition souterrain	地下弹药商店	Armazém subterrâneo de munição	Подземный Склад боеприпасов	Almacenamiento subterráneo de munición
CEN_024	Depleted Ammo Store	Wyczerpany Magazyn Amunicji	Leeres Munitionslager	Dépôt de munition épuisé	已空弹药商店	Armazém de munição vazio	Опустошенный Склад боеприпасов	Almacenamiento subterráneo de munición vacío
CEN_025	Basic AA Battery	Bateria Przeciwlotnicza	Batterie der Luftabwehrartillerie	Batterie Anti-aérienne	基本 AA 电池	Bateria antiaérea	Зенитная Батарея	Batería antiaérea
CEN_026	Large AA Battery	Duża Bateria Przeciwlotnicza	Große Batterie der Luftabwehrartillerie	Grande Batterie Anti-aérienne	大号 AA 电池	Bateria antiaérea grande	Крупная Зенитная Батарея	Grande batería antiaérea
CEN_027	Radar System	System Radarowy	Radarsystem	Système de Radars	雷达系统	Sistema de radares	Радарная Система	Sistema de radares
CEN_028	Military Factory	Fabryka Wojskowa	Militärfabrik	Usine Militaire	军工厂	Fábrica militar	Военный Завод	Fábrica militar
CEN_029	Large Cannon	Duże Działo	Großes Geschütz	Grand Canon	大炮	Canhão grande	Большое Орудие	Cañón grande
CEN_030	Civilian Buildings	Budynki Cywilne	Zivile Gebäude	Bâtiments Civiles	民用建筑	Edifícios civis	Гражданские Строения	Edificios civiles
CEN_031	Air Support	Wsparcie Lotnicze	Luftunterstützung	Soutien Aérien	空中支援	Auxílio aéreo	Поддержка с Воздуха	Apoyo aéreo
CEN_032	Coastal Artillery	Artyleria Przybrzeżna	Küstenartillerie	Artillerie Côtière	沿海炮兵	Artilharia costeira	Береговая артиллерия	Artillería costera
