	en	pl	de	fr	zh	pt	ru	es
CounterAttackDesc	If you have been attacked within the last 2 hours, you can order the preparation of an air counter-attack.	Jeśli w przeciągu ostatnich 2 godzin zostałeś zaatakowany, możesz wysłać kontrę na wroga.	Wenn du innerhalb von 2 letzten Stunden angegriffen wurdest, kannst du einen Gegenangriff starten.	Si en cours de 2 dernières heures vous avez été attaqué, vous pouvez envoyer une contre-attaque sur votre ennemi.	如果您在最近 2 小时内遭到袭击， 您可以向敌人发起反击的空袭任务。	Se foi atacado nas últimas 2 horas, pode enviar um contra-ataque ao inimigo.	Если в течение последних 2 часов Вы подверглись наступлению, Вы можете отправить контрнаступление в отношении врага.	Si dentro de las últimas 2 horas ha sido atacado, puede enviar un contraataque al enemigo.
CounterAttackEffect	+1 Airstrike mission	Dodaj 1 Nalot	Flugangriff hinzufügen	Ajoutez 1 raid aérien	添加 1 个空袭任务	Adicionar 1 Ataque aéreo	Добавить 1 Авиаудар	Añadir 1 Ataque aéreo
CounterAttackTitle	Counter Attack	Kontratak	Gegenangriff	Contre-attaque	反击	Contra-ataque	Контрнаступление	Contraataque
DecisiveBlowDesc	Prepare an attack on a weakened enemy—one with at least 3 destroyed targets—that increases the Defense of all your maneuvers by 5.	Wykonaj decydujący manewr na nieprzyjacielu, któremu zniszczono przynajmniej 3 jednostki i otrzymaj +5 do obrony wszystkich manewrów.	Führe das entscheidende Manöver am Feind, dem zumindest 3 Einheiten zerstört wurden und bekomme +5 für die Verteidigung aller Manöver.	Réalisez une manœuvre finale contre votre ennemi dont au moins 3 unités ont été détruites et recevez +5 pour défendre toutes les manœuvres.	如果你执行了能够摧毁至少 3 个敌军梯队的行动， 所有操作 +5 防御力。	Realize uma manobra decisiva contra um inimigo ao qual foram destruídas pelo menos 3 unidades e receba +5 de defesa de todas as manobras.	Произведите решающий маневр против врага, у которого уничтожено не менее 3 единиц, и получите +5 к обороне всех маневров.	Realice una maniobra decisiva en un enemigo que haya perdido por lo menos 3 unidades y reciba +5 a la defensa de todas las maniobras.
DecisiveBlowEffect	+5 DEF for all Airstrike maneuvers (against certain enemies)	Na czas trwania rozkazu, wszystkie manewry otrzymują +5 do obrony jeśli minimalnie 3 jednostki celu zostały zniszczone.	Für die Befehlsdauer erhalten alle Manöver +5 für die Verteidigung, wenn mindestens 3 Zieleinheiten zerstört wurden.	Lors de l’ordre, toutes les manœuvres ont +5 pour défense si 3 unités de cible au moins ont étés détruites.	如果至少有 3 个敌军梯队被摧毁， 则在指令持续时间内， 您的所有操作都将获得 +5 防御力。	Durante a vigência da ordem, todas as manobras receberão +5 de defesa se pelo menos 3 unidades-alvo foram destruídas.	На время действия приказа все маневры получают +5 к обороне, если уничтожены минимум 3 единицы цели.	Durante la orden, todas las maniobras recibirán +5 a la defensa si se destruyen un mínimo de 3 unidades del objetivo.
DecisiveBlowTitle	Decisive Blow	Decydujący Cios	Entscheidender Schlag	Coup décisif	决定性一击	Golpe decisivo	Решающий удар	Ataque decisivo
DeckControlDesc	Prioritize flight deck safety. For the duration of the order, planes will not crash while landing, and a team will instantly repair the deck if it is damaged.	Skoncentruj pracę swojej załogi na pokładzie statku. Przez czas trwania rozkazu samoloty nie będą się rozbijały podczas lądowania, a w razie uszkodzenia pokładu ekipa natychmiast go naprawi.	Konzentriere die Arbeit deiner Mannschaft auf dem Schiffsdeck. Während der Befehlsdauer werden die Flugzeuge bei Landung nicht zerschellen und bei Beschädigung des Decks wird das Team es sofort reparieren.	Concentrez le travail de votre équipage sur le bord du navire. Pendant la durée de l’ordre, les avions ne s’écraseront pas lors de l’atterrissage et en cas des dommages du bord, l’équipe le répare immédiatement.	优先考虑甲板的安全。在指令期间， 飞机不会在着陆时坠毁， 如果甲板损坏， 维修人员将立即修复它。	Foque o trabalho da sua tripulação no bordo do navio. Durante a vigência da ordem, os aviões não se vão despenhar durante a aterragem e no caso de uma danificação a equipa vai repará-lo imediatamente.	Сосредоточьте работы своего экипажа на палубе корабля. Во время действия приказа самолеты не будут разбиваться при посадке, а в случае повреждения палубы команда незамедлительно ее починит.	Enfoque el trabajo de su tripulación en la cubierta del buque. Durante la vigencia de la orden, los aviones no van a estrellarse al aterrizar y en caso de un daño el equipo va a repararlo inmediatamente.
DeckControlEffect	No planes will crash on deck; deck damage will be instantly repaired	Żaden samolot nie rozbije się o pokład; uszkodzenia pokładu zostaną natychmiast naprawione	Kein Flugzeug wird auf dem Deck zerschellen; die Beschädigungen des Decks werden sofort repariert.	Aucun avion ne s’écrasera pas contre le bord ; les dommages du bords seront réparés immédiatement	不会有飞机会在甲板上坠毁； 甲板损坏将会立即得到修复	Nenhum avião se despenhará contra o bordo. As danificações do bordo serão reparadas imediatamente	Ни один самолет не разобьется о палубу; повреждения палубы будут незамедлительно устранены.	Ningún avión se estrellará contra la cubierta. Los daños en la cubierta serán reparadas inmediatamente.
DeckControlTitle	Deck Control	Kontrola Pokładu.	Kontrolle des Decks.	Contrôle de Bord.	操作甲板	Controlo do bordo	Контроль Палубы.	Control de la cubierta,
EnterDefencePositionDesc	Order your carrier’s escort to assume a protective formation, increasing the defensive effectiveness of your fleet.	Rozkaż eskorcie swojego lotniskowca przyjąć formację obronną, zwiększając skuteczność obrony swojej floty.	Befehle dem Geleitschutz deines Flugzeugträgers eine Verteidigungsformation einzunehmen um die Wirksamkeit deiner Flotte zu erhöhen.	Ordonnez à l’escorte de votre porte-avions d’adopter la formation défensive tout en augmentant l’efficacité de la défense de sa flotte.	指示你的航母护航舰队进入防御阵地， 可以提高你舰队的防御效能。	Ordene à tripulação do seu porta-aviões formar-se para uma defesa aumentando a eficiência da frota.	Отдайте приказ своим эскортным кораблям составить оборонительную формацию, что повысит эффективность обороны Вашего флота.	Ordene a la escolta de su portaaviones que adapte una formación defensiva aumentando la eficiencia de su flota.
EnterDefencePositionEffect	+2 Carrier Defense & +1 Escort Defense	Zyskaj 2 punkty obrony dla lotniskowca i 1 dla eskorty.	Gewinne 2 Verteidigungspunkte für den Flugzeugträger und 1 für Geleitschutz.	Gagnez 2 points pour la défense du porte-avion et 1 pour l’escorte.	数据提高：+2 航母防御；  +1 护航防御	Ganhe 2 pontos de defesa para o porta-aviões e 1 para a escolta.	Получите 2 пункта защиты для авианосца и 1 для эскорта.	Gane 2 puntos para la defensa del portaaviones y 1 de la escolta.
EnterDefencePositionTitle	Defensive Position	Szyk Obronny	Verteidigungsformation	Position défensive	防守位置	Formação defensiva	Оборонительная Позиция	Formación defensiva
FireNotSpreadDesc	Prioritize fire suppression and prevention. For the order’s duration, any fires that occur below deck will not spread to other segments.	Skup pracę BN na gaszeniu i zapobieganiu pożarom. Jeśli zapłonie ogień - nie będzie się rozprzestrzeniał.	Konzentriere die Arbeit der RB auf Brandlöschen und Brandverhütung. Sollte Feuer entfachen - wird es sich nicht ausbreiten.	Focalisez le travail de BR sur la lutte et la prévention contre les incendies. Si le feu apparaît, il ne se propagera pas.	集中维修小队的灭火和预防工作。 如果发生火灾， 火势不会蔓延。	Foque o trabalho ER sobre a extinção e a prevenção de incêndios. Se houve um fogo, não se espalhará.	Сосредоточьте работу РБ на тушении и профилактике пожаров. Если пожар начнется – он не распространится.	Enfoque el trabajo del ER en la extinción y la prevención de incendios. Si se prende llama: no se propagará.
FireNotSpreadEffect	Fires below deck will not spread to other segments	Ogień nie rozprzestrzenia się na czas trwania tego rozkazu.	Das Feuer breitet sich für die Dauer des Befehls nicht aus.	Le feu ne se propage pas pendant la durée de cet ordre.	甲板下部的火灾在指令生效期间不会蔓延	O fogo não se espalha durante a vigência desta ordem.	В течение времени действия этого приказа огонь не будет распространяться.	La llama no se propaga durante la vigencia de esta orden,
FireNotSpreadTitle	Fire Control	Kontrola Ognia	Feuerkontrolle	Contrôle du Feu	消防	Controlo de fogo	Контроль Огня	Control de la llama
HastenedRepairsDesc	Implement plans to increase the efficiency of Damage Control teams, making them carry out repairs 50% faster than usual for the order’s duration.	Zwiększ wydajność BN, by naprawy szły 50% szybciej.	Erhöhe die Effizienz der RB damit die Reparaturen 50% schneller ausgeführt werden.	Augmentez l’efficacité de BR pour accélérer de 50 % les réparations.	提高维修小队的效率， 使他们的维修速度比平时快 50%。	Aumente a eficiência da ER para que as reparações se realizem 50% mais rápido.	Увеличьте производительность РБ, чтобы ремонты выполнялись на 50% быстрее.	Aumente la eficiencia del ER para que las reparaciones se realicen el 50 % más rápido.
HastenedRepairsEffect	All DC teams work 50% faster	Brygady Naprawcze pracują 50% szybciej w czasie trwania tego rozkazu.	Die Reparaturbrigaden arbeiten 50% schneller während der Dauer dieses Befehls.	Les Brigades de Réparation travaillent 50 % plus rapidement pendant la durée de cet ordre.	在该指令期间， 所有维修小队的工作速度提高 50%	As equipas de reparação trabalham 50% mais rápido durante a vigência esta ordem.	Ремонтные Бригады работают на 50% быстрее во время действия этого приказа.	Los ER trabajan el 50 % más rápido durante la vigencia de esta orden.
HastenedRepairsTitle	Quicker Repairs	Szybsze Naprawy	Schnellere Reparaturen	Réparations plus vites	更快维修	Reparações mais rápidas	Более быстрый Ремонт	Reparaciones más rápidas
HeavyManeuversDesc	Suspend flight deck operations to prepare for Evasive Maneuvers, increasing the carrier’s Defense by 4 for the duration of the order.	Wyczyść i zablokuj kolejkę pokładową, aby uruchomić Manewry Wymijające i zdobyć 4 punkty obrony dla swojego lotniskowca.	Setze zurück und blockiere die Warteschlange Deck, um Ausweichmanöver zu starten und 4 Verteidigungspunkte für deinen Flugzeugträger zu gewinnen.	Nettoyez et bloquez la ligne de bord pour activer les Manœuvres Évasives et gagner 4 point de défense pour votre porte-avions.	清空甲板上的飞机队列以躲避敌军， 将为您的航母获得 4 点防御力。	Limpe e bloqueie a fila de bordo para ativar as Manobras de desviação e ganhar 4 pontos de defesa para o seu porta-aviões.	Очистите и заблокируйте очередь на палубу, чтобы начать Маневры Уклонения и получить 4 пункта обороны для своего авианосца.	Limpie y bloquee la cola de cubierta para iniciar las Maniobras Evasivas y ganar 4 puntos de defensa para su portaaviones.
HeavyManeuversEffect	+4 Carrier Defense; deck operation queue cleared & blocked	Zdobądź 4 punkty obrony dla swojego lotniskowca. Kolejka pokładowa zostanie wyczyszczona i zablokowana na czas trwania rozkazu.	Gewinne 4 Verteidigungspunkte für deinen Flugzeugträger. Die Warteschlange Deck wird für die Befehlsdauer zurückgesetzt und blockiert.	Gagnez 4 points de défense pour votre porte-avions. La ligne de bord sera nettoyée et bloquée pendant la durée de l’ordre.	为您的航母获得 4 点防御力。 在指令期间， 甲板上的队列将被清空和封锁。	Ganhe 4 pontos para a defesa do seu porta-aviões. A fila de bordo será limpa e bloqueada durante a vigência da ordem.	Получите 4 пункта обороны для своего авианосца. Очередь на палубу будет очищена и заблокирована на время действия этого приказа.	Gane 4 puntos de defensa para su portaaviones. La cola de cubierta será limpiada y bloqueada durante el tiempo de vigencia de esta orden.
HeavyManeuversTitle	Evasive Maneuvers	Manewry Wymijające	Ausweichmanöver	Manœuvres Évasives	清空操作	Manobras de desviação	Маневры Уклонения	Maniobras Evasivas
IncreaseSpottingRangeDesc	Prioritize communication between lookouts and radar operators, increasing your carrier’s radar range by 50 miles. Enemies within this range will be automatically detected.	Zasięg obserwacji wokół twojego lotniskowca zostanie zwiększony o 50 mil. Wrogowie znajdujący się w zasięgu widzenia zostaną wykryci bez konieczności przeprowadzania rekonesansu.	Der Aktionsradius um deinen Flugzeugträger wird um $1 Meilen erhöht. Die Feind, die sich in der Sichtweite befinden, werden entdeckt ohne dass eine Erkundung durchgeführt werden muss.	La portée de l’observation autour de votre porte-avions sera augmentée de $1 lieues. Les ennemis se trouvant à la portée de vue seront repérés sans reconnaissance.	您的航母周围的探测范围将增加 1 英里。 无需侦察任务即可侦测到范围内的敌人。	O alcance da observação ao redor do seu porta-aviões será aumentado em $1 milhas. Os inimigos que se encontrarem no alcance da vistas serão detetados sem a necessidade de realizar um reconhecimento.	Дальность наблюдения вокруг Вашего авианосца будет увеличена на 50 миль. Враги, находящиеся в пределах видимости, будут обнаружены без необходимости осуществления разведки.	El alcance de observación alrededor de su portaaviones será aumentado en 50 millas. Los enemigos que se encuentren dentro del alcance será detectados sin la necesidad de realizar una misión de reconocimiento,
IncreaseSpottingRangeEffect	+50 miles Radar Range	Zasięg wykrywania +50 mil	Erfassungsreichweite +$1 Meilen	La portée de repérage +$1 lieues	侦测范围增加：+$1 英里	Alcance de reconhecimento +$1 mil	Дальность обнаружения +50 миль	Alcance de detección +50 millas
IncreaseSpottingRangeTitle	Enhanced Radar	Wzmocniony Radar	Verstärktes Radar	Radar renforcé	地图分析	Radar reforçado	Усовершенствованный Радар 	Radar reforzado
NightShiftDesc	Form a temporary DC team for night-shift duties, helping all DC teams to perform repairs 25% faster than usual. This team will disband at the end of the night.	Utwórz specjalną nocną jednostkę Brygady Naprawczej, która wykonuje naprawy o 25% szybciej niż zwykle. Jednostka ta zostanie rozwiązana z końcem nocy.	Bilde eine spezielle Nachteinheit der Reparaturbrigade, die Reparaturen um 25% schneller als normal ausführt. Diese Einheit wird aufgelöst, sobald die Nacht zu Ende ist.	Créez une unité spéciale de la Brigade de Réparation qui réalise les travaux de réparation 25 % plus rapidement que d’habitude. Cette unité sera résolue à la fin de la nuit.	组建一个特殊的夜间维修小队， 以比平时快 25% 的速度进行维修， 该小队将在深夜结束后解散。	Crie uma Equipa de reparação especial que realizará as reparações 25% mais rápido do normal. Esta unidade será dissolvida resolvida no final da noite.	Создайте специальное подразделение Ремонтной Бригады, которая выполняет ремонт на 25% быстрее обычного. Эта команда будет распущена в конце ночи.	Cree una unidad especial nocturna de Equipo de Reparación, que realiza las reparación el 25 % más rápido que habitualmente. La unidad será disuelta antes al terminar la noche.
NightShiftEffect	Add an extra DC team; all DC teams work 25% faster	Dodaje dodatkowy zespół BN; wszystkie zespoły BN pracują o 25% szybciej	Füge ein zusätzliches RB-Team hinzu; alle RB-Teams arbeiten um 25% schneller.	Ajoute une équipe supplémentaire de BR ; toutes les équipes de BR travaillent de 25 % plus rapidement	增加一个额外的维修小队； 所有维修小队的工作速度提高 25%	Adiciona uma ER; todas as equipas ER trabalham 25% mais rápido	Добавляет дополнительную команду РБ; все команды РБ работают на 25% быстрее	Equipo ER adicional: todos los equipos ER trabajan el 25 % más rápido.
NightShiftTitle	Night Shift	Nocna Zmiana	Nachtschicht	Poste de nuit	夜班	Turno noturno	Ночная Смена	Turno nocturno
OrderLanding	Recovering aircraft from a mission	Odbieranie samolotów z misji	Übernahme der Flugzeuge aus der Mission	Récupération des avions après la mission	着陆任务	Receção de aviões da missão	Прием самолетов с миссии	Recepción de los aviones volviendo de la misión
OrderMission	Launching aircraft on a mission	Wysyłanie misji	Entsenden der Mission	Lancement de la mission	起飞任务	Envio de missão	Отправка миссии	Envío de misión
OrderSendToHangar	Sending squadron to hangar	Chowanie do hangaru	Stellen in den Hangar	Retour au hangar	中队被送往机库	Armazenamento em hangar	Помещение в ангар	Almacenamiento en el hangar
OrderSquadronCreation	Deploying squadron on deck	Wystawianie eskadry	Aufstellen der Staffel	Positionnement de l’escadre	部署飞行中队	Colocação de esquadra	Выставление эскадрилий	Colocación de la escuadra
OrderSwap	Repositioning squadrons on deck	Zamiana pozycji eskadr	Änderung der Lage der Staffeln	Changement de la position de l’escadre	重新定位飞行中队	Mudança da posição das esquadras	Изменение положения эскадрилий	Cambio de la posición de las escuadras
OrderToLaunching	Change of deck state to Launching	Nakaż zmianę stanu pokładu na wysyłanie samolotów	Befehle den Wechsel des Deckzustands auf Schicken von Flugzeugen	Demandez le changement de l’état de bord en envoie des avions	准备飞机的起飞甲板	Ordene a mudança do estado do bordo para o envio de aviões	Отдайте приказ изменения состояния палубы на отправку самолетов	Ordene cambiar del estado de la cubierta por envío de aviones
OrderToRecovering	Change of deck state to Recovery	Nakaż zmianę stanu pokładu na odbieranie samolotów	Befehle den Wechsel des Deckzustands auf Übernehmen von Flugzeugen	Demandez le changement de l’état de bord en réception des avions	准备甲板以撤回飞机	Ordene a mudança do estado do bordo para o receção de aviões	Отдайте приказ изменения состояния палубы на прием самолетов	Ordene cambiar del estado de la cubierta por recepción de aviones
PlaneFuelManagementDesc	Carefully manage your aviation fuel to send aircraft on more distant missions, while also increasing their pick-up range. (Only applies to missions sent after this order is activated.)	Rozważnie gospodaruj paliwem lotniczym, aby wysyłać samoloty na bardziej odległe misje, zwiększając jednocześnie ich zasięg odbioru. (Dotyczy tylko misji wysłanych po aktywacji tego rozkazu).	Geh mit dem Flugkraftstoff sorgsam um, um die Flugzeuge auf weitere Missionen zu schicken und gleichzeitig den Radius der Übernahme zu erhöhen. (Betrifft nur Missionen, die nach Aktivierung dieses Befehls entsendet wurden)	Gérez raisonnablement le carburant d’aviation pour envoyer les avions en mission plus loin tout en augmentant la portée de leur récupération. (Concerne uniquement les missions envoyées après l’activation de cet ordre).	仔细管理您的航空燃料， 以派飞机执行更远的任务， 同时增加它们的接载范围。 （仅适用于此指令激活后执行的任务。 ）	Faça uma gestão cuidadosa do combustível de aviões para poder enviar os aviões a missões mais longínquas aumentando o seu alcance. (Refere-se a missões enviadas depois da ativação desta ordem).	Разумно распоряжайтесь авиационным топливом, чтобы отправлять самолеты на более дальние миссии, увеличивая при этом дальность их приема. (Относится только к миссиям, отправленным после активации этого приказа).	Gestione el combustible aéreo de manera prudente para enviar aviones en misiones más lejanas aumentando el alcance de su recepción. (Se refiere solo a las misiones enviadas después de activar esta orden).
PlaneFuelManagementEffect	Recovery time +50%; recovery area range +50 miles	Czas odbioru: +50%; Zasięg odbioru: +50 mil. Misja musi zostać wysłana po aktywowaniu tego rozkazu.	Zeit der Übernahme: +50%; Radius der Übernahme: +50 Meilen. Die Mission soll nach Aktivierung dieses Befehls entsendet werden.	Le temps de récupération : +50 % ; La portée de récupération : +50 lieues. Il faut envoyer la mission après l’activation de cet ordre.	撤回时间+50%； 撤回区域范围 +50 英里	Tempo de receção: +50%; Alcance de receção: +50 milhas. A missão deve ser enviada depois de ativar a ordem.	Время приема: +50%; Дальность приема: +50 миль. Миссия должна быть отправлена ​​после активации этого приказа.	Tempo de recepción: +50 %; Alcance de la recepción: +50 millas. La misión debe ser enviada después de activar esta orden.
PlaneFuelManagementTitle	Plane Fuel Management	Gospodarka Paliwowa	Umgang mit dem Flugkraftstoff	Économie de carburant	飞机燃油管理	Gestão de combustível	Контроль над Топливом	Gestión de combustible
RepairSectionDesc	Gather off-duty crewmen to repair one (random) damaged section below deck, with immediate effect—followed by a six-hour break.	Zbierz członków załogi, którzy nie pełnią służby, aby naprawili jedną (losową) uszkodzoną sekcję pod pokładem, ze skutkiem natychmiastowym - po wykonaniu nastąpi sześciogodzinna przerwa.	Sammle die Mannschaftsmitglieder, die gerade keinen Dienst haben, damit sie eine (zufällig gewählte) Sektion unter dem Deck mit sofortiger Wirkung reparieren - nach der Reparatur erfolgt eine sechsstündige Pause.	Rassemblez des membres de l’équipage qui ne sont pas en service pour réparer une section endommagée (au hasard) sous le pont avec effet immédiat - il y aura une pause de six heures une fois l’opération terminée.	提高维修小队的效率， 以便立即修复一个损坏的部分（随机选择）， 所有剩余的修复将花费 1 小时完成。	Reúna os tripulantes que não estiverem a trabalhar para que reparem uma secção debaixo do bordo aleatória com um resultado imediato. Depois de realizar a ordem, haverá um intervalo de 6 horas.	Назначьте членов экипажа, которые не несут службу, на ремонт одной (случайной) поврежденной секции палубы с немедленным вступлением в силу – после ремонта наступит шестичасовой перерыв.	Reúna a los tripulantes que no esté ocupados para que reparen una sección dañada (aleatoria) por debajo de la cubierta con un efecto inmediato: después habrá una pausa de seis horas.
RepairSectionEffect	One section will be immediately repaired (without using DC teams)	Jedna sekcja zostanie natychmiast naprawiona (bez użycia zespołów BN)	Eine Sektion wird sofort repariert (ohne Inanspruchnahme der RB-Teams)	Une section sera immédiatement réparée (sans utiliser les équipes BR)	立即修复一个区域（不使用维修小队）； 进一步维修需要 1 小时	Uma secção será reparada imediatamente (sem utilizar as ER)	Одна секция будет отремонтирована немедленно (без привлечения команд РБ)	Una sección será reparada inmediatamente (sin el uso de los ER).
RepairSectionTitle	Section Repair	Naprawa Sekcji	Reparatur der Sektion	Travaux de réparation de section	更快地修复一个区域	Reparação da secção	Ремонт Секции	Reparación de sección
ResupplyDesc	Stop the carrier to begin the resupply procedure. (Without supplies your crew cannot perform most flight deck operations.)	Lotniskowiec przestaje się poruszać, aby wykonać procedurę uzupełniania zapasów. (Bez zaopatrzenia załoga nie może wykonywać większości operacji na pokładzie).	Der Flugzeugträger bewegt sich nicht mehr, um die Prozedur der Vorratsergänzung durchzuführen. (Ohne Versorgung kann die Mannschaft die meisten Operationen auf dem Deck nicht mehr ausführen).	Le porte-avions cesse de se déplacer pour réaliser la procédure de réapprovisionnement des ressources. (Sans approvisionnement, l’équipage ne peut pas réaliser la majorité des opérations sur le bord).	航母停止移动以进行补给。 （如果没有补给， 您的人员将无法在航母的甲板上执行大多数操作。 ）	O porta-aviões deixa de se mover para realizar o procedimento de reabastecimento. (Sem o abastecimento, a tripulação não pode realizar a maioria das operações a bordo).	Авианосец прекращает движение для выполнения процедуры пополнения запасов. (Без припасов экипаж не может выполнять большинство операций на палубе).	El portaaviones deja de moverse para realizar el procedimiento de reabastecimiento (Sin el abastecimiento, la tripulación no puede realizar la mayoría de las operaciones en la cubierta).
ResupplyEffect	Replenishes your carrier’s supplies	Uzupełnij zapasy w magazynie lotniskowca.	Ergänze die Vorräte im Lager des Flugzeugträgers.	Réapprovisionnez des ressources dans l’entrepôt du porte-avions.	给航母补给物资	Faça um reabastecimento no armazém do porta-aviões.	Восполните запасы на складе авианосца.	Realice el reabastecimiento en el almacén del portaaviones.
ResupplyTitle	Resupply Ship	Uzupełnienie Zapasów	Vorratsergänzung	Réapprovisionnement des ressources.	补给船	Reabastecimento	Восполнение Запасов	Reabastecimiento
SurpriseAttackDesc	If you are currently undetected, you can attack the enemy by surprise and receive a +3 Attack bonus for all maneuvers in your next Airstrike.	Zaatakuj wroga z zaskoczenia i otrzymaj dodatkowe 3 punkty ataku dla wszystkich manewrów w następnej bitwie. Musisz pozostać w ukryciu.	Greife den Feind überraschend an und bekomme zusätzliche 3 Angriffspunkte für alle Manöver in der nächsten Schlacht. Du musst in Deckung bleiben.	Attaquez l’ennemi par surprise et recevez 3 points supplémentaires de l’attaque pour toutes les manœuvres dans la bataille suivante. Restez en cachette.	如果你能出其不意地攻击敌人， 那么下一场战斗中的所有操作都将获得 3 点攻击力， 但前提是你一定不能被发现。	Surpreenda o inimigo e receba mais 3 pontos de ataque para todas as manobras no seguinte combate. Deve permanecer escondido.	Нанесите врагу внезапный удар и получите дополнительные 3 пункта атаки для всех маневров в следующем сражении. Вы должны оставаться в укрытии.	Ataque al enemigo de sorpresa y reciba 3 puntos adicionales de ataque para todas las maniobras en la siguiente batalla. Tiene que permanecer escondido.
