	en	pl	de	fr	zh	pt	ru	es
M3.3F1	Rescue ship	Okręt Ratunkowy	Rettungsschiff	Navire de Secours	救援船	Navio de Resgate	Спасательное Судно	Buque de Rescate
M3.3F2	13th Japanese Fleet	13ta Flota Japońska	13. Japanische Flotte	13e Flotte Japonaise	日本第13舰队	13ª Frota Japonesa	13-ый Флот Японии	13ª Flota Japonesa
M3.3F3	5th Japanese Air Fleet	5ta Japońska Flota Powietrzna	5. Japanische Luftflotte	5e Flotte Aérienne Japonaise	日本第5航空舰队	5ª Frota Aérea Japonesa	5-ый Воздушный Флот Японии	5ª Flota Aérea Japonesa
M3.3F4	1st Invasion Group	1sza Grupa Inwazyjna	1. Invasionsgruppe	1 Groupe d’Invasion	第1战斗集团	1ª Grupo de Invasão	1-ая Группа Вторжения	1ª Grupa Invasora
M3.3F5	2nd Japanese Invasion Fleet	2ga Japońska Flota Inwazyjna	2. Japanische Invasionsflotte	2e Flotte d’Invasion Japonaise	日本第2攻击舰队	2ª Frota de Invasão Japonesa	2-ой Флот Вторжения Японии	2ª Flota Invasora Japonesa
M3.4F1	6th Japanese Air Fleet	6ta Japońska Flota Powietrzna	6. Japanische Luftflotte	6e Flotte Aérienne Japonaise	日本第6航空舰队	6ª Frota Aérea Japonesa	6-ой Воздушный Флот Японии	6ª Flota Aérea Japonesa
M3.4F2	12th Japanese Fleet	12ta Flota Japońska	12. Japanische Flotte	12e Flotte Japonaise	日本第12舰队	12ª Frota Japonesa	12-ый Флот Японии	12ª Flota Japonesa
M3.4F3	11th Japanese Air Fleet	11ta Flota Japońska	11. Japanische Flotte	11e Flotte Japonaise	日本第11航空舰队	11ª Frota Japonesa	11-ый Флот Японии	11ª Flota Japonesa
M3.4B1	Japanese fortified outpost	Wzmocniona Placówka Japońska	Verstärkter japanischer Posten	Établissement Japonais Renforcé	日本防御哨所	Posto Japonês Reforçado	Укрепленный Форпост Японии	Establecimiento Japonés Reforzado
M3.4B2	Japanese fortified outpost	Wzmocniona Placówka Japońska	Verstärkter japanischer Posten	Établissement Japonais Renforcé	日本防御哨所	Posto Japonês Reforçado	Укрепленный Форпост Японии	Establecimiento Japonés Reforzado
M3.4B3	Japanese airfield	Japońskie Lotnisko	Japanischer Flughafen	Aérodrome Japonais	日本机场	Aeroporto japonês	Аэропорт Японии	Aeropuerto Japonés
M3.4B4	Japanese airfield	Japońskie Lotnisko	Japanischer Flughafen	Aérodrome Japonais	日本机场	Aeroporto japonês	Аэропорт Японии	Aeropuerto Japonés
M4.1F1	18th Japanese Fleet	18ta Flota Japońska	18. Japanische Flotte	18e Flotte Japonaise	日本第18舰队	18ª Frota Japonesa	18-ый Флот Японии	18ª Flota Japonesa
M4.1F2	16th Japanese Fleet	16ta Flota Japońska	16. Japanische Flotte	16e Flotte Japonaise	日本第16舰队	16ª Frota Japonesa	16-ый Флот Японии	16ª Flota Japonesa
M4.1F3	12th Japanese Fleet	12ta Flota Japońska	12. Japanische Flotte	12e Flotte Japonaise	日本第12舰队	12ª Frota Japonesa	12-ый Флот Японии	12ª Flota Japonesa
M4.1F4	Task Force 62 	Grupa Zadaniowa 62	Sturmgruppe 62	Groupe Aéronaval 62	第62特遣队	Grupo de Ataque 62	Оперативная Группа 62	Grupo Especial 62
M4.2B1	Hollandia	Hollandia	Hollandia	Pays-Bas	霍兰迪亚	Hollandia	Голландия	Hollandia
M4.2B2	Aitape	Aitape	Aitape	Aitape	艾塔佩	Aitape	Аитапе	Aitape
M4.2B3	Finschhafen	Finschhafen	Finschhafen	Finschhafen	芬沙芬	Finschhafen	Финшхафен	Finschhafen
M4.2B4	Wewak	Wewak	Wewak	Wewak	韦瓦克	Wewak	Вевак	Wewak
M4.2F1	14th Japanese Fleet	14ta Flota Japońska	14. Japanische Flotte	14e Flotte Japonaise	日本第14舰队	14ª Frota Japonesa	14-ый Флот Японии	14ª Flota Japonesa
M4.2F2	8th Japanese Fleet	8ma Flota Japońska	8. Japanische Flotte	8e Flotte Japonaise	日本第8舰队	8ª Frota Japonesa	8-ой Флот Японии	8ª Flota Japonesa
M4.2F3	4th Japanese Fleet	4ta Flota Japońska	4. Japanische Flotte	4e Flotte Japonaise	日本第4舰队	4ª Frota Japonesa	4-ый Флот Японии	4ª Flota Japonesa
M4.2F4	Task Force 41	Grupa Zadaniowa 41	Sonderkommando 41	Forces Spéciales 41	第41特遣队	Força Especial no. 41	Оперативная Группа 41	Grupo Especial 41
M4.2F5	Task Force 35	Grupa Zadaniowa 35	Sonderkommando 35	Forces Spéciales 35	第35特遣队	Força Especial no. 35	Оперативная Группа 35	Grupo Especial 35
M4.2F6	Invasion fleet	Flota Inwazyjna	Invasionsflotte	Flotte d’Invasion	攻击舰队	Frota de Invasão	Флот Вторжения	Flota Invasora
M4.2F7	Invasion fleet	Flota Inwazyjna	Invasionsflotte	Flotte d’Invasion	攻击舰队	Frota de Invasão	Флот Вторжения	Flota Invasora
M4.3F1	23rd Japanese Fleet	23cia Flota Japońska	23. Japanische Flotte	23e Flotte Japonaise	日本第23舰队	23ª Frota Japonesa	23-ий Флот Японии	22ª Flota Japonesa
M4.3F2	32nd Japanese Fleet	32ga Flota Japońska	32. Japanische Flotte	32e Flotte Japonaise	日本第32舰队	32ª Frota Japonesa	32-ой Флот Японии	32ª Flota Japonesa
M4.3F3	24th Japanese Fleet	24ta Flota Japońska	24. Japanische Flotte	24e Flotte Japonaise	日本第24舰队	24ª Frota Japonesa	24-ый Флот Японии	24ª Flota Japonesa
M4.3F4	Destroyer Hayate	Niszczyciel "Hayate"	Zerstörer "Hayate"	Destroyer « Hayate »	神风级驱逐舰	Destróier “Hayate”	Эскадренный миноносец «Хаятэ»	Destructor «Hayate»
M4.3F5	4th Japanese Transport Fleet 	4ta Japońska Flota Transportowa	4. Japanische Transportflotte	4e Flotte de Transport Japonaise	日本第四运输舰队	4ª Frota de Transporte Japonesa	4-ый Транспортный Флот Японии	4ª Flota Japonesa de Transporte
M4.3F6	USS Aspro	USS Aspro	USS Aspro	USS Aspro	美国金吉鲈号潜艇	USS Aspro	USS Aspro	USS Aspro
M4.3F7	Task Force 43	Grupa Zadaniowa 43	Sonderkommando 43	Forces Spéciales 43	第43特遣部队	Força Especial no. 43	Оперативная Группа 43	Grupo Especial 43
M4.3B1	Japanese base	Baza Japońska	Japanischer Stützpunkt	Base Japonaise	日本基地	Base Japonesa	База Японии	Base Japonesa
M4.3B2	Japanese base	Baza Japońska	Japanischer Stützpunkt	Base Japonaise	日本基地	Base Japonesa	База Японии	Base Japonesa
M4.4F1	Destroyer Amagiri	Niszczyciel Amagiri	Zerstörer Amagiri	Destroyer Amagiri	朝雾级驱逐舰	Destróier Amagiri	Эскадренный миноносец «Амагири»	Destructor Amagiri
M4.4F2	Destroyer Hatsuyuki	Niszczyciel Hatsuyuki	Zerstörer Hatsuyuki	Destroyer Hatsuyuki	初雪级驱逐舰	Destróier Hatsuyuki	Эскадренный миноносец «Хацуюки»	Destructor Hatsuyuki
M4.4F3	Destroyer Nagatsuki	Niszczyciel Nagatsuki	Zerstörer Nagatsuki	Destroyer Nagatsuki	长月级驱逐舰	Destróier Nagatsuki	Эскадренный миноносец «Нагацуки»	Destructor Nagatsuki
M4.4F4	8th Japanese Air Fleet	8ma Japońska Flota Powietrzna	8. Japanische Luftflotte	8e Flotte Aérienne Japonaise	日本第8航空舰队	8ª Frota Aérea Japonesa	8-ой Воздушный Флот Японии	8ª Flota Aérea Japonesa
M4.4F5	21st Japanese Fleet	21sza Flota Japońska	21. Japanische Flotte	21ere Flotte Japonaise	日本第21舰队	21ª Frota Japonesa	21-ый Флот Японии	21ª Flota Japonesa
M4.4F6	Invasion fleet	Flota Inwazyjna	Invasionsflotte	Flotte d’Invasion	攻击舰队	Frota de Invasão	Флот Вторжения	Flota Invasora
M4.4F7	Invasion fleet	Flota Inwazyjna	Invasionsflotte	Flotte d’Invasion	攻击舰队	Frota de Invasão	Флот Вторжения	Flota Invasora
M4.4F8	13th Japanese Fleet	13ta Flota Japońska	13. Japanische Flotte	13e Flotte Japonaise	日本第13舰队	13ª Frota Japonesa	13-ый Флот Японии	13ª Flota Japonesa
M4.4F9	Task Group 31.2	Grupa Zadaniowa 31.2	Sturmgruppe 31.2	Groupe Aéronaval 31.2	突击部队 31.2	Grupo de Ataque 31.2	Оперативная Группа 31.2	Grupo Especial 31.2
M4.4B1	Marovovo	Maravovo	Maravovo	Maravovo	马罗沃沃	Maravovo	Maravovo	Maravovo
M4.4B2	Longu	Longu	Longu	Longu	隆谷	Longu	Longu	Longu
M4.4B3	Japanese airfield	Lotnisko Japońskie	Japanischer Flughafen	Aérodrome Japonais	日本机场	Aeroporto Japonês	Аэропорт Японии	Aeropuerto Japonés
SEF1	Aobake	Aobake	Aobake	Aobake	Aobake	Aobake	Aobake	Aobake
SEF2	Shirobake	Shirobake	Shirobake	Shirobake	Shirobake	Shirobake	Shirobake	Shirobake
SEF3	Akabake	Akabake	Akabake	Akabake	Akabake	Akabake	Akabake	Akabake
SEF4	Kurobake	Kurobake	Kurobake	Kurobake	Kurobake	Kurobake	Kurobake	Kurobake
SEF5	Tsuyobake	Tsuyobake	Tsuyobake	Tsuyobake	Tsuyobake	Tsuyobake	Tsuyobake	Tsuyobake
SEF6	Hayabake	Hayabake	Hayabake	Hayabake	Hayabake	Hayabake	Hayabake	Hayabake
SEF7	Daibake	Daibake	Daibake	Daibake	Daibake	Daibake	Daibake	Daibake
SEF8	Totobake	Totobake	Totobake	Totobake	Totobake	Totobake	Totobake	Totobake
SEF9	Ginirobake	Ginirobake	Ginirobake	Ginirobake	Ginirobake	Ginirobake	Ginirobake	Ginirobake
SEF10	Eienbake	Eienbake	Eienbake	Eienbake	Eienbake	Eienbake	Eienbake	Eienbake
SEF11	Aotaki	Aotaki	Aotaki	Aotaki	Aotaki	Aotaki	Aotaki	Aotaki
SEF12	Shirotaki	Shirotaki	Shirotaki	Shirotaki	Shirotaki	Shirotaki	Shirotaki	Shirotaki
SEF13	Akataki	Akataki	Akataki	Akataki	Akataki	Akataki	Akataki	Akataki
SEF14	Kurotaki	Kurotaki	Kurotaki	Kurotaki	Kurotaki	Kurotaki	Kurotaki	Kurotaki
SEF15	Tsuyotaki	Tsuyotaki	Tsuyotaki	Tsuyotaki	Tsuyotaki	Tsuyotaki	Tsuyotaki	Tsuyotaki
SEF16	Hayataki	Hayataki	Hayataki	Hayataki	Hayataki	Hayataki	Hayataki	Hayataki
SEF17	Daitaki	Daitaki	Daitaki	Daitaki	Daitaki	Daitaki	Daitaki	Daitaki
SEF18	Tototaki	Tototaki	Tototaki	Tototaki	Tototaki	Tototaki	Tototaki	Tototaki
SEF19	Ginirotaki	Ginirotaki	Ginirotaki	Ginirotaki	Ginirotaki	Ginirotaki	Ginirotaki	Ginirotaki
SEF20	Eientaki	Eientaki	Eientaki	Eientaki	Eientaki	Eientaki	Eientaki	Eientaki
SEF21	Aoshugosha	Aoshugosha	Aoshugosha	Aoshugosha	Aoshugosha	Aoshugosha	Aoshugosha	Aoshugosha
SEF22	Shiroshugosha	Shiroshugosha	Shiroshugosha	Shiroshugosha	Shiroshugosha	Shiroshugosha	Shiroshugosha	Shiroshugosha
SEF23	Akashugosha	Akashugosha	Akashugosha	Akashugosha	Akashugosha	Akashugosha	Akashugosha	Akashugosha
SEF24	Kuroshugosha	Kuroshugosha	Kuroshugosha	Kuroshugosha	Kuroshugosha	Kuroshugosha	Kuroshugosha	Kuroshugosha
SEF25	Tsuyoshugosha	Tsuyoshugosha	Tsuyoshugosha	Tsuyoshugosha	Tsuyoshugosha	Tsuyoshugosha	Tsuyoshugosha	Tsuyoshugosha
SEF26	Hayashugosha	Hayashugosha	Hayashugosha	Hayashugosha	Hayashugosha	Hayashugosha	Hayashugosha	Hayashugosha
SEF27	Daishugosha	Daishugosha	Daishugosha	Daishugosha	Daishugosha	Daishugosha	Daishugosha	Daishugosha
SEF28	Totoshugosha	Totoshugosha	Totoshugosha	Totoshugosha	Totoshugosha	Totoshugosha	Totoshugosha	Totoshugosha
SEF29	Giniroshugosha	Giniroshugosha	Giniroshugosha	Giniroshugosha	Giniroshugosha	Giniroshugosha	Giniroshugosha	Giniroshugosha
SEF30	Eienshugosha	Eienshugosha	Eienshugosha	Eienshugosha	Eienshugosha	Eienshugosha	Eienshugosha	Eienshugosha
SEF31	Aotori	Aotori	Aotori	Aotori	Aotori	Aotori	Aotori	Aotori
SEF32	Shirotori	Shirotori	Shirotori	Shirotori	Shirotori	Shirotori	Shirotori	Shirotaki
SEF33	Akatori	Akatori	Akatori	Akatori	Akatori	Akataki	Akatori	Akatori
SEF34	Kurotori	Kurotori	Kurotori	Kurotori	Kurotori	Kurotori	Kurotori	Kurotori
SEF35	Tsuyotori	Tsuyotori	Tsuyotori	Tsuyotori	Tsuyotori	Tsuyotori	Tsuyotori	Tsuyotori
SEF36	Hayatori	Hayatori	Hayatori	Hayatori	Hayatori	Hayatori	Hayatori	Hayatori
SEF37	Daitori	Daitori	Daitori	Daitori	Daitori	Daitori	Daitori	Daitori
SEF38	Tototori	Tototori	Tototori	Tototori	Tototori	Tototori	Tototori	Tototori
SEF39	Ginirotori	Ginirotori	Ginirotori	Ginirotori	Ginirotori	Ginirotori	Ginirotori	Ginirotori
SEF40	Eientori	Eientori	Eientori	Eientori	Eientori	Eientori	Eientori	Eientori
SEF41	Aonadare	Aonadare	Aonadare	Aonadare	Aonadare	Aonadare	Aonadare	Aonadare
SEF42	Shironadare	Shironadare	Shironadare	Shironadare	Shironadare	Shironadare	Shironadare	Shironadare
SEF43	Akanadare	Akanadare	Akanadare	Akanadare	Akanadare	Akanadare	Akanadare	Akanadare
SEF44	Kuronadare	Kuronadare	Kuronadare	Kuronadare	Kuronadare	Kuronadare	Kuronadare	Kuronadare
SEF45	Tsuyonadare	Tsuyonadare	Tsuyonadare	Tsuyonadare	Tsuyonadare	Tsuyonadare	Tsuyonadare	Tsuyonadare
SEF46	Hayanadare	Hayanadare	Hayanadare	Hayanadare	Hayanadare	Hayanadare	Hayanadare	Hayanadare
SEF47	Dainadare	Dainadare	Dainadare	Dainadare	Dainadare	Dainadare	Dainadare	Dainadare
SEF48	Totonadare	Totonadare	Totonadare	Totonadare	Totonadare	Totonadare	Totonadare	Totonadare
SEF49	Ginironadare	Ginironadare	Ginironadare	Ginironadare	Ginironadare	Ginironadare	Ginironadare	Ginironadare
SEF50	Eiennadare	Eiennadare	Eiennadare	Eiennadare	Eiennadare	Eiennadare	Eiennadare	Eiennadare
SEB1	Katakuma	Katakuma	Katakuma	Katakuma	Katakuma	Katakuma	Katakuma	Katakuma
SEB2	Eienkuma	Eienkuma	Eienkuma	Eienkuma	Eienkuma	Eienkuma	Eienkuma	Eienkuma
SEB3	Tsuyokuma	Tsuyokuma	Tsuyokuma	Tsuyokuma	Tsuyokuma	Tsuyokuma	Tsuyokuma	Tsuyokuma
SEB4	Totokuma	Totokuma	Totokuma	Totokuma	Totokuma	Totokuma	Totokuma	Totokuma
SEB5	Ginirokuma	Ginirokuma	Ginirokuma	Ginirokuma	Ginirokuma	Ginirokuma	Ginirokuma	Ginirokuma
SEB6	Daikuma	Daikuma	Daikuma	Daikuma	Daikuma	Daikuma	Daikuma	Daikuma
SEB7	Katakichi	Katakichi	Katakichi	Katakichi	Katakichi	Katakichi	Katakichi	Katakichi
SEB8	Eienkichi	Eienkichi	Eienkichi	Eienkichi	Eienkichi	Eienkichi	Eienkichi	Eienkichi
SEB9	Tsuyokichi	Tsuyokichi	Tsuyokichi	Tsuyokichi	Tsuyokichi	Tsuyokichi	Tsuyokichi	Tsuyokichi
SEB10	Totokichi	Totokichi	Totokichi	Totokichi	Totokichi	Totokichi	Totokichi	Totokichi
SEB11	Ginirokichi	Ginirokichi	Ginirokichi	Ginirokichi	Ginirokichi	Ginirokichi	Ginirokichi	Ginirokichi
SEB12	Daikichi	Daikichi	Daikichi	Daikichi	Daikichi	Daikichi	Daikichi	Daikichi
SEB13	Katakishi	Katakishi	Katakishi	Katakishi	Katakishi	Katakishi	Katakishi	Katakishi
SEB14	Eienkishi	Eienkishi	Eienkishi	Eienkishi	Eienkishi	Eienkishi	Eienkishi	Eienkishi
SEB15	Tsuyokishi	Tsuyokishi	Tsuyokishi	Tsuyokishi	Tsuyokishi	Tsuyokishi	Tsuyokishi	Tsuyokishi
