	en	pl	de	fr	zh	pt	ru	es
AttackIncomingEventEscort	Your escort is under attack. Click to view.	Twoja eskorta jest pod ostrzałem! Kliknij, aby zobaczyć.	Deine Eskorte wird beschossen. Klicke an, um anzuschauen.	Votre escorte se trouve sous le feu. Cliquez pour voir.	你的护航任务受到敌军攻击！点击以聚焦。	A sua escolta está sob fogo. Faça clique para ver.	Ваш эскорт под обстрелом! Нажмите, чтобы увидеть.	¡Su escolta está siendo atacada! Haga clic para ver
AttackIncomingEventEscortShort	Your escort is under attack!	Twoja eskorta jest pod ostrzałem!	Deine Eskorte wird beschossen!	Votre escorte se trouve sous le feu !	你的护航任务受到敌军攻击！	A sua escolta está sob fogo!	Ваш эскорт под обстрелом!	¡Su escolta está siendo atacada!
BalancedForcesHeader	REMAINING FORCES	POZOSTAŁE SIŁY	SONSTIGE KRÄFTE	AUTRES FORCES	剩余军力	OUTRAS FORÇAS	ОСТАВШИЕСЯ СИЛЫ	DEMÁS FUERZAS
BomberMissionDesc	Send dive bombers on this mission.	Wyślij na tę misję bombowce nurkujące	Schicke Tauchbomber zu dieser Mission	Envoyez les bombardier en piqué pour cette mission	派遣俯冲轰炸机执行此任务	Envie bombardeiros mergulhadores a esta missão	Отправьте пикирующие бомбардировщики на эту миссию.	Envíe bombarderos en picado a esta misión
BomberMissionTitle	Dive Bombers	Bombowce nurkujące	Tauchbomber	Bombardiers en piqué	俯冲轰炸机	Bombardeiros mergulhadores	Пикирующие бомбардировщики	Bombarderos en picado
BrokenSquadronEvent	A squadron broke down due to the damage in the hangar. Click to view.	Eskadra uległa uszkodzeniu przez zniszczenia w hangarach! Kliknij, aby zobaczyć.	Die Staffel wurde beschädigt durch die Zerstörungen in den Hangars! Klicke an, um anzuschauen.	L’escadre a été endommagée par les dommages dans les hangars ! Cliquez pour voir.	一个中队因机库损坏而发生故障！点击以聚焦。	A esquadra foi destruída nos hangares! Faça clique para ver.	Эскадрилья получила повреждения в результате разрушения ангаров! Нажмите, чтобы увидеть.	¡La escuadra ha sido destruida debido a los daños en los hangares! Haga clic para ver
BrokenSquadronEventShort	A squadron broke down due to hangar damage!	Eskadra uległa uszkodzeniu przez zniszczenia w hangarach!	Die Staffel wurde beschädigt durch die Zerstörungen in den Hangars!	L’escadre a été endommagée par les dommages dans les hangars !	一个中队因机库损坏而发生故障！	A esquadra foi destruída nos hangares!	Эскадрилья получила повреждения в результате разрушения ангаров!	¡La escuadra ha sido destruida debido a los daños en los hangares!
CarrierDefense	Carrier Defense	Obrona Lotniskowca	Verteidigung des Flugzeugträgers	La défense du porte-avion	航母防御	Defesa do porta-aviões	Оборона Авианосца	Defensa del portaaviones
CarrierHealthCriticalEvent	The carrier is critically damaged—at 100%, it will sink. Click for Sections view.	Lotniskowiec odniósł obrażenia krytyczne. Przy 50% pójdziemy pod wodę! Kliknij, by przenieść do sekcji.	Der Flugzeugträger ist enorm beschädigt worden. Bei 50% gehen wir unter! Klicke an, um in die Sektion zu verschieben.	Le porte-avion a subi des dégâts critiques Avec 50 % nous allons couler ! Cliquez pour passer à la vue de section.	航母损坏严重， 我们将以 50% 的速度沉入水下！	O porta-aviões sofreu danificações críticas. Ao 50% afondaremos! Faça clique para passar à secção.	Авианосец получил критические повреждения. При 50% мы уйдем под воду! Нажмите, чтобы перенести в секцию.	El portaaviones ha sido dañado críticamente. ¡A los 50 % nos hundiremos! Haga clic para ir a la sección.
CarrierHealthCriticalEventShort	The carrier is critically damaged!	Lotniskowiec odniósł obrażenia krytyczne.	Der Flugzeugträger ist enorm beschädigt worden.	Le porte-avion a subi des dégâts critiques	航母损坏严重	O porta-aviões sofreu danificações críticas.	Авианосец получил критические повреждения.	El portaaviones ha sido dañado críticamente.
CarrierNotMovingEventSpeed	Your strike group is not moving. Click to set your speed.	Twoja grupa uderzeniowa stoi w miejscu. Kliknij, aby ustawić prędkość.	Deine Sturmgruppe steht still. Klicke an, um die Geschwindigkeit einzustellen.	Votre groupe aéronaval ne bouge pas. Cliquez pour fixer la vitesse.	你的战斗小队在原地闲置！单击以设置速度。	O seu grupo de ataque está parado. Faça clique para configurar a velocidade.	Ваша ударная группа стоит на месте. Нажмите, чтобы установить скорость.	Su Grupo de Ataque está parado. Haga clic para determinar la velocidad.
CarrierNotMovingEventSpeedShort	Your strike group is not moving!	Twoja grupa uderzeniowa stoi w miejscu!	Deine Sturmgruppe steht still!	Votre groupe aéronaval ne bouge pas.	你的战斗小队目前闲置！	O seu grupo de ataque está parado!	Ваша ударная группа стоит на месте!	¡Su Grupo de Ataque está parado!
CarrierNotMovingEventWaypoints	Your strike group is not moving. Click to set a waypoint.	Twoja grupa uderzeniowa stoi w miejscu. Kliknij, aby wyznaczyć punkt trasy.	Deine Sturmgruppe steht still. Klicke an, um den Punkt der Route festzulegen.	Votre groupe aéronaval ne bouge pas. Cliquez pour fixer les points de l’itinéraire.	你的战斗小组在原地闲置！单击以设置航行点。	O seu grupo de ataque está parado. Faça clique para determinar um ponto na rota.	Ваша ударная группа стоит на месте. Нажмите, чтобы обозначить пункт маршрута.	Su Grupo de Ataque está parado. Haga clic para determinar los puntos de la ruta.
CarrierNotMovingEventWaypointsShort	Your strike group is not moving!	Twoja grupa uderzeniowa stoi w miejscu!	Deine Sturmgruppe steht still!	Votre groupe aéronaval ne bouge pas.	你的罢工小组目前闲置！	O seu grupo de ataque está parado!	Ваша ударная группа стоит на месте!	¡Su Grupo de Ataque está parado!
CarriersCAP	CAP	BPP (Bojowy Patrol Powietrzny)	KLP (Kampfluftpatrouille)	PAC (Patrouille Aérienne de Combat)	空中巡逻	PAC (Patrulha Aérea de Combate)	БВП (Боевой Воздушный Патруль)	PAC (Patrulla Aérea de Combate)
ChoseOrder	Choose a reward	Wybierz nowy rozkaz	Wähle einen neuen Befehl	Sélectionnez un prix	选择奖励	Escolha nova ordem	Выберите новый приказ	Seleccione nueva orden
CounterHostileScouts	Counter Scouts	Przechwycenie Zwiadowców	Abfangen der Aufklärer	Interception des Éclaireurs	反敌军侦察兵	Capturamento de rangers	Перехват Разведчиков	Interceptación por el Grupo de reconocimiento
CrewManagementDesc	Click to open the menu.	Naciśnij aby otworzyć	Klicke an um zu öffnen	Appuyez pour ouvrir	点击打开菜单	Faça clique para abrir	Нажмите, чтобы открыть	Haga clic para abrir
CrewManagementTitle	Crew Management	Zarządzanie Załogą	Mannschaftsmanagement	Gestions de l’équipage	人员管理	Gestão de tripulação	Управление Экипажем	Gestión de la Tripulación
CrewMemberDeadEvent	A crew unit has died. Click to view.	Zginęła jednostka załogi! Kliknij, aby zobaczyć.	Ein Mannschaftsmitglied ist ums Leben gekommen! Klicke an, um anzuschauen.	Une unité de l’équipage a été tuée ! Cliquez pour voir.	一名人员死了！点击以聚焦。	Perdeu-se uma unidade de tripulação! Faça clique para ver.	Погиб член экипажа! Нажмите, чтобы увидеть.	¡Una unidad de la tripulación ha desaparecido! Haga clic para ver
CrewMemberDeadEventShort	A crew unit has died!	Zginęła jednostka załogi!	Ein Mannschaftsmitglied ist ums Leben gekommen!	Une unité de l’équipage a été tuée !	一名人员死了！	Perdeu-se uma unidade de tripulação!	Погиб член экипажа!	¡Una unidad de la tripulación ha desaparecido!
CrewMemberInjuredEvent	A crew unit has been critically injured. Click to view.	Jeden z członków załogi został ciężko ranny. Kliknij, aby zobaczyć.	Ein Mannschaftsmitglied wurde schwer verwundet. Klicke an, um anzuschauen.	L’un des membres de l’équipage a été gravement blessé. Cliquez pour voir.	机组人员急需医疗护理！点击以聚焦。	Um dos membros da tripulação foi gravemente lesionado. Faça clique para ver.	Один из членов экипажа серьезно ранен. Нажмите, чтобы увидеть.	Uno de los tripulantes ha sido gravemente lesionado. Haga clic para ver
CrewMemberInjuredEventShort	A crew unit is critically injured!	Jeden z członków załogi jest ciężko ranny!	Ein Mannschaftsmitglied wurde schwer verwundet!	L’un des membres de l’équipage est gravement blessé.	一名人员急需医疗护理！	Um dos membros da tripulação foi gravemente lesionado!	Один из членов экипажа серьезно ранен!	¡Uno de los tripulantes está gravemente lesionado!
CrewMemberNeedsHelp	A crew unit has been injured. Click to view.	Jeden z członków załogi został ranny. Kliknij, aby zobaczyć.	Ein Mannschaftsmitglied wurde verwundet. Klicke an, um anzuschauen.	L’un des membres de l’équipage a été blessé. Cliquez pour voir.	一名人员需要帮助！点击以聚焦。	Um dos membros da tripulação foi gravemente lesionado. Faça clique para ver.	Один из членов экипажа ранен. Нажмите, чтобы увидеть.	Uno de los tripulantes ha sido lesionado. Haga clic para ver
CrewMemberNeedsHelpShort	A crew unit is injured!	Jeden z członków załogi jest ranny!	Ein Mannschaftsmitglied wurde verwundet!	L’un des membres de l’équipage est blessé !	一名人员需要帮助！	Um dos membros da tripulação foi lesionado!	Один из членов экипажа ранен!	¡Uno de los tripulantes está lesionado!
CurrentOrderExpiredEvent	Your recent order has ended. Click to give a new order.	Obecny rozkaz wygasł. Kliknij, aby wydać nowy rozkaz.	Der jetzige Befehl gilt nicht mehr. Klicke an, um neuen Befehl zu erteilen.	La récente ordre a expiré. Cliquez pour donner une nouvelle ordre.	当前指令已过期， 单击以设置新指令。	A ordem atual venceu. Faça clique para emitir nova ordem.	Срок текущего приказа истек. Нажмите, чтобы отдать новый приказ.	La presente orden ha expirado. Haga clic para emitir nueva orden.
CurrentOrderExpiredEventShort	Your recent order has ended.	Obecny rozkaz wygasł.	Der jetzige Befehl gilt nicht mehr.	La récente ordre a expiré.	当前指令已过期。	A ordem atual venceu.	Срок текущего приказа истек.	La presente orden ha expirado.
DcIconDesc	Having a DC team here lowers the chances of malfunctions in sections (and the spread of malfunctions between sections) and activates Maintenance buttons.	Ten pokój wymaga obecności Brygady Naprawczej, aby móc naprawiać uszkodzenia na statku. Obecność BN zmniejsza także szansę na wystąpienie losowych usterek.	Dieser Raum erfordert die Anwesenheit der Reparaturbrigade um die Beschädigungen des Schiffs zu reparieren. Die Anwesenheit der RB reduziert auch die Gefahr, dass zufällige Störungen aufkommen.	La présence de la Brigade de Réparation est nécessaire pour réparer les dégâts du navire. La présence de BR diminue la possibilité d’apparition des défauts aléatoires.	这个房间需要维修小队来手动修复船上的任何损坏部分。 维修小队正在船上时， 船只也会减少随机故障的机会。	Esta câmara requer da presença de uma Brigada de Reparação para poder reparar as danificações no navio. A presença da ER diminui a probabilidade de defeitos aleatórios.	В этом помещении требуется присутствие Ремонтной Бригады для устранения повреждений на корабле.  Присутствие РБ также уменьшает вероятность возникновения случайных неисправностей.	Este espacio requiere de la presencia del Equipo de Reparación para poder reparar los daños en el buque. La presencia del ER disminuye también la posibilidad de aparecer fallos aleatorios.
DcIconTitle	Maintenance	Sekcja Naprawcza	Reparatursektion	Section de Réparation	维修室	Secção de Reparação	Ремонтная Секция	Sección de Reparación
DeckLockedNoCrew	Not enough crew members in the Air Department!	Zbyt mało załogi w Dziale Lotniczym	Zu wenig Mannschaft in der Luftabteilung	Trop peu d’équipage dans la Section Aérienne	空军部门的机组人员不足！	Há tripulação de menos na Divisão Aérea	Недостаточно экипажа в Авиационном Отделении.	Poca tripulación en el Departamento Aéreo
DeckLockedNoPlanes	The hangar is empty!	Hangar jest pusty	Hangar ist leer	Le hangar est vide	机库是空的！	O hangar está vazio	Ангар пуст	El hangar está vacío
DeckLockedPlaneCrashed	A plane crashed on the flight deck!	Samolot rozbił się na pokładzie!	Das Flugzeug zerschellte auf dem Deck!	L’avion s’est écrasé au bord !	一架飞机坠毁在了甲板上！	O avão despenhou-se a bordo!	Самолет разбился на полетной палубе!	¡Un avión se ha estrellado en la cubierta!
DeckSlotIsLocked	Deck slot locked	SLOT NA POKŁADZIE ZABLOKOWANY	DER SLOT AUF DEM DECK IST BLOCKIERT	SLOT DE BORD BLOQUÉ	甲板槽已被锁定	SLOT NO BORDO BLOQUEADO	СЛОТ НА ПАЛУБЕ ЗАБЛОКИРОВАН	EL ESPACIO EN LA CUBIERTA ESTÁ BLOQUEADO
DefendAllyFleetTimerTitle_4.1	[OBSOLETE] Defend ally fleet	Chroń flotę sojuszniczą	Beschütze die verbündete Flotte	Défendez la flotte alliée	[已过时] 保卫盟友舰队	Proteja a frota aliada	Защищайте флот союзника	Proteja la bandera aliada
DefendCarrierTimerDesc_4.1	Time left to defend your carrier against enemy air raids while awaiting the tugboat’s arrival.	Pozostały czas na obronę lotniskowca podczas oczekiwania na holownik.	Die verbleibende Zeit für die Verteidigung des Flugzeugträgers während des Wartens auf den Schlepper.	Le temps restant pour la protection du porte-avion en attendant le remorqueur.	在等待拖船到来的同时， 保护你的航母免受敌人空袭的剩余时间。	O tempo restante para a defesa do porta-aviões durante a espera para o reboco.	Оставшееся время на оборону авианосца в ожидании буксира.	El tiempo remanente para la defensa del portaaviones durante la espera por el buque de remolque.
DefendCarrierTimerName_4.1	Defend carrier	Broń lotniskowca	Waffen des Flugzeugträgers	Défendez le porte-avions	保卫航母	Defenda o porta-aviões	Защищайте Авианосец	Defienda el portaaviones
DefendCarrierTimerTitle_4.1	Protect your strike group	Ochraniaj grupę uderzeniową	Beschütze die Sturmgruppe	Défendez le groupe aéronaval	保护你的战斗群	Proteja o grupo de ataque	Защищайте ударную группу	Proteja el grupo de ataque
DefendDamagedShipTimerDesc_4.1	Time left to defend your carrier against enemy air raids while being towed to safety.	Pozostały czas na obronę lotniskowca podczas holowania w bezpieczne miejsce.	Die verbleibende Zeit für die Verteidigung des Flugzeugträgers während des Abschleppens an einen sicheren Ort.	Le temps restant pour la protection du porte-avions lors du remorquage dans un endroit sécurisé.	在被拖到安全地带前， 保护你的航母免受敌人空袭的剩余时间。	O tempo restante para a defesa do porta-aviões durante o reboco a um lugar seguro.	Оставшееся время на оборону авианосца во время буксировки в безопасное место.	Tiempo remanente para la defensa del portaaviones durante el remolque a un lugar seguro.
DefendDamagedShipTimerName_4.1	Defend carrier	Broń lotniskowca	Waffen des Flugzeugträgers	Défendez le porte-avions	保卫航母	Defenda o porta-aviões	Защищайте Авианосец	Defienda el portaaviones
DefendDamagedShipTimerTitle_4.1	Protect your strike group	Ochraniaj grupę uderzeniową	Beschütze die Sturmgruppe	Défendez le groupe aéronaval	保护你的战斗群	Proteja o grupo de ataque	Защищайте ударную группу	Proteja el grupo de ataque
DefendDutchHarborTimerDesc_3.3	Time left to defend the US base at Dutch Harbor against enemy air raids.	Czas pozostały do ochrony Dutch Harbor przed nalotami.	Die verbleibende Zeit für die Beschützung von Dutch Harbor vor den Luftangriffen.	Le temps restant pour défendre Dutch Harbor contre les raids aériens.	用来保卫荷兰港的美国基地免受敌人空袭的剩余时间。	Tempo restante para a proteção doo Dutch Harbor contra ataques aéreos.	Оставшееся время на защиту Датч-Харбор от авиаударов.	Tiempo remanente para la defensa de Dutch Harbor contra ataques aéreos.
DefendDutchHarborTimerName_3.3	Defend the base	Ochraniaj port	Beschütze den Hafen	Défendez le port	保卫基地	Proteja o porto	Защищайте порт	Proteja el puerto
DefendDutchHarborTimerTitle_3.3	Support Dutch Harbor	Wspieraj Dutch Harbor	Unterstütze Dutch Harbor	Supportez Dutch Harbor	支援荷兰港	Apoie o Dutch Harbor	Окажите поддержку Датч-Харбор	Apoye a Dutch Harbor
DefendFleetTimerDesc_4.1	Time left to defend Task Force 62 against enemy air raids.	Czas pozostały do ochrony sojuszniczej floty przed wrogimi nalotami.	Die verbleibende Zeit für die Beschützung der verbündeten Flotte vor den Luftangriffen.	Le temps restant pour défendre la flotte alliée contre les raids aériens.	用来保卫第 62 特遣队免受敌人空袭的剩余时间。	Tempo restante para a proteção aliada da frota contra ataques aéreos.	Оставшееся время на защиту флота союзника от вражеских авиаударов.	Tiempo remanente para la defensa de la flota aliada contra ataques aéreos enemigos.
DefendFleetTimerName_4.1	Defend ships	Osłaniaj flotę	Waffen der Schiffe	Défendez les navires	保卫舰队	Defenda navios	Защищайте флот	Proteja la flota
DefendFleetTimerTitle_4.1	Support Task Force 62	Ochraniaj flotę sojuszniczą	Beschütze die verbündete Flotte	Défendez la flotte alliée	支援第 62 特遣队	Proteja a frota aliada	Защищайте флот союзника	Proteja la flota aliada
DetectionStatusChangedEventDetected	Your fleet has been detected by the enemy.	Zostaliśmy wykryci przez wroga!	Der Feind hat uns entdeckt!	Nous avons été repérés par l’ennemi !	我们被敌人发现了！	Fomos detetados pelo inimigo!	Враг обнаружил нас!	¡Hemos sido descubiertos por el enemigo!
DetectionStatusChangedEventDetectedShort	You were detected by the enemy!	Zostaliśmy wykryci przez wroga!	Der Feind hat uns entdeckt!	Nous avons été repérés par l’ennemi !	我们被敌人发现了！	Fomos detetados pelo inimigo!	Враг обнаружил нас!	¡Hemos sido descubiertos por el enemigo!
DetectionStatusChangedEventUndetected	Your location is currently unknown to the enemy.	Nasza pozycja jest ukryta przed wrogiem.	Unsere Position ist vor dem Feind verborgen.	Notre position a été caché de l’ennemi.	我们的位置对敌人隐藏。	A nossa posição está escondida do inimigo.	Наша позиция скрыта от врага.	Nuestra localización está escondida del enemigo.
DetectionStatusChangedEventUndetectedShort	Your location is unknown to the enemy.	Nasza pozycja jest ukryta przed wrogiem.	Unsere Position ist vor dem Feind verborgen.	Notre position a été caché de l’ennemi.	我们的位置对敌人隐藏。	A nossa posição está escondida do inimigo.	Наша позиция скрыта от врага.	Nuestra localización está escondida del enemigo.
EnemyScoutsDetectedEvent	Enemy scouts have been detected. Click for guidance.	Wykryto wrogich zwiadowców! Kliknij, aby zobaczyć.	Feindliche Aufklärer wurden gesichtet! Klicke an, um anzuschauen.	On a repéré des éclaireurs ennemis ! Cliquez pour voir.	发现敌方侦察兵！点击以聚焦。	Foram detetados rangers inimigos! Faça clique para ver.	Обнаружены вражеские разведчики! Нажмите, чтобы увидеть.	¡Se han detectado exploradores enemigos! Haga clic para ver
EnemyScoutsDetectedEventShort	Enemy scouts were detected!	Wykryto wrogich zwiadowców!	Feindliche Aufklärer wurden gesichtet!	On a repéré des éclaireurs ennemis !	发现敌方侦察兵！	Foram detetados rangers inimigos!	Обнаружены вражеские разведчики!	¡Se han detectado exploradores enemigos!
EscortPassiveTotal	Escort Bonuses	Bonusy Eskorty:	Bonus des Geleitschutzes:	Bonus de l’escorte :	护航奖金：	Bónus da Escolta:	Бонусы Эскорта:	Bonus de la escolta:
EscortShipSunkEvent	One of your escort ships has sunk. Click to view.	Straciliśmy statek z eskorty! Kliknij, aby zobaczyć.	Wir haben ein Schiff aus dem Geleitschutz verloren! Klicke an, um anzuschauen.	Nous avons perdu un navire de l’escorte ! Cliquez pour voir.	我们失去了一艘船！点击查看。	Perdemos um navio da escolta! Faça clique para ver.	Мы потеряли корабль эскорта! Нажмите, чтобы увидеть.	¡Hemos perdido un buque de la escolta! Haga clic para ver
EscortShipSunkEventShort	An escort ship has sunk!	Straciliśmy statek z eskorty!	Wir haben ein Schiff aus dem Geleitschutz verloren!	Nous avons perdu un navire de l’escorte !	我们失去了一艘船！	Perdemos um navio da escolta!	Мы потеряли корабль эскорта!	¡Hemos perdido un buque de la escolta!
EventTitle	Event	Zdarzenie	Ereignis	Événement	事件	Acontecimento	Происшествие	Evento
FriendlyBaseTooltipID	An Allied base	Baza sojusznicza.	Stützpunkt der Verbündeten.	Base alliée.	一个盟军基地	Base aliada	База союзников.	Base de aliados.
FriendlyFleetCAP	Friendly CAP	Sojuszniczy BPP	Verbündete KLP	Alliés de PAC	友好的空中巡逻队	PAC aliado	Союзный БВП	GAA aliado
friendlyShipTooltipText	An Allied fleet	Flota sojusznicza.	Verbündete Flotte.	Flotte alliée.	一支盟军舰队	Frota aliada.	Флот союзников.	Flota aliada
Hangar	Hangar	Hangar	Hangar	Hangar	机库	Hangar	Ангар	Hangar
IdentifyTargetFoundSurvivor	Survivors were found!	Znaleziono rozbitków!	Es wurden Schiffbrüchige gefunden!	Des naufragés ont été retrouvés !	幸存者被发现！	Foram encontrados náufragos!	Обнаружены выжившие!	¡Hemos encontrado náufragos!
IdentifyTargets	Identify Targets	Identyfikacja Celów	Zielidentifikation	Identification des Cibles	识别目标	Identificação dos alvos	Идентификация Целей	Identificación de objetivos
IdentifyTimerDesc_2.4	Time left to identify the ships in Japan’s fleets.	Czas pozostały do identyfikacji statków w japońskich flotach.	Die verbleibende Zeit für die Identifizierung der Schiffe in den japanischen Flotten.	Le temps restant pour l’identification des navires des flottes japonaises.	用来识别日本舰队中船只的剩余时间。	Tempo restante para a identificação dos navios nas frotas japonesas.	Оставшееся время для идентификации кораблей в японских флотах.	Tiempo remanente hasta la identificación de los buques en las flotas japonesas.
IdentifyTimerTitle_2.4	Execute Midway’s order	Wykonaj rozkaz z Midway	Führe den Befehl aus Midway aus	Suivez les ordres de Midway	执行中途的指令	Realize uma ordem de Midway	Выполните приказ с Мидуэя	Realice la orden de Midway
InvasionTimerDesc	Time left until the Japanese invasion fleet reaches Port Moresby.	Czas do rozpoczęcia japońskiej inwazji na Port Moresby.	Zeit bis zum Beginn des japanischen Angriffs auf Port Moresby.	L’heure de lancer l’invasion japonaise de Port Moresby.	距离日本攻击舰队抵达莫尔兹比港的剩余时间。	Tempo para o início da invasão japonesa a Port Moresby.	Время до начала японского вторжения на Порт-Морсби.	Tiempo hasta comenzar la invasión japonesa a Port Moresby.
InvasionTimerTitle	Stop Japan’s advance	Zatrzymaj japońską inwazję.	Stoppe die japanische Invasion.	Arrêtez l’invasion japonaise.	阻止日本军队的推进	Detenha a invasão japonesa.	Остановите японское вторжение.	Pare la flota japonesa.
IslandOfficer01	Adams, J. Warren	Adams, J. Warren	Adams, J. Warren	Adams, J. Warren	亚当斯， J.沃伦	Adams, J. Warren	Дж. Уоррен Адамс	Adams, J. Warren
IslandOfficer01desc	A very promising officer. He has risen through the ranks rapidly and was recently awarded the China Service Medal.	Bardzo obiecujący oficer. Szybko piął się po szczeblach kariery i niedawno został odznaczony China Service Medal.	Ein sehr vielversprechender Offizier. Schnell ist er die Karriereleiter hinaufgeklettert und wurde vor kurzem mit dem China Service Medaille geehrt.	Un officier très prometteur. Il est vite monté en grade et récemment a été décoré de la médaille China Service Medal.	他是一名很有前途的军官。 珍珠港战争后， 他迅速获得晋升和认可。	Um oficial muito prometedor Foi promovido muito rapidamente e há pouco foi condecorado com a medalha China Service Medal.	Весьма перспективный офицер. Он быстро поднялся по карьерной лестнице и недавно был награжден медалью «За службу в Китае».	Un oficial muy prometedor Ha subido rápidamente los escalones de la carrera y hace poco ha sido condecorado con la China Service Medal.
IslandOfficer02	Valentine, Edward K.	Valentine, Edward K.	Valentine, Edward K.	Valentine, Edward K.	瓦伦丁， 爱德华 K。	Valentine, Edward K.	Эдвард К. Валентайн	Valentine, Edward K.
IslandOfficer02desc	A former naval academy instructor. Known for his quick-witted judgments in difficult situations.	Były instruktor Akademii Marynarki Wojennej. Znany z celnej oceny trudnych sytuacji.	Der ehemalige Trainer der Kriegsmarine-Akademie. Berühmt für die richtige Bewertung schwieriger Situationen.	L’ancien instructeur de l’Académie Navale. Il est connu pour sa capacité d’évaluer précisément des situations difficiles.	前步兵学校教官， 以对任何特定情况的准确判断而闻名。	Ex-instrutor da Academia Militar Naval. Conhecido por avaliações muito certeiras de situações difíceis.	Бывший инструктор Военно-морской Академии. Известен своей точной оценкой сложных ситуаций.	Ex-instructor de la Academia Naval. Se conoce por su evaluación precisa de situaciones difíciles.
IslandOfficer03	Haldeman, Robert A.	Haldeman, Robert A.	Haldeman, Robert A.	Haldeman, Robert A.	霍尔德曼， 罗伯特 A.	Haldeman, Robert A.	Роберт А. Холдеман	Haldeman, Robert A.
IslandOfficer03desc	Used to flight-test fighter prototypes before the war. Very disciplined and well-organized.	Przed wojną oblatywał prototypy myśliwców. Bardzo zdyscyplinowany i zorganizowany.	Vor dem Krieg war er Testpilot auf Jagdflugzeugen. Sehr diszipliniert und organisiert.	Avant la guerre, il testait les prototypes des chasseurs Très discipliné et bien organisé.	战前曾驾驶飞行战斗机的原型机， 非常有纪律。	Antes da guerra testava protótipos de caças. Muito disciplinado e organizado.	До войны он летал на прототипах истребителей. Очень дисциплинирован и организован.	Antes de la guerra realizaba ensayos de prototipos de cazas.  Muy bien disciplinado y organizado.
IslandOfficer04	Fairfax, Donald McNeil	Fairfax, Donald McNeil	Fairfax, Donald McNeil	Fairfax, Donald McNeil	费尔法克斯， 唐纳德·麦克尼尔	Fairfax, Donald McNeil	Дональд МакНил Фэрфакс	Fairfax, Donald McNeil
